gen;std;min;avg;max
0;6773,023;4597,200;6298,970;9336,300
1;6635,625;4597,200;6166,040;9336,300
2;6324,661;4193,800;5836,650;9336,300
3;6244,373;4193,800;5764,250;9336,300
4;6240,130;4193,800;5760,220;9336,300
5;6130,357;4122,600;5647,610;9336,300
6;6125,089;4122,600;5641,920;9336,300
7;5778,249;4122,600;5407,530;7333,500
8;5643,668;4122,600;5266,930;7333,500
9;5530,991;4095,300;5153,440;7333,500
10;5456,566;4090,300;5091,360;7333,500
11;5368,979;4002,600;5022,290;6998,400
12;5283,998;4002,600;4958,310;6503,200
13;5166,269;3809,700;4857,680;5830,700
14;5151,656;3809,700;4844,020;5830,700
15;5092,945;3809,700;4795,590;5525,400
16;5004,170;3606,400;4710,500;5525,400
17;4963,162;3606,400;4674,660;5346,800
18;4951,913;3604,300;4662,890;5346,800
19;4945,223;3604,300;4657,250;5346,800
20;4876,743;3604,300;4593,650;5346,800
21;4849,654;3601,000;4563,490;5341,600
22;4849,654;3601,000;4563,490;5341,600
23;4819,707;3601,000;4537,480;5341,600
24;4795,253;3601,000;4514,010;5290,100
25;4758,466;3601,000;4480,840;5290,100
26;4745,035;3601,000;4469,820;5186,800
27;4673,749;3601,000;4403,390;5023,200
28;4654,284;3601,000;4386,090;5023,200
29;4597,142;3601,000;4333,340;5023,200
30;4586,073;3601,000;4324,040;4972,600
31;4558,206;3601,000;4295,700;4972,600
32;4558,206;3601,000;4295,700;4972,600
33;4533,213;3601,000;4274,690;4959,600
34;4533,213;3601,000;4274,690;4959,600
35;4499,107;3601,000;4243,010;4959,600
36;4487,498;3601,000;4232,460;4959,600
37;4471,778;3601,000;4217,550;4959,600
38;4462,550;3601,000;4208,800;4959,600
39;4444,808;3601,000;4191,590;4959,600
40;4432,674;3601,000;4180,580;4915,200
41;4431,774;3601,000;4179,680;4915,200
42;4414,109;3601,000;4164,700;4915,200
43;4414,109;3601,000;4164,700;4915,200
44;4371,204;3577,700;4127,670;4763,200
45;4322,423;3577,700;4082,340;4763,200
46;4312,793;3572,100;4072,920;4763,200
47;4312,793;3572,100;4072,920;4763,200
48;4297,785;3572,100;4059,320;4763,200
49;4295,920;3572,100;4057,460;4763,200
50;4289,635;3572,100;4051,270;4763,200
51;4285,893;3572,100;4047,320;4763,200
52;4285,893;3572,100;4047,320;4763,200
53;4285,893;3572,100;4047,320;4763,200
54;4261,659;3572,100;4024,550;4763,200
55;4261,659;3572,100;4024,550;4763,200
56;4261,659;3572,100;4024,550;4763,200
57;4261,659;3572,100;4024,550;4763,200
58;4261,659;3572,100;4024,550;4763,200
59;4261,659;3572,100;4024,550;4763,200
60;4249,916;3553,900;4013,110;4763,200
61;4234,542;3553,900;3997,570;4763,200
62;4234,542;3553,900;3997,570;4763,200
63;4223,561;3553,900;3987,400;4763,200
64;4199,853;3553,900;3963,380;4763,200
65;4195,880;3551,100;3959,480;4763,200
66;4195,880;3551,100;3959,480;4763,200
67;4194,005;3551,100;3957,520;4763,200
68;4192,359;3551,100;3955,920;4763,200
69;4188,587;3551,100;3952,230;4763,200
70;4188,587;3551,100;3952,230;4763,200
71;4188,587;3551,100;3952,230;4763,200
72;4183,048;3518,900;3946,530;4763,200
73;4175,932;3518,900;3939,520;4763,200
74;4170,679;3518,900;3934,310;4763,200
75;4170,679;3518,900;3934,310;4763,200
76;4169,724;3508,700;3933,290;4763,200
77;4164,685;3508,700;3929,250;4763,200
78;4164,685;3508,700;3929,250;4763,200
79;4161,882;3508,700;3926,400;4763,200
80;4161,882;3508,700;3926,400;4763,200
81;4138,365;3508,700;3905,610;4763,200
82;4138,365;3508,700;3905,610;4763,200
83;4136,965;3508,700;3904,190;4763,200
84;4136,965;3508,700;3904,190;4763,200
85;4136,965;3508,700;3904,190;4763,200
86;4134,620;3508,700;3901,800;4763,200
87;4134,288;3508,700;3901,460;4763,200
88;4130,983;3508,700;3898,060;4763,200
89;4112,805;3508,700;3881,800;4763,200
90;4107,604;3508,700;3876,960;4763,200
91;4105,005;3504,400;3874,230;4763,200
92;4105,005;3504,400;3874,230;4763,200
93;4102,217;3504,400;3871,550;4763,200
94;4102,217;3504,400;3871,550;4763,200
95;4097,615;3504,400;3867,090;4763,200
96;4082,371;3504,400;3851,960;4763,200
97;4082,371;3504,400;3851,960;4763,200
98;4081,630;3504,400;3851,210;4763,200
99;4081,630;3504,400;3851,210;4763,200
100;4073,075;3504,400;3842,820;4763,200
