gen;std;min;avg;max
0;152820,649;118297,192;143598,081;184563,176
1;149808,722;118297,192;140637,211;184563,176
2;144109,852;117935,163;135355,508;184563,176
3;142530,743;117935,163;133848,800;183895,802
4;139521,080;112699,262;130713,096;182718,746
5;131472,782;109645,712;123897,655;156051,595
6;129902,193;108828,970;122483,168;156051,595
7;128481,718;105373,346;121204,464;151728,725
8;127242,629;105373,346;120025,502;151728,725
9;123988,661;104634,630;117177,145;140182,514
10;120180,442;103850,713;113781,979;122711,135
11;118523,155;103850,713;112266,760;122278,081
12;118303,911;103850,713;112094,528;122278,081
13;117906,421;103850,713;111718,698;122064,013
14;115748,048;97617,176;109597,099;122064,013
15;114672,807;97617,176;108623,362;122064,013
16;113676,404;96305,711;107613,065;122064,013
17;112685,096;95699,766;106680,954;122064,013
18;112685,096;95699,766;106680,954;122064,013
19;112685,096;95699,766;106680,954;122064,013
20;112636,791;95699,766;106633,515;122064,013
21;112996,443;95699,766;106986,268;122064,013
22;112405,040;95699,766;106411,187;122064,013
23;112455,660;95699,766;106457,899;122064,013
24;112499,228;95699,766;106497,609;122064,013
25;112039,014;93654,069;106050,159;121489,473
26;112084,004;93654,069;106094,829;121489,473
27;110436,711;93654,069;104448,038;121489,473
28;109468,117;93654,069;103629,922;113703,209
29;107234,180;93654,069;101511,171;113703,209
30;106161,269;93654,069;100540,244;113703,209
31;105916,737;93654,069;100327,340;112202,121
32;105804,530;93654,069;100230,278;111499,868
33;105055,108;93654,069;99514,619;110800,519
34;105055,108;93654,069;99514,619;110800,519
35;104967,849;93654,069;99428,288;110800,519
36;104967,849;93654,069;99428,288;110800,519
37;104967,849;93654,069;99428,288;110800,519
38;105055,108;93654,069;99514,619;110800,519
39;104276,091;92473,560;98801,043;108540,360
40;104194,419;92473,560;98722,105;108540,360
41;103651,114;92473,560;98209,258;108540,360
42;103501,020;92473,560;98065,272;108540,360
43;103164,659;92473,560;97743,987;108540,360
44;103048,619;92473,560;97633,149;108540,360
45;102146,160;87878,557;96728,667;108540,360
46;101496,746;87529,169;96135,828;108540,360
47;101425,367;87529,169;96071,185;108540,360
48;101246,471;87529,169;95903,934;108540,360
49;101048,999;87529,169;95742,308;106473,634
50;100975,753;87529,169;95673,295;106473,634
51;100233,024;87529,169;95021,355;100506,814
52;99786,129;87529,169;94591,543;100506,814
53;98233,122;84017,529;93028,762;100273,913
54;98068,941;83148,286;92865,490;100273,913
55;97999,496;83148,286;92799,960;100273,913
56;97999,496;83148,286;92799,960;100273,913
57;97679,467;83148,286;92479,657;100273,913
58;97671,592;83148,286;92471,458;100273,913
59;97634,905;83148,286;92433,163;100273,913
60;97348,476;83148,286;92177,146;100273,913
61;97348,476;83148,286;92177,146;100273,913
62;97068,041;83148,286;91912,405;100273,913
63;96963,538;83148,286;91815,538;100273,913
64;96934,583;83148,286;91789,762;100273,913
65;96662,362;83148,286;91528,752;100273,913
66;96345,361;82717,515;91221,725;100273,913
67;96042,146;82717,515;90939,223;100273,913
68;96042,146;82717,515;90939,223;100273,913
69;96042,146;82717,515;90939,223;100273,913
70;96021,510;82717,515;90919,711;100273,913
71;96089,639;82717,515;90979,695;100273,913
72;96089,639;82717,515;90979,695;100273,913
73;95972,418;82717,515;90868,065;100273,913
74;95972,418;82717,515;90868,065;100273,913
75;95825,731;82289,803;90732,759;100026,624
76;95861,348;82289,803;90763,427;100333,299
77;95861,348;82289,803;90763,427;100333,299
78;95722,743;82133,689;90641,362;98874,096
79;95678,288;82133,689;90597,415;98874,096
80;95067,219;80433,897;89970,888;98874,096
81;95124,863;80433,897;90029,728;98874,096
82;95011,319;80433,897;89930,299;98874,096
83;95011,319;80433,897;89930,299;98874,096
84;95011,319;80433,897;89930,299;98874,096
85;95091,586;80433,897;89996,792;99694,634
86;94974,924;79234,745;89871,950;99694,634
87;94905,892;79234,745;89799,819;99694,634
88;94905,892;79234,745;89799,819;99694,634
89;94404,042;79234,745;89350,851;99694,634
90;93950,054;79234,745;88917,449;99694,634
91;94001,255;79234,745;88969,858;99694,634
92;94001,255;79234,745;88969,858;99694,634
93;93990,148;79234,745;88958,998;99694,634
94;93149,390;76596,800;88078,317;99694,634
95;92986,123;76596,800;87888,707;100409,674
96;92986,123;76596,800;87888,707;100409,674
97;92986,123;76596,800;87888,707;100409,674
98;92986,123;76596,800;87888,707;100409,674
99;92955,139;76596,800;87860,110;100409,674
100;92828,270;76596,800;87751,327;100409,674
