gen;std;min;avg;max
0;1774,275;1358,900;1669,460;2129,900
1;1630,634;1358,900;1541,800;1753,400
2;1590,348;1358,900;1503,330;1753,400
3;1564,638;1358,900;1479,790;1713,300
4;1544,479;1251,700;1459,110;1727,000
5;1479,183;1227,300;1398,800;1631,500
6;1464,904;1168,500;1384,580;1631,500
7;1435,276;1159,200;1355,690;1631,500
8;1431,790;1159,200;1352,400;1631,500
9;1404,743;1159,200;1328,030;1541,100
10;1394,194;1159,200;1318,230;1541,100
11;1394,194;1159,200;1318,230;1541,100
12;1368,987;1159,200;1294,550;1541,100
13;1367,900;1159,200;1293,530;1541,100
14;1325,385;1159,200;1255,370;1387,600
15;1316,665;1159,200;1246,970;1382,900
16;1316,665;1159,200;1246,970;1382,900
17;1304,292;1159,200;1235,130;1382,900
18;1296,929;1159,200;1228,750;1319,100
19;1296,929;1159,200;1228,750;1319,100
20;1296,929;1159,200;1228,750;1319,100
21;1296,929;1159,200;1228,750;1319,100
22;1296,929;1159,200;1228,750;1319,100
23;1294,485;1159,200;1226,320;1319,100
24;1289,236;1159,200;1221,270;1319,100
25;1289,236;1159,200;1221,270;1319,100
26;1278,780;1159,200;1211,740;1316,100
27;1274,269;1159,200;1207,400;1316,100
28;1274,269;1159,200;1207,400;1316,100
29;1274,269;1159,200;1207,400;1316,100
30;1277,734;1159,200;1210,510;1316,100
31;1260,735;1159,200;1194,820;1307,000
32;1253,188;1159,200;1188,050;1307,000
33;1250,693;1159,200;1185,650;1307,000
34;1250,693;1159,200;1185,650;1307,000
35;1250,693;1159,200;1185,650;1307,000
36;1250,693;1159,200;1185,650;1307,000
37;1250,693;1159,200;1185,650;1307,000
38;1250,693;1159,200;1185,650;1307,000
39;1250,693;1159,200;1185,650;1307,000
40;1250,693;1159,200;1185,650;1307,000
41;1232,267;1159,200;1168,960;1198,900
42;1232,267;1159,200;1168,960;1198,900
43;1232,267;1159,200;1168,960;1198,900
44;1232,267;1159,200;1168,960;1198,900
45;1232,267;1159,200;1168,960;1198,900
46;1232,267;1159,200;1168,960;1198,900
47;1232,267;1159,200;1168,960;1198,900
48;1232,267;1159,200;1168,960;1198,900
49;1232,706;1159,200;1169,370;1198,900
50;1232,706;1159,200;1169,370;1198,900
51;1232,706;1159,200;1169,370;1198,900
52;1232,706;1159,200;1169,370;1198,900
53;1228,849;1159,200;1165,730;1198,900
54;1228,849;1159,200;1165,730;1198,900
55;1228,839;1159,200;1165,720;1198,900
56;1226,804;1159,200;1163,830;1180,000
57;1224,873;1159,200;1162,010;1168,500
58;1224,873;1159,200;1162,010;1168,500
59;1224,145;1159,200;1161,320;1168,500
60;1224,145;1159,200;1161,320;1168,500
61;1224,145;1159,200;1161,320;1168,500
62;1224,145;1159,200;1161,320;1168,500
63;1224,145;1159,200;1161,320;1168,500
64;1224,145;1159,200;1161,320;1168,500
65;1224,145;1159,200;1161,320;1168,500
66;1224,145;1159,200;1161,320;1168,500
67;1224,145;1159,200;1161,320;1168,500
68;1224,145;1159,200;1161,320;1168,500
69;1224,145;1159,200;1161,320;1168,500
70;1224,145;1159,200;1161,320;1168,500
71;1224,145;1159,200;1161,320;1168,500
72;1224,187;1159,200;1161,360;1168,500
73;1224,187;1159,200;1161,360;1168,500
74;1224,187;1159,200;1161,360;1168,500
75;1224,187;1159,200;1161,360;1168,500
76;1224,187;1159,200;1161,360;1168,500
77;1224,187;1159,200;1161,360;1168,500
78;1224,187;1159,200;1161,360;1168,500
79;1224,187;1159,200;1161,360;1168,500
80;1224,187;1159,200;1161,360;1168,500
81;1224,187;1159,200;1161,360;1168,500
82;1224,187;1159,200;1161,360;1168,500
83;1224,187;1159,200;1161,360;1168,500
84;1224,187;1159,200;1161,360;1168,500
85;1224,187;1159,200;1161,360;1168,500
86;1224,187;1159,200;1161,360;1168,500
87;1224,187;1159,200;1161,360;1168,500
88;1224,187;1159,200;1161,360;1168,500
89;1224,187;1159,200;1161,360;1168,500
90;1224,187;1159,200;1161,360;1168,500
91;1224,187;1159,200;1161,360;1168,500
92;1224,187;1159,200;1161,360;1168,500
93;1224,187;1159,200;1161,360;1168,500
94;1224,187;1159,200;1161,360;1168,500
95;1224,187;1159,200;1161,360;1168,500
96;1224,187;1159,200;1161,360;1168,500
97;1224,187;1159,200;1161,360;1168,500
98;1224,187;1159,200;1161,360;1168,500
99;1224,187;1159,200;1161,360;1168,500
100;1224,187;1159,200;1161,360;1168,500
