gen;std;min;avg;max
0;516550,540;461510,961;489477,093;522682,644
1;510077,867;441908,020;483167,402;522682,644
2;502261,270;429988,276;475637,276;521174,641
3;497237,150;429321,338;470920,070;518639,932
4;491278,423;426305,118;465280,097;511390,736
5;485763,036;426305,118;460292,925;496760,217
6;483738,079;424277,436;458329,300;496447,609
7;481940,874;424277,436;456693,521;496447,609
8;479203,124;417519,647;454012,261;496447,609
9;475318,661;417519,647;450346,699;490471,245
10;470830,033;416867,381;446250,810;482303,757
11;463775,540;413854,637;439388,708;478203,422
12;462546,844;410508,496;438199,159;478203,422
13;460579,537;410070,384;436289,314;477288,377
14;456236,587;410070,384;432228,881;468861,161
15;449587,405;398989,341;425903,025;464704,522
16;448796,527;397814,457;425173,081;460226,652
17;445913,654;397814,457;422535,155;458762,871
18;443608,521;397814,457;420456,557;445397,968
19;442884,688;397814,457;419797,354;445397,968
20;440756,307;395880,412;417711,573;445397,968
21;438095,003;392189,335;415226,356;442248,879
22;435661,067;392189,335;412964,706;441437,562
23;434792,493;387814,191;412099,880;441437,562
24;430300,597;381917,595;407886,809;437309,658
25;429405,241;381917,595;407016,316;436028,718
26;423827,194;378690,051;401764,116;427207,971
27;419099,971;370625,855;397276,129;417300,415
28;417556,115;369386,885;395775,962;417300,415
29;416556,948;367880,282;394825,639;417300,415
30;415008,749;365242,200;393373,066;413838,262
31;413240,301;365242,200;391746,593;412571,068
32;412234,739;365242,200;390788,004;412095,708
33;411319,590;363604,867;389927,531;410821,703
34;408316,104;363604,867;387131,820;408194,396
35;408292,746;363604,867;387109,918;408194,396
36;406987,609;353060,591;385807,334;405712,837
37;404907,550;353060,591;383843,936;405712,837
38;402571,366;353060,591;381622,695;405712,837
39;400598,594;347966,374;379732,511;405712,837
40;399400,942;347966,374;378627,516;404498,535
41;395776,046;347966,374;375190,045;404498,535
42;395537,201;347169,408;374963,081;403535,597
43;395477,612;347169,408;374906,174;403535,597
44;394707,611;347169,408;374168,515;403535,597
45;393925,212;347169,408;373430,116;403535,597
46;392923,600;347169,408;372487,283;401211,441
47;391680,367;347169,408;371371,031;392545,318
48;391413,101;347169,408;371118,616;392545,318
49;389836,546;347169,408;369628,764;392545,318
50;388466,138;347169,408;368328,331;392545,318
51;387457,880;347169,408;367365,720;392171,764
52;385648,317;344749,159;365642,014;391919,556
53;384976,650;339367,726;364979,041;390671,262
54;384664,530;339367,726;364684,774;390671,262
55;384017,825;339367,726;364100,268;389192,194
56;382536,763;338604,000;362686,809;389192,194
57;381915,417;338604,000;362098,257;389192,194
58;379880,641;338420,143;360227,894;380103,547
59;379102,553;338420,143;359470,466;380103,547
60;378625,582;338073,887;359013,582;380103,547
61;378266,907;338073,887;358685,091;379413,841
62;376450,420;338073,887;356951,773;378255,381
63;374574,082;338073,887;355132,351;378255,381
64;374209,276;338073,887;354786,534;378255,381
65;374073,414;338073,887;354665,394;377043,981
66;370356,480;329303,371;351065,178;377043,981
67;370137,336;329303,371;350855,656;377043,981
68;369215,008;327549,208;349987,109;377043,981
69;367361,542;327549,208;348304,045;365406,632
70;366472,364;327549,208;347467,704;365406,632
71;366166,647;327549,208;347165,277;365406,632
72;364671,369;327549,208;345740,964;365406,632
73;364629,238;327549,208;345700,844;365406,632
74;362099,894;316484,191;343192,610;365327,786
75;357642,364;316484,191;339049,026;364739,941
76;357285,155;316484,191;338711,899;363649,913
77;356847,549;316484,191;338302,372;363275,557
78;355914,376;316484,191;337414,658;363275,557
79;355851,930;316484,191;337354,316;363275,557
80;355843,897;316407,045;337346,222;363275,557
81;355299,661;316407,045;336857,297;359516,717
82;355254,347;316407,045;336813,514;359516,717
83;353500,763;316407,045;335146,850;359516,717
84;350829,551;310569,077;332559,683;359516,717
85;350797,583;310243,917;332527,167;359516,717
86;349437,773;310243,917;331249,303;359498,711
87;349147,483;310243,917;330976,340;358830,566
88;348833,475;307048,435;330656,791;358830,566
89;348074,592;307048,435;329936,923;357911,407
90;346648,895;307048,435;328661,356;346659,066
91;346103,897;307048,435;328167,680;341731,935
92;345316,664;304926,287;327406,634;341731,935
93;342673,638;301700,538;324868,751;341731,935
94;341110,083;301700,538;323340,157;341731,935
95;341107,736;301700,538;323338,028;341731,935
96;340744,275;301700,538;323007,997;341731,935
97;339957,878;301700,538;322247,758;341731,935
98;337034,073;301700,538;319495,673;338479,576
99;337021,705;301700,538;319483,408;338479,576
100;336983,291;301700,538;319446,450;338479,576
