gen;std;min;avg;max
0;5267,538;2899,500;4894,720;6724,700
1;5044,616;2899,500;4712,710;5742,800
2;4888,820;2899,500;4575,130;5506,700
3;4800,723;2846,900;4498,780;5213,900
4;4758,720;2846,900;4462,320;5213,900
5;4752,628;2846,900;4457,140;5213,900
6;4752,628;2846,900;4457,140;5213,900
7;4737,386;2846,900;4442,280;5213,900
8;4644,057;2846,900;4349,710;5213,900
9;4585,101;2846,900;4289,970;5213,900
10;4537,726;2846,900;4243,110;5213,900
11;4505,760;2846,900;4214,360;5213,900
12;4398,625;2637,900;4085,020;5213,900
13;4376,576;2637,900;4067,270;5213,900
14;4337,909;2584,700;4033,500;5165,700
15;4313,018;2584,700;4007,360;5165,700
16;4216,276;2584,700;3925,160;4950,600
17;4203,855;2551,400;3907,240;4950,600
18;4192,231;2551,400;3895,310;4950,600
19;4031,844;2551,400;3742,480;4950,600
20;4031,844;2551,400;3742,480;4950,600
21;3944,444;2551,400;3669,830;4950,600
22;3820,689;2551,400;3556,950;4950,600
23;3790,754;2551,400;3529,950;4950,600
24;3753,898;2504,200;3491,710;4950,600
25;3722,026;2504,200;3463,450;4950,600
26;3690,281;2504,200;3435,710;4950,600
27;3690,281;2504,200;3435,710;4950,600
28;3649,103;2504,200;3393,480;4950,600
29;3649,103;2504,200;3393,480;4950,600
30;3642,270;2504,200;3386,360;4950,600
31;3631,755;2428,900;3372,580;4950,600
32;3631,755;2428,900;3372,580;4950,600
33;3631,755;2428,900;3372,580;4950,600
34;3624,904;2428,900;3368,040;4905,200
35;3572,212;2425,200;3320,160;4905,200
36;3551,564;2425,200;3302,750;4807,900
37;3493,269;2360,000;3248,960;4807,900
38;3493,269;2360,000;3248,960;4807,900
39;3488,515;2360,000;3244,270;4807,900
40;3475,223;2360,000;3230,590;4807,900
41;3448,058;2360,000;3211,480;4656,800
42;3440,393;2360,000;3206,350;4605,500
43;3440,393;2360,000;3206,350;4605,500
44;3440,393;2360,000;3206,350;4605,500
45;3395,880;2360,000;3164,620;4605,500
46;3395,880;2360,000;3164,620;4605,500
47;3395,880;2360,000;3164,620;4605,500
48;3356,170;2360,000;3134,840;4393,500
49;3347,167;2360,000;3125,760;4393,500
50;3340,703;2360,000;3119,150;4393,500
51;3323,037;2360,000;3103,940;4393,500
52;3323,037;2360,000;3103,940;4393,500
53;3313,561;2360,000;3094,660;4393,500
54;3313,561;2360,000;3094,660;4393,500
55;3306,418;2352,000;3088,200;4363,700
56;3303,257;2352,000;3086,040;4342,100
57;3303,257;2352,000;3086,040;4342,100
58;3295,835;2343,100;3078,720;4342,100
59;3288,230;2273,700;3069,460;4342,100
60;3287,372;2262,500;3068,340;4342,100
61;3264,961;2262,500;3048,100;4342,100
62;3261,139;2250,000;3044,270;4342,100
63;3261,139;2250,000;3044,270;4342,100
64;3259,823;2250,000;3043,380;4333,200
65;3218,997;2250,000;3002,110;4333,200
66;3218,997;2250,000;3002,110;4333,200
67;3212,977;2250,000;2996,060;4333,200
68;3210,697;2250,000;2993,230;4333,200
69;3201,704;2180,400;2982,550;4333,200
70;3201,704;2180,400;2982,550;4333,200
71;3201,704;2180,400;2982,550;4333,200
72;3190,744;2180,400;2971,290;4333,200
73;3189,629;2180,400;2970,110;4333,200
74;3118,137;2180,400;2904,160;4333,200
75;3117,898;2180,400;2903,870;4333,200
76;3117,498;2180,400;2903,500;4333,200
77;3117,498;2180,400;2903,500;4333,200
78;3094,909;2180,400;2879,850;4333,200
79;3094,909;2180,400;2879,850;4333,200
80;3094,909;2180,400;2879,850;4333,200
81;3088,174;2092,700;2871,080;4333,200
82;3079,476;2092,700;2862,740;4333,200
83;3079,476;2092,700;2862,740;4333,200
84;3030,482;2092,700;2818,150;4333,200
85;3029,443;2092,700;2817,030;4333,200
86;3029,443;2092,700;2817,030;4333,200
87;3029,443;2092,700;2817,030;4333,200
88;3029,443;2092,700;2817,030;4333,200
89;3029,443;2092,700;2817,030;4333,200
90;3027,141;2092,700;2814,530;4333,200
91;3014,831;2092,700;2801,870;4333,200
92;3014,831;2092,700;2801,870;4333,200
93;3002,718;2092,700;2790,210;4333,200
94;3002,718;2092,700;2790,210;4333,200
95;3002,718;2092,700;2790,210;4333,200
96;3002,718;2092,700;2790,210;4333,200
97;3002,511;2092,700;2790,010;4333,200
98;2981,852;2092,700;2766,640;4333,200
99;2979,078;2092,700;2763,740;4333,200
100;2979,078;2092,700;2763,740;4333,200
