gen;std;min;avg;max
0;173297,784;141858,903;163504,078;196298,451
1;175221,179;138284,823;164801,666;213657,455
2;174654,906;138284,823;164206,302;213657,455
3;173831,128;138284,823;163367,616;213657,455
4;173375,853;138284,823;162917,246;213657,455
5;173040,744;138284,823;162575,291;213657,455
6;172458,721;137967,541;162198,499;208127,475
7;172087,765;137967,541;161929,931;200805,043
8;171931,144;136085,220;161756,708;200805,043
9;171644,677;136085,220;161489,056;200455,971
10;171314,768;136085,220;161197,405;200247,107
11;169571,411;135926,905;159682,090;200247,107
12;169944,564;135926,905;160024,709;200247,107
13;170510,998;135926,905;160494,228;200247,107
14;172509,245;136231,666;162407,630;199906,744
15;171990,926;135926,905;161933,827;199906,744
16;172036,650;135926,905;161963,517;200603,476
17;171017,173;136613,944;160958,743;200484,687
18;170062,862;136613,944;160034,118;200484,687
19;169280,752;139003,829;159293,577;199787,955
20;168019,167;139003,829;158255,227;199787,955
21;166987,805;139003,829;157263,976;199787,955
22;167414,378;139003,829;157810,329;196386,944
23;169050,032;141913,095;159472,740;194940,177
24;168202,985;141913,095;158672,061;194940,177
25;169306,880;141913,095;159731,051;194940,177
26;168814,808;139070,846;159203,770;194940,177
27;169354,854;139070,846;159728,556;195250,291
28;170542,190;139070,846;160849,620;195250,291
29;170014,048;139070,846;160297,271;195250,291
30;170356,972;139070,846;160601,570;195947,023
31;171558,957;140345,371;161749,083;195947,023
32;170797,564;140345,371;160984,538;195947,023
33;171180,304;137584,049;160920,104;207694,406
34;169757,552;137584,049;159546,053;207548,245
35;169907,294;138663,464;159711,790;207548,245
36;170203,775;135680,231;159859,458;207548,245
37;168926,459;131785,319;158462,382;207548,245
38;168884,730;131637,924;158461,468;206851,513
39;168958,153;131637,924;158543,100;206851,513
40;168828,373;131637,924;158419,617;206851,513
41;167676,585;131931,411;157376,687;206851,513
42;167565,220;131376,724;157226,810;207156,229
43;166703,952;122216,257;156239,166;207156,229
44;166197,050;120968,228;155745,213;207152,477
45;165713,880;120968,228;155295,885;207152,477
46;164713,298;120819,069;154337,839;207152,477
47;163929,655;120819,069;153699,741;207152,477
48;164032,353;122067,098;153824,544;207152,477
49;163910,378;122067,098;153676,017;207152,477
50;163909,201;121511,382;153671,946;207152,477
51;164037,839;121511,382;153795,475;207152,477
52;163836,922;120187,293;153645,839;207152,477
53;159717,234;122759,381;150570,869;176680,054
54;159299,165;123550,940;150216,889;176680,054
55;160932,136;123550,940;151807,363;176680,054
56;160999,847;123550,940;151878,583;176680,054
57;161078,743;123550,940;151945,201;176680,054
58;160720,491;123550,940;151616,704;176680,054
59;160788,054;123550,940;151707,494;177110,239
60;160416,388;123235,540;151308,488;177110,239
61;160976,625;122015,691;151812,108;177110,239
62;159899,722;122015,691;150828,476;177110,239
63;159963,346;122015,691;150905,922;176680,054
64;160103,121;123235,540;151065,625;176680,054
65;159123,957;111154,490;149866,800;176680,054
66;158834,866;112833,042;149630,060;176680,054
67;158573,637;114519,235;149430,203;176680,054
68;158104,064;114925,638;148963,299;176680,054
69;157743,183;114925,638;148591,325;177110,239
70;158232,104;114925,638;149052,672;177110,239
71;157928,038;114925,638;148761,646;177110,239
72;157938,010;114925,638;148770,907;177110,239
73;158388,575;115772,768;149227,742;176680,054
74;158188,074;115216,219;148980,757;177110,239
75;157053,156;115216,219;148035,953;175990,986
76;157346,940;115075,421;148308,493;175760,331
77;157332,556;115631,970;148295,327;175760,331
78;157290,012;115075,421;148242,290;175760,331
79;157100,101;115075,421;148063,354;175760,331
80;157001,242;115075,421;147972,776;175760,331
81;156911,929;112416,829;147817,357;175760,331
82;155998,490;112416,829;146972,207;175760,331
83;156080,967;112276,031;147051,371;175760,331
84;156064,795;112276,031;147035,758;175760,331
85;155475,707;112276,031;146482,639;175760,331
86;154887,010;112276,031;145920,516;175760,331
87;155151,915;112276,031;146207,728;175760,331
88;155170,827;112276,031;146225,973;175760,331
89;154441,010;112832,580;145554,982;175760,331
90;154583,312;113510,663;145702,826;175760,331
91;154591,719;113510,663;145713,860;175760,331
92;154848,527;113510,663;145968,308;175760,331
93;155904,176;113510,663;146955,946;176288,464
94;155832,356;113510,663;146869,569;176288,464
95;155788,018;113510,663;146832,663;176288,464
96;155707,383;113510,663;146756,569;176288,464
97;154882,890;113510,663;145979,344;176288,464
98;154901,537;113510,663;145997,588;176288,464
99;155050,954;113651,461;146137,192;176288,464
100;154667,339;113261,674;145758,789;176288,464
