gen;std;min;avg;max
0;243201,450;198222,389;230073,045;253386,475
1;242459,220;193205,410;229201,965;253386,475
2;241204,744;193205,410;227980,226;253386,475
3;239028,729;195989,805;226167,959;247235,491
4;239972,732;198222,389;227143,932;244526,718
5;241315,172;198222,389;228456,398;247083,785
6;241749,782;201489,693;228949,489;247083,785
7;240845,589;201299,675;228020,284;250330,988
8;240935,678;206066,322;228148,393;250330,988
9;240122,531;196584,126;227202,120;250330,988
10;238335,542;196584,126;225451,685;248891,004
11;235891,722;196584,126;223109,304;249006,487
12;231433,937;196868,667;218784,459;249006,487
13;230928,967;195735,977;218420,192;249006,487
14;229381,332;197051,151;217089,361;249006,487
15;227081,721;197051,151;214999,426;237576,601
16;230109,477;197051,151;217711,814;237817,880
17;228629,689;194807,459;216178,044;237817,880
18;227348,782;194807,459;215041,800;237817,880
19;226668,292;187285,526;214322,755;237817,880
20;225387,142;187285,526;213122,389;237817,880
21;226028,410;182026,219;213558,515;237817,880
22;222172,625;184866,047;210129,285;237817,880
23;219133,428;184866,047;207455,028;230110,399
24;220058,216;183911,913;208297,614;230110,399
25;218675,089;183614,827;207053,254;224915,588
26;217495,165;183614,827;205961,333;223657,373
27;216034,291;185005,946;204608,304;223069,195
28;214666,857;185005,946;203377,341;221786,806
29;214059,303;185005,946;202842,854;218854,857
30;210874,524;185005,946;199753,833;218854,857
31;208451,219;185005,946;197599,528;209597,817
32;207841,415;185005,946;197005,819;209597,817
33;207908,074;185005,946;197055,649;209597,817
34;208114,573;185005,946;197268,021;209597,817
35;206972,047;185005,946;196191,557;209597,817
36;209463,497;189146,765;198511,140;212753,506
37;208387,314;178294,880;197428,358;212753,506
38;208089,552;178294,880;197149,213;212753,506
39;209016,019;189146,765;198111,646;212753,506
40;208919,618;181525,442;197956,654;212753,506
41;208300,937;181525,442;197337,802;212753,506
42;208028,335;181525,442;197083,986;212753,506
43;207096,189;175283,999;196144,438;212556,104
44;204973,545;175283,999;194071,824;212556,104
45;204011,537;175283,999;193198,391;211272,165
46;203227,763;175283,999;192421,263;214616,275
47;202468,241;173434,496;191755,158;209878,647
48;203958,147;173434,496;193210,425;209878,647
49;203542,916;173434,496;192843,201;206472,175
50;202568,548;175199,150;191965,827;206472,175
51;202578,556;175199,150;191975,404;206472,175
52;200552,057;175199,150;190011,390;206237,175
53;200458,624;171058,097;189809,681;207101,801
54;200528,202;171058,097;189877,590;207101,801
55;198514,842;167776,705;188008,514;207101,801
56;197795,441;167776,705;187316,840;207101,801
57;196609,973;167776,705;186150,698;207101,801
58;196861,660;171905,961;186371,724;207101,801
59;197851,657;171905,961;187286,840;207101,801
60;197834,242;171746,249;187268,741;207101,801
61;197021,443;171905,961;186527,395;207101,801
62;195443,251;172589,159;185145,292;201318,408
63;194842,548;173809,929;184640,878;201318,408
64;193663,921;172184,719;183482,511;201318,408
65;193288,562;172184,719;183138,773;201318,408
66;190916,530;169645,549;180967,660;190579,087
67;190032,943;169645,549;180126,594;190579,087
68;189702,491;169645,549;179830,931;188445,091
69;189702,491;169645,549;179830,931;188445,091
70;189872,942;169645,549;179989,978;188445,091
71;189911,062;169381,935;180027,785;188445,091
72;189775,711;168572,435;179895,225;188137,802
73;190079,167;168572,435;180156,562;191907,800
74;188781,086;168572,435;178933,232;191907,800
75;189219,010;168572,435;179335,978;191674,372
76;188695,115;168572,435;178830,998;191674,372
77;189109,569;168572,435;179207,730;191674,372
78;188895,214;168500,063;179013,243;191167,843
79;188143,712;168500,063;178327,684;191167,843
80;188240,594;168500,063;178416,649;191167,843
81;188077,620;168009,693;178255,515;191167,843
82;187883,241;168009,693;178068,583;191167,843
83;187868,076;168009,693;178051,139;191721,748
84;186570,588;156429,552;176713,760;191721,748
85;186423,609;157419,339;176584,617;191721,748
86;185343,486;157419,339;175617,321;186343,501
87;185513,254;157419,339;175771,576;185812,630
88;185513,254;157419,339;175771,576;185812,630
89;184566,172;157419,339;174837,558;185812,630
90;184596,492;157738,979;174869,522;185812,630
91;183334,044;157738,979;173721,658;185812,630
92;182872,488;152840,969;173231,857;185812,630
93;182669,432;149629,239;173007,490;185812,630
94;182823,407;149629,239;173146,536;185812,630
95;181201,801;149629,239;171674,691;182826,119
96;181204,430;149629,239;171670,649;182826,119
97;181206,695;149629,239;171676,295;182826,119
98;181028,788;149629,239;171455,962;182826,119
99;181304,107;148794,530;171694,539;182826,119
100;181839,591;148794,530;172232,110;182826,119
