gen;std;min;avg;max
0;1876,274;1009,500;1734,860;2102,600
1;1469,287;1009,500;1366,240;1888,700
2;1441,230;1009,500;1342,580;1888,700
3;1440,638;1009,500;1341,860;1888,700
4;1420,719;1009,500;1325,590;1786,600
5;1420,429;1009,500;1325,290;1786,600
6;1416,019;1009,500;1321,650;1786,600
7;1411,683;1009,500;1317,330;1786,600
8;1404,931;1009,500;1310,780;1786,600
9;1398,224;1009,500;1305,980;1738,600
10;1375,270;1009,500;1281,970;1738,600
11;1371,779;1009,500;1279,470;1713,600
12;1371,779;1009,500;1279,470;1713,600
13;1369,067;1009,500;1276,740;1713,600
14;1369,067;1009,500;1276,740;1713,600
15;1369,067;1009,500;1276,740;1713,600
16;1369,067;1009,500;1276,740;1713,600
17;1359,188;1009,500;1266,140;1713,600
18;1354,119;1009,500;1260,740;1713,600
19;1349,199;1009,500;1257,010;1713,600
20;1341,493;1009,500;1249,570;1713,600
21;1328,926;1009,500;1236,660;1698,000
22;1311,796;1009,500;1221,430;1698,000
23;1298,957;1009,500;1210,260;1698,000
24;1298,957;1009,500;1210,260;1698,000
25;1286,585;1009,500;1201,560;1611,000
26;1284,526;1009,500;1199,410;1611,000
27;1280,103;1009,500;1196,210;1579,000
28;1279,852;1009,500;1195,950;1579,000
29;1273,781;1009,500;1191,210;1579,000
30;1273,781;1009,500;1191,210;1579,000
31;1251,783;1009,500;1173,180;1539,400
32;1251,783;1009,500;1173,180;1539,400
33;1241,201;1009,500;1163,310;1539,400
34;1238,596;1009,500;1161,410;1520,400
35;1230,843;1009,500;1153,370;1520,400
36;1214,124;1009,500;1140,310;1485,100
37;1210,269;1007,700;1137,260;1485,100
38;1207,414;1007,700;1134,560;1485,100
39;1207,414;1007,700;1134,560;1485,100
40;1188,742;1007,700;1120,320;1388,000
41;1188,742;1007,700;1120,320;1388,000
42;1185,063;1007,700;1116,680;1388,000
43;1169,234;1007,700;1104,020;1342,700
44;1169,234;1007,700;1104,020;1342,700
45;1168,623;1007,700;1103,410;1342,700
46;1168,623;1007,700;1103,410;1342,700
47;1168,623;1007,700;1103,410;1342,700
48;1168,140;1007,700;1102,930;1342,700
49;1155,094;1007,700;1090,220;1342,700
50;1155,094;1007,700;1090,220;1342,700
51;1155,094;1007,700;1090,220;1342,700
52;1155,094;1007,700;1090,220;1342,700
53;1155,094;1007,700;1090,220;1342,700
54;1155,094;1007,700;1090,220;1342,700
55;1144,830;1007,700;1080,160;1342,700
56;1144,830;1007,700;1080,160;1342,700
57;1144,830;1007,700;1080,160;1342,700
58;1144,830;1007,700;1080,160;1342,700
59;1144,830;1007,700;1080,160;1342,700
60;1139,328;1007,700;1075,880;1299,900
61;1139,328;1007,700;1075,880;1299,900
62;1139,328;1007,700;1075,880;1299,900
63;1139,328;1007,700;1075,880;1299,900
64;1139,328;1007,700;1075,880;1299,900
65;1139,328;1007,700;1075,880;1299,900
66;1139,328;1007,700;1075,880;1299,900
67;1139,328;1007,700;1075,880;1299,900
68;1134,846;1007,700;1072,190;1299,900
69;1128,014;1007,700;1066,370;1299,900
70;1128,014;1007,700;1066,370;1299,900
71;1124,820;1007,700;1063,560;1299,900
72;1118,759;1007,700;1058,050;1299,900
73;1118,759;1007,700;1058,050;1299,900
74;1118,759;1007,700;1058,050;1299,900
75;1118,759;1007,700;1058,050;1299,900
76;1113,713;1007,700;1054,090;1260,300
77;1113,713;1007,700;1054,090;1260,300
78;1113,713;1007,700;1054,090;1260,300
79;1113,713;1007,700;1054,090;1260,300
80;1113,713;1007,700;1054,090;1260,300
81;1113,713;1007,700;1054,090;1260,300
82;1113,399;1007,700;1053,840;1257,800
83;1107,448;1007,700;1049,020;1209,600
84;1107,448;1007,700;1049,020;1209,600
85;1107,448;1007,700;1049,020;1209,600
86;1107,448;1007,700;1049,020;1209,600
87;1107,448;1007,700;1049,020;1209,600
88;1107,448;1007,700;1049,020;1209,600
89;1107,448;1007,700;1049,020;1209,600
90;1107,448;1007,700;1049,020;1209,600
91;1107,448;1007,700;1049,020;1209,600
92;1107,448;1007,700;1049,020;1209,600
93;1105,167;1007,700;1046,790;1209,600
94;1105,167;1007,700;1046,790;1209,600
95;1105,167;1007,700;1046,790;1209,600
96;1105,167;1007,700;1046,790;1209,600
97;1105,167;1007,700;1046,790;1209,600
98;1105,167;1007,700;1046,790;1209,600
99;1105,167;1007,700;1046,790;1209,600
100;1097,343;1007,700;1040,200;1143,700
