gen;std;min;avg;max
0;1805,990;1301,200;1692,300;2094,700
1;1685,624;1301,200;1582,810;2068,200
2;1593,172;1228,700;1499,800;1823,600
3;1569,976;1228,700;1479,370;1768,100
4;1515,605;1228,700;1427,520;1736,400
5;1514,390;1227,300;1426,130;1736,400
6;1500,083;1227,300;1412,300;1736,400
7;1470,173;1217,700;1382,800;1717,200
8;1460,571;1217,700;1374,990;1689,800
9;1409,379;1168,500;1331,570;1532,900
10;1390,747;1168,500;1315,380;1532,900
11;1383,326;1168,500;1308,270;1532,900
12;1371,724;1168,500;1298,580;1436,000
13;1363,136;1168,500;1290,280;1436,000
14;1343,383;1168,500;1272,230;1436,000
15;1342,172;1168,500;1271,070;1436,000
16;1333,972;1168,500;1264,020;1381,700
17;1332,409;1168,500;1262,640;1381,700
18;1328,512;1168,500;1259,220;1351,700
19;1328,512;1168,500;1259,220;1351,700
20;1326,321;1168,500;1257,270;1347,500
21;1326,321;1168,500;1257,270;1347,500
22;1324,136;1159,200;1255,120;1347,500
23;1328,671;1159,200;1259,080;1387,100
24;1307,919;1159,200;1240,020;1332,200
25;1288,313;1159,200;1221,070;1332,200
26;1282,664;1159,200;1215,630;1332,200
27;1282,664;1159,200;1215,630;1332,200
28;1281,104;1159,200;1214,170;1332,200
29;1281,104;1159,200;1214,170;1332,200
30;1282,262;1159,200;1215,200;1340,200
31;1272,557;1159,200;1206,130;1340,200
32;1272,557;1159,200;1206,130;1340,200
33;1274,401;1159,200;1207,890;1340,200
34;1272,766;1159,200;1206,320;1340,200
35;1266,503;1159,200;1200,260;1340,200
36;1265,937;1159,200;1199,740;1340,200
37;1262,073;1159,200;1196,390;1309,300
38;1257,300;1159,200;1192,190;1267,300
39;1257,300;1159,200;1192,190;1267,300
40;1257,300;1159,200;1192,190;1267,300
41;1257,300;1159,200;1192,190;1267,300
42;1257,300;1159,200;1192,190;1267,300
43;1257,300;1159,200;1192,190;1267,300
44;1257,300;1159,200;1192,190;1267,300
45;1255,471;1159,200;1190,490;1267,300
46;1257,655;1159,200;1192,470;1267,300
47;1257,655;1159,200;1192,470;1267,300
48;1247,150;1159,200;1182,670;1267,300
49;1243,230;1159,200;1178,940;1267,300
50;1243,230;1159,200;1178,940;1267,300
51;1243,230;1159,200;1178,940;1267,300
52;1243,230;1159,200;1178,940;1267,300
53;1243,230;1159,200;1178,940;1267,300
54;1243,230;1159,200;1178,940;1267,300
55;1238,036;1159,200;1174,040;1267,300
56;1238,036;1159,200;1174,040;1267,300
57;1238,036;1159,200;1174,040;1267,300
58;1235,439;1159,200;1171,600;1267,300
59;1235,168;1159,200;1171,340;1267,300
60;1235,168;1159,200;1171,340;1267,300
61;1235,168;1159,200;1171,340;1267,300
62;1235,168;1159,200;1171,340;1267,300
63;1235,168;1159,200;1171,340;1267,300
64;1235,168;1159,200;1171,340;1267,300
65;1233,804;1159,200;1170,040;1267,300
66;1233,804;1159,200;1170,040;1267,300
67;1233,804;1159,200;1170,040;1267,300
68;1233,804;1159,200;1170,040;1267,300
69;1233,804;1159,200;1170,040;1267,300
70;1233,804;1159,200;1170,040;1267,300
71;1233,804;1159,200;1170,040;1267,300
72;1226,359;1159,200;1163,360;1200,500
73;1226,359;1159,200;1163,360;1200,500
74;1227,339;1159,200;1164,290;1200,500
75;1228,353;1159,200;1165,220;1209,800
76;1223,913;1159,200;1161,100;1168,500
77;1223,882;1159,200;1161,070;1168,500
78;1223,871;1159,200;1161,060;1168,500
79;1223,871;1159,200;1161,060;1168,500
80;1223,871;1159,200;1161,060;1168,500
81;1223,871;1159,200;1161,060;1168,500
82;1223,871;1159,200;1161,060;1168,500
83;1223,871;1159,200;1161,060;1168,500
84;1223,871;1159,200;1161,060;1168,500
85;1223,871;1159,200;1161,060;1168,500
86;1223,871;1159,200;1161,060;1168,500
87;1223,871;1159,200;1161,060;1168,500
88;1224,853;1159,200;1161,990;1168,500
89;1224,853;1159,200;1161,990;1168,500
90;1224,853;1159,200;1161,990;1168,500
91;1224,853;1159,200;1161,990;1168,500
92;1224,853;1159,200;1161,990;1168,500
93;1224,853;1159,200;1161,990;1168,500
94;1224,853;1159,200;1161,990;1168,500
95;1225,835;1159,200;1162,920;1168,500
96;1225,835;1159,200;1162,920;1168,500
97;1225,835;1159,200;1162,920;1168,500
98;1225,835;1159,200;1162,920;1168,500
99;1225,835;1159,200;1162,920;1168,500
100;1225,835;1159,200;1162,920;1168,500
