gen;std;min;avg;max
0;503522,148;425138,658;476858,514;521745,073
1;501277,981;425138,658;474749,572;521463,789
2;496579,330;425138,658;470287,773;516551,908
3;494939,523;425138,658;468750,163;509908,356
4;489165,818;425138,658;463280,765;506209,054
5;488385,224;424019,603;462483,368;506209,054
6;481968,152;399131,141;456204,989;500207,693
7;478623,104;397546,640;453092,902;500207,693
8;473766,571;395294,475;448507,233;500207,693
9;467346,365;388475,254;442254,314;497271,291
10;465832,079;388475,254;440746,157;497271,291
11;463064,438;388475,254;438190,938;497271,291
12;459097,731;388475,254;434528,983;491511,088
13;455498,736;387133,390;431176,981;481603,655
14;451925,134;387133,390;427809,919;480349,427
15;447485,875;387133,390;423680,808;479429,408
16;445573,925;383589,477;421746,483;479429,408
17;443775,607;383589,477;420039,791;479429,408
18;442823,024;383589,477;419195,320;475233,104
19;438678,210;383589,477;415235,059;475233,104
20;437617,264;383589,477;414335,292;467797,248
21;433282,970;381629,086;410086,446;467797,248
22;432274,532;373748,133;409053,859;467797,248
23;430767,873;373748,133;407583,959;464610,878
24;428785,371;373748,133;405872,842;453634,789
25;426584,771;373227,467;403856,681;447164,976
26;425556,684;373227,467;402881,052;446911,672
27;422216,919;373227,467;399838,287;446911,672
28;421226,348;373227,467;398935,492;446018,715
29;420181,783;373227,467;397992,574;446018,715
30;417441,635;366336,602;395399,891;439474,387
31;415867,861;360980,479;393872,432;439474,387
32;415022,188;360980,479;393041,319;439474,387
33;413953,522;360980,479;392022,696;439474,387
34;411388,960;360980,479;389542,198;439474,387
35;411226,998;360980,479;389384,042;439474,387
36;409042,631;360980,479;387409,227;439474,387
37;407514,657;360980,479;385964,788;437263,437
38;406977,707;360980,479;385488,970;434302,209
39;406486,807;358677,907;385011,248;434302,209
40;406486,807;358677,907;385011,248;434302,209
41;406088,706;358677,907;384648,616;434302,209
42;403241,610;339958,716;381781,177;434302,209
43;401035,400;339958,716;379699,503;434302,209
44;400566,610;338772,349;379247,402;434302,209
45;399485,384;338772,349;378203,732;432712,645
46;396162,602;329061,015;374982,569;431729,868
47;395338,862;329061,015;374208,633;431118,553
48;394558,712;329061,015;373448,833;431118,553
49;394555,971;329061,015;373446,301;431118,553
50;393601,682;328858,494;372597,630;426801,683
51;392008,231;327757,414;371112,917;426801,683
52;391629,406;327757,414;370734,468;426801,683
53;390250,389;327614,874;369493,165;423379,068
54;388878,177;327614,874;368189,136;421558,231
55;385379,359;327614,874;365005,436;410998,297
56;382721,104;327614,874;362480,124;410186,635
57;382468,428;327614,874;362241,641;410186,635
58;380306,729;327614,874;360152,289;410186,635
59;380079,352;327614,874;359936,632;410186,635
60;380048,912;327614,874;359907,693;410186,635
61;379180,914;327614,874;359039,510;410186,635
62;376939,393;314345,756;356762,421;410186,635
63;376913,884;314070,345;356734,880;410186,635
64;375901,256;314070,345;355857,767;404257,661
65;371759,080;311853,061;351652,058;401843,129
66;371675,285;311853,061;351582,236;401144,906
67;370549,063;311853,061;350515,511;401144,906
68;369574,726;311853,061;349579,690;401144,906
69;368682,296;305812,816;348654,439;401144,906
70;367720,752;305812,816;347709,784;401144,906
71;365606,982;305770,703;345780,125;401144,906
72;364264,370;305770,703;344553,580;400035,825
73;361664,275;305701,944;342227,724;389089,183
74;360671,287;305174,073;341300,182;388275,766
75;357428,267;295286,497;338047,007;388275,766
76;356086,401;295137,679;336745,431;388275,766
77;355390,943;295137,679;336099,542;386316,502
78;353829,445;295137,679;334745,019;375263,873
79;353482,379;295137,679;334410,271;375263,873
80;353427,909;295137,679;334364,069;374801,854
81;353397,652;295137,679;334334,096;374801,854
82;351864,169;295137,679;332954,304;372942,949
83;349972,488;294997,339;331050,813;372942,949
84;349195,524;294997,339;330294,634;372942,949
85;348001,520;294997,339;329227,822;372115,369
86;347270,146;294997,339;328607,721;365914,357
87;346941,209;293063,594;328271,195;365914,357
88;346492,421;293063,594;327872,870;365914,357
89;346091,461;293063,594;327494,198;365795,701
90;346091,461;293063,594;327494,198;365795,701
91;344242,863;293063,594;325853,753;358430,413
92;343234,575;293063,594;324895,773;358430,413
93;342539,396;292589,526;324265,515;356755,518
94;342418,888;292589,526;324156,542;356755,518
95;342050,965;292589,526;323817,011;356755,518
96;342050,965;292589,526;323817,011;356755,518
97;342010,716;292589,526;323780,940;356755,518
98;340926,455;292589,526;322771,825;356755,518
99;340161,267;292589,526;322056,802;356755,518
100;340161,267;292589,526;322056,802;356755,518
