gen;std;min;avg;max
0;19512,597;14105,100;18182,190;23650,100
1;19650,381;14011,100;18312,180;23648,000
2;19706,304;14011,100;18225,930;26212,000
3;19606,614;13514,900;18116,540;26212,000
4;19785,387;13514,900;18296,200;26212,000
5;19264,486;12924,600;17802,730;26212,000
6;19242,957;12924,600;17783,920;26212,000
7;19222,509;12924,600;17760,900;26212,000
8;18906,437;12912,600;17618,640;22551,300
9;18720,494;12912,600;17474,020;22352,400
10;18626,405;12912,600;17409,020;22352,400
11;18752,096;12912,600;17505,330;22815,100
12;18332,655;12912,600;17159,960;21617,300
13;18268,927;13568,600;17124,220;21617,300
14;18126,708;12912,600;16954,930;21617,300
15;18299,844;12912,600;17114,300;21598,500
16;17870,258;12912,600;16734,530;21598,500
17;17822,536;12912,600;16690,630;21598,500
18;17597,457;12731,300;16444,660;21598,500
19;17063,842;11435,300;15864,160;21598,500
20;16745,338;10550,700;15515,740;21598,500
21;16745,338;10550,700;15515,740;21598,500
22;16823,880;11435,300;15627,360;21598,500
23;16823,880;11435,300;15627,360;21598,500
24;16466,991;9644,100;15179,610;21598,500
25;16559,495;9644,100;15248,120;21598,500
26;16601,267;9644,100;15284,300;21598,500
27;16590,499;9644,100;15276,840;21523,900
28;16668,457;9644,100;15362,900;21523,900
29;16668,457;9644,100;15362,900;21523,900
30;16668,457;9644,100;15362,900;21523,900
31;16311,695;9644,100;15026,220;21523,900
32;16412,919;9644,100;15119,920;21523,900
33;15846,927;9169,900;14589,840;21523,900
34;15846,927;9169,900;14589,840;21523,900
35;15185,612;9169,900;14038,050;20409,500
36;15185,612;9169,900;14038,050;20409,500
37;15185,612;9169,900;14038,050;20409,500
38;15185,612;9169,900;14038,050;20409,500
39;15230,792;9169,900;14089,030;20409,500
40;15247,282;9169,900;14101,370;20500,300
41;15430,170;9169,900;14276,240;20500,300
42;15312,673;8870,300;14151,290;20409,500
43;15312,673;8870,300;14151,290;20409,500
44;15312,673;8870,300;14151,290;20409,500
45;15312,673;8870,300;14151,290;20409,500
46;15151,960;8870,300;13971,980;20409,500
47;15151,960;8870,300;13971,980;20409,500
48;15129,528;8870,300;13952,060;20409,500
49;15189,032;8870,300;14006,660;20409,500
50;15182,255;8870,300;13998,500;20409,500
51;15185,085;8870,300;14000,520;20409,500
52;15185,085;8870,300;14000,520;20409,500
53;15171,335;8870,300;13984,400;20409,500
54;15016,629;8870,300;13878,690;19352,400
55;15016,629;8870,300;13878,690;19352,400
56;15016,629;8870,300;13878,690;19352,400
57;15015,709;8870,300;13877,850;19352,400
58;15004,659;8840,100;13866,770;19352,400
59;15004,659;8840,100;13866,770;19352,400
60;14989,372;8840,100;13848,800;19352,400
61;14989,372;8840,100;13848,800;19352,400
62;14983,695;8840,100;13842,670;19352,400
63;15182,237;8840,100;14011,070;19352,400
64;15167,399;8840,100;13993,210;19352,400
65;15167,399;8840,100;13993,210;19352,400
66;15167,399;8840,100;13993,210;19352,400
67;15029,711;8840,100;13877,080;19352,400
68;15031,737;8840,100;13879,510;19352,400
69;14965,528;8840,100;13824,250;19166,000
70;14854,455;8840,100;13720,120;19166,000
71;14854,455;8840,100;13720,120;19166,000
72;14854,455;8840,100;13720,120;19166,000
73;14967,889;8840,100;13814,050;19166,000
74;14967,889;8840,100;13814,050;19166,000
75;14959,793;8840,100;13804,450;19166,000
76;15001,987;8840,100;13853,750;19166,000
77;15001,987;8840,100;13853,750;19166,000
78;14906,113;8840,100;13761,300;19166,000
79;14997,517;8840,100;13860,360;19166,000
80;14997,517;8840,100;13860,360;19166,000
81;14997,517;8840,100;13860,360;19166,000
82;15206,630;8840,100;14056,890;19166,000
83;15206,630;8840,100;14056,890;19166,000
84;15206,630;8840,100;14056,890;19166,000
85;15206,630;8840,100;14056,890;19166,000
86;15206,630;8840,100;14056,890;19166,000
87;15206,630;8840,100;14056,890;19166,000
88;15206,630;8840,100;14056,890;19166,000
89;15206,630;8840,100;14056,890;19166,000
90;15199,089;8840,100;14049,610;19166,000
91;15199,089;8840,100;14049,610;19166,000
92;15199,089;8840,100;14049,610;19166,000
93;15207,605;8840,100;14055,680;19226,700
94;15160,234;8840,100;14017,470;19008,800
95;15160,234;8840,100;14017,470;19008,800
96;15160,234;8840,100;14017,470;19008,800
97;15090,455;8840,100;13954,050;19008,800
98;15090,455;8840,100;13954,050;19008,800
99;15047,547;8840,100;13899,150;19008,800
100;15047,547;8840,100;13899,150;19008,800
