gen;std;min;avg;max
0;643827,918;494033,041;607247,954;689576,976
1;623304,248;494033,041;589080,998;647663,647
2;606852,225;452768,950;572034,718;647663,647
3;601737,386;437666,024;566726,865;647663,647
4;582656,382;437666,024;549504,696;645047,511
5;568292,212;414812,642;533676,399;645047,511
6;566473,495;414812,642;531517,332;645006,681
7;558445,750;397243,823;523315,618;645006,681
8;556545,381;397243,823;521817,217;631835,817
9;533415,292;397243,823;500600,489;631835,817
10;530609,104;361842,491;497060,356;631835,817
11;527455,357;361493,339;494072,144;630696,309
12;517671,491;361421,776;485391,567;630696,309
13;514215,300;361421,776;481257,958;630696,309
14;494231,749;344315,795;463816,666;554127,860
15;489467,472;315528,265;458463,142;554127,860
16;487019,916;315528,265;456430,049;553961,597
17;484161,016;315528,265;453650,964;553961,597
18;480428,732;315528,265;450488,842;553006,099
19;472014,158;315528,265;441332,732;553006,099
20;471971,328;315528,265;441297,416;553006,099
21;469491,038;315528,265;438956,038;553006,099
22;467111,061;315528,265;436862,982;553006,099
23;466908,648;315528,265;436697,520;553006,099
24;466770,817;315528,265;436527,900;553006,099
25;466759,010;315371,036;436512,177;553006,099
26;466462,846;315371,036;436249,684;553006,099
27;460633,602;305152,618;430490,007;553006,099
28;457082,462;295382,492;425908,528;553006,099
29;450224,176;295382,492;420128,386;553006,099
30;448152,032;295135,160;418242,764;553006,099
31;447741,628;295135,160;417862,436;553006,099
32;440280,040;295135,160;410317,428;553006,099
33;437691,249;295135,160;408117,129;553006,099
34;431230,838;295135,160;402202,761;553006,099
35;424036,748;294932,228;396937,791;500559,331
36;423648,256;294932,228;396605,810;500559,331
37;421988,757;280853,864;394452,011;500559,331
38;421751,509;280853,864;394195,009;500559,331
39;421751,509;280853,864;394195,009;500559,331
40;420684,623;280853,864;393276,171;500559,331
41;420666,394;280853,864;393262,382;500421,433
42;420343,922;280853,864;392994,882;500421,433
43;420101,652;280002,514;392735,284;500421,433
44;420101,652;280002,514;392735,284;500421,433
45;419928,909;280002,514;392544,082;500421,433
46;418880,591;278599,393;391419,110;500421,433
47;417191,980;278599,393;389569,892;500421,433
48;413546,698;278599,393;385990,834;500421,433
49;413420,493;278599,393;385858,906;500421,433
50;413414,647;278599,393;385854,165;500421,433
51;409554,697;278599,393;382730,439;493595,076
52;409554,697;278599,393;382730,439;493595,076
53;409554,697;278599,393;382730,439;493595,076
54;408980,792;278599,393;382241,051;493595,076
55;408980,792;278599,393;382241,051;493595,076
56;408756,880;278599,393;382039,329;493595,076
57;402857,513;278599,393;376543,037;493540,144
58;402857,513;278599,393;376543,037;493540,144
59;402702,585;278599,393;376387,842;493540,144
60;399155,017;278599,393;373296,193;493540,144
61;398181,370;278599,393;372079,374;493540,144
62;398181,370;278599,393;372079,374;493540,144
63;397516,515;278599,393;371430,633;491763,359
64;397134,568;276976,942;371018,772;491763,359
65;397093,400;276976,942;370986,223;491763,359
66;395449,802;276976,942;369490,608;491649,677
67;389220,929;276976,942;363728,387;491649,677
68;389220,929;276976,942;363728,387;491649,677
69;389119,012;276976,942;363634,401;491469,325
70;389119,012;276976,942;363634,401;491469,325
71;389119,012;276976,942;363634,401;491469,325
72;389066,777;276976,942;363586,691;491469,325
73;389066,777;276976,942;363586,691;491469,325
74;388712,491;276976,942;363261,684;491469,325
75;388639,035;276812,538;363202,204;491038,929
76;388639,035;276812,538;363202,204;491038,929
77;385512,329;276812,538;360089,739;488129,689
78;385512,329;276812,538;360089,739;488129,689
79;384933,215;276812,538;359513,958;488129,689
80;384933,215;276812,538;359513,958;488129,689
81;384933,215;276812,538;359513,958;488129,689
82;384933,215;276812,538;359513,958;488129,689
83;384750,175;276812,538;359372,865;488129,689
84;383305,990;276812,538;358246,090;488129,689
85;383289,707;276812,538;358234,581;488014,603
86;383223,131;276812,538;358170,931;488014,603
87;383223,131;276812,538;358170,931;488014,603
88;380294,598;276286,228;355764,627;488014,603
89;378475,257;276286,228;354091,526;488014,603
90;378432,176;276286,228;354051,137;488014,603
91;378178,646;273144,035;353736,918;488014,603
92;377473,690;273144,035;353065,651;488014,603
93;377233,897;273144,035;352840,671;488014,603
94;377233,897;273144,035;352840,671;488014,603
95;377203,418;273144,035;352808,485;488014,603
96;377203,418;273144,035;352808,485;488014,603
97;372913,524;273144,035;349155,141;488014,603
98;372811,490;273144,035;349055,989;488014,603
99;372673,228;273144,035;348911,323;488014,603
100;372673,228;273144,035;348911,323;488014,603
