gen;std;min;avg;max
0;13830,606;9044,000;12888,400;16148,400
1;13111,424;9044,000;12208,760;16105,000
2;12624,183;9044,000;11790,830;16105,000
3;12377,029;9044,000;11568,610;16105,000
4;12318,307;9044,000;11508,760;16105,000
5;11945,434;9044,000;11171,760;16105,000
6;11711,969;8080,300;10907,410;16105,000
7;11651,727;8080,300;10839,570;16105,000
8;11165,362;8080,300;10491,980;12629,100
9;11050,527;7670,300;10354,610;12629,100
10;11050,383;7670,300;10354,470;12629,100
11;10743,058;7670,300;10089,630;12384,400
12;10682,219;7670,300;10030,390;12384,400
13;10674,454;7670,300;10023,100;12384,400
14;10301,625;7604,700;9696,750;11806,900
15;10290,354;7466,100;9682,890;11806,900
16;10125,216;7466,100;9546,520;11209,500
17;10125,216;7466,100;9546,520;11209,500
18;10115,335;7466,100;9536,460;11209,500
19;10113,018;7437,800;9533,630;11209,500
20;10095,040;7437,800;9515,060;11209,500
21;10095,040;7437,800;9515,060;11209,500
22;9999,871;7265,200;9423,420;11209,500
23;9993,644;7265,200;9417,740;11209,500
24;9993,644;7265,200;9417,740;11209,500
25;9993,644;7265,200;9417,740;11209,500
26;9941,091;7265,200;9365,180;11209,500
27;9941,091;7265,200;9365,180;11209,500
28;9928,118;7265,200;9352,740;11209,500
29;9928,118;7265,200;9352,740;11209,500
30;9928,118;7265,200;9352,740;11209,500
31;9899,488;7265,200;9327,220;11209,500
32;9899,488;7265,200;9327,220;11209,500
33;9885,987;7265,200;9314,980;11209,500
34;9743,770;7265,200;9179,350;11209,500
35;9731,847;7265,200;9166,310;11209,500
36;9686,619;7265,200;9122,500;11209,500
37;9623,868;7265,200;9066,890;11209,500
38;9598,005;7116,200;9040,590;11209,500
39;9598,005;7116,200;9040,590;11209,500
40;9598,005;7116,200;9040,590;11209,500
41;9598,005;7116,200;9040,590;11209,500
42;9597,931;7116,200;9040,510;11209,500
43;9589,292;7010,600;9029,950;11209,500
44;9585,374;7010,600;9026,930;11179,300
45;9585,374;7010,600;9026,930;11179,300
46;9570,592;7010,600;9011,480;11179,300
47;9568,139;7010,600;9009,400;11179,300
48;9568,139;7010,600;9009,400;11179,300
49;9476,594;7010,600;8908,980;11179,300
50;9459,615;7010,600;8894,020;11159,100
51;9459,585;7010,600;8893,990;11159,100
52;9447,975;7010,600;8882,470;11159,100
53;9447,975;7010,600;8882,470;11159,100
54;9240,687;7010,600;8712,490;10147,500
55;9162,587;7010,600;8640,720;10147,500
56;9118,333;7010,600;8593,240;10147,500
57;9053,878;7010,600;8529,490;10147,500
58;9053,878;7010,600;8529,490;10147,500
59;9053,878;7010,600;8529,490;10147,500
60;9053,878;7010,600;8529,490;10147,500
61;9050,790;7010,600;8526,040;10147,500
62;9050,571;7010,600;8525,800;10147,500
63;9050,571;7010,600;8525,800;10147,500
64;9050,571;7010,600;8525,800;10147,500
65;9050,571;7010,600;8525,800;10147,500
66;9050,571;7010,600;8525,800;10147,500
67;9031,956;7010,600;8509,880;10147,500
68;9031,956;7010,600;8509,880;10147,500
69;9011,708;7010,600;8488,660;10147,500
70;9010,254;7010,600;8487,140;10147,500
71;9000,958;7010,600;8479,120;10147,500
72;8997,324;6968,500;8474,910;10147,500
73;8992,308;6968,500;8470,180;10147,500
74;8992,308;6968,500;8470,180;10147,500
75;8992,308;6968,500;8470,180;10147,500
76;8987,191;6968,500;8465,330;10147,500
77;8981,429;6968,500;8458,990;10147,500
78;8981,429;6968,500;8458,990;10147,500
79;8966,351;6968,500;8445,880;10147,500
80;8966,351;6968,500;8445,880;10147,500
81;8963,690;6968,500;8442,940;10147,500
82;8963,690;6968,500;8442,940;10147,500
83;8963,690;6968,500;8442,940;10147,500
84;8963,690;6968,500;8442,940;10147,500
85;8963,690;6968,500;8442,940;10147,500
86;8963,690;6968,500;8442,940;10147,500
87;8963,690;6968,500;8442,940;10147,500
88;8963,690;6968,500;8442,940;10147,500
89;8961,965;6968,500;8441,430;10147,500
90;8961,965;6968,500;8441,430;10147,500
91;8961,965;6968,500;8441,430;10147,500
92;8960,188;6947,900;8439,370;10147,500
93;8960,188;6947,900;8439,370;10147,500
94;8959,592;6947,900;8438,710;10147,500
95;8959,592;6947,900;8438,710;10147,500
96;8959,592;6947,900;8438,710;10147,500
97;8959,592;6947,900;8438,710;10147,500
98;8905,704;6947,900;8390,480;10147,500
99;8905,704;6947,900;8390,480;10147,500
100;8905,704;6947,900;8390,480;10147,500
