gen;std;min;avg;max
0;690864,678;504050,353;651421,006;745556,948
1;693955,970;533620,002;656070,245;753545,459
2;689911,659;533620,002;652204,611;753545,459
3;683439,354;533620,002;645967,263;752140,816
4;683439,354;533620,002;645967,263;752140,816
5;682915,436;533620,002;645447,180;752140,816
6;679457,166;487675,999;641197,740;752403,335
7;681634,127;487675,999;643200,979;752403,335
8;680937,461;487642,488;642509,597;752403,335
9;698779,096;487642,488;658874,839;752403,335
10;703454,306;487101,160;663159,056;752001,419
11;701240,483;487101,160;660984,420;752001,419
12;700629,926;487101,160;660461,158;752001,419
13;701049,611;487101,160;660789,397;758827,776
14;701013,426;487101,160;660757,607;758827,776
15;702773,805;487101,160;662496,230;758527,040
16;703890,449;487134,671;663389,109;758527,040
17;703978,653;487503,886;663484,853;758429,056
18;702879,719;487503,886;662518,662;758429,056
19;702425,435;487503,886;662115,847;758429,056
20;701766,033;487503,886;661451,240;758744,908
21;701484,436;487503,886;661240,401;758744,908
22;700069,183;519009,709;660369,495;758744,908
23;703486,852;515558,785;663661,848;758744,908
24;689749,236;515558,785;650697,696;758744,908
25;685401,739;515592,296;646086,200;758744,908
26;681445,293;515672,776;642527,737;758744,908
27;681203,011;515639,265;642305,370;758744,908
28;679393,981;515639,265;640791,216;748562,972
29;680615,611;515639,265;641814,209;758744,908
30;679647,690;515672,776;640931,737;758744,908
31;674648,854;515672,776;636300,786;758744,908
32;672488,887;515672,776;634246,529;758744,908
33;672779,713;515672,776;634541,539;758744,908
34;672462,293;515672,776;634215,466;758744,908
35;672457,009;515672,776;634213,983;758744,908
36;672481,605;515672,776;634233,897;758744,908
37;677104,676;515672,776;638681,346;758368,707
38;676778,391;515639,265;638406,281;758744,908
39;660838,348;453067,734;620618,533;758744,908
40;663606,093;488806,391;624140,599;758368,707
41;655791,888;489200,756;616627,028;758368,707
42;643754,958;420640,137;603705,438;758368,707
43;637682,502;420640,137;597588,394;752286,163
44;631724,816;332758,706;588664,601;752286,163
45;631688,949;332758,706;588633,008;752286,163
46;634692,702;332758,706;591287,441;752286,163
47;634673,815;332758,706;591268,045;752286,163
48;636990,573;332758,706;592882,653;752662,364
49;636921,398;332758,706;592816,270;752662,364
50;636292,131;332758,706;592275,792;752286,163
51;644362,973;332758,706;599224,723;752286,163
52;644318,176;332758,706;599185,557;752286,163
53;648951,159;409097,774;606646,340;752286,163
54;648822,462;409417,306;606540,355;752286,163
55;648831,775;409550,112;606553,635;752286,163
56;648802,821;409550,112;606530,091;752286,163
57;643716,964;409550,112;602332,601;752286,163
58;643734,990;409550,112;602350,905;752286,163
59;643224,812;409550,112;601922,667;752286,163
60;643280,790;409550,112;601968,335;752662,364
61;643615,441;409550,112;602258,866;752662,364
62;644848,418;409550,112;603311,816;752662,364
63;644869,352;409550,112;603333,471;752662,364
64;644494,337;409550,112;603002,105;752662,364
65;644465,871;409550,112;602977,854;752662,364
66;643938,303;409550,112;602561,207;752662,364
67;643919,942;409550,112;602545,741;752662,364
68;645826,558;409550,112;604347,868;752662,364
69;650203,381;409550,112;608914,550;752662,364
70;649914,762;409920,287;608687,798;752286,163
71;649372,584;409920,287;608276,241;752286,163
72;648375,463;409787,481;607410,843;752286,163
73;648477,978;409787,481;607535,062;752286,163
74;648426,254;409920,287;607494,960;752286,163
75;648615,850;409787,481;607671,315;752662,364
76;648624,024;409787,481;607678,588;752662,364
77;650705,430;409787,481;610099,052;752662,364
78;650587,016;409787,481;609989,125;752286,163
79;650370,090;408348,297;609738,860;751970,311
80;649956,583;408348,297;609380,249;751970,311
81;649959,419;408348,297;609382,706;751970,311
82;649282,577;408348,297;608769,961;752346,512
83;648957,281;408348,297;608442,205;751970,311
84;644692,215;408348,297;604006,798;751970,311
85;643289,570;408348,297;602784,246;751970,311
86;637464,291;408481,103;596728,659;751970,311
87;636412,268;408481,103;595793,325;751970,311
88;635427,780;394254,364;594383,850;751970,311
89;634798,497;394254,364;593826,101;751970,311
90;623964,279;394254,364;584290,440;751970,311
91;624014,074;394254,364;584312,576;751970,311
92;624000,638;394254,364;584299,377;751970,311
93;623675,769;394573,896;584057,079;751970,311
94;621309,033;394573,896;581752,083;751970,311
95;621271,006;394441,090;581707,796;751970,311
96;621576,390;394441,090;582006,172;751970,311
97;626366,044;394121,558;587102,013;751970,311
98;626307,077;393938,577;587035,120;751970,311
99;626304,048;393938,577;587031,769;751970,311
100;626349,290;393938,577;587064,852;752346,512
