gen;std;min;avg;max
0;7737,805;5872,200;7266,600;9472,400
1;7872,448;5872,200;7403,940;9472,400
2;7772,551;5660,300;7265,160;9566,200
3;7862,391;5027,800;7319,750;9566,200
4;7744,200;5017,600;7213,330;9566,200
5;7655,747;5017,600;7143,290;9566,200
6;7539,080;5017,600;7008,530;9566,200
7;7387,704;5017,600;6890,540;8714,500
8;7314,008;5017,600;6822,640;8714,500
9;7353,980;4996,500;6847,660;8714,500
10;7268,618;4969,800;6745,200;8714,500
11;7167,962;4969,800;6696,390;8557,400
12;7004,744;4851,800;6528,370;8557,400
13;6602,118;4826,400;6194,160;7559,000
14;6601,706;4770,200;6192,920;7559,000
15;6462,074;4010,100;6023,220;7559,000
16;6462,074;4010,100;6023,220;7559,000
17;6407,589;3947,000;5973,540;7606,300
18;6388,658;3947,000;5956,740;7606,300
19;6379,811;3947,000;5945,600;7606,300
20;6250,835;3810,300;5836,560;7189,900
21;6016,452;3810,300;5625,150;7189,900
22;5990,232;3810,300;5591,930;7414,500
23;5979,473;3810,300;5582,830;7414,500
24;5984,606;3810,300;5587,170;7414,500
25;5975,172;3810,300;5580,290;7345,700
26;5972,733;3810,300;5579,990;7281,200
27;6017,539;3810,300;5629,030;7281,200
28;6017,539;3810,300;5629,030;7281,200
29;5987,788;3810,300;5605,240;7167,600
30;5981,815;3810,300;5597,800;7305,700
31;6055,067;3810,300;5666,830;7305,700
32;6100,737;3810,300;5700,260;7640,000
33;6105,675;3810,300;5705,110;7640,000
34;6044,364;3810,300;5640,490;7640,000
35;5991,138;3810,300;5591,270;7640,000
36;5960,906;3810,300;5559,320;7640,000
37;5960,906;3810,300;5559,320;7640,000
38;5923,167;3810,300;5532,430;7371,100
39;5923,167;3810,300;5532,430;7371,100
40;5859,316;3774,200;5468,360;7371,100
41;5801,042;3774,200;5405,450;7371,100
42;5801,042;3774,200;5405,450;7371,100
43;5815,155;3774,200;5419,250;7371,100
44;5806,312;3902,300;5419,020;7239,900
45;6682,113;3855,200;5956,990;11788,500
46;6678,701;3855,200;5954,270;11788,500
47;6593,958;3855,200;5881,340;11788,500
48;6600,229;3855,200;5887,570;11788,500
49;6600,229;3855,200;5887,570;11788,500
50;6616,555;4078,700;5911,300;11788,500
51;6575,335;4045,600;5871,000;11788,500
52;6575,335;4045,600;5871,000;11788,500
53;6566,473;4045,600;5859,180;11788,500
54;9144,016;4045,600;6924,030;22437,000
55;9130,830;4045,600;6899,230;22437,000
56;9123,643;4045,600;6889,860;22437,000
57;9123,643;4045,600;6889,860;22437,000
58;9124,488;4045,600;6891,040;22437,000
59;9136,233;4045,600;6913,140;22437,000
60;9136,233;4045,600;6913,140;22437,000
61;9128,065;4045,600;6901,410;22437,000
62;9128,065;4045,600;6901,410;22437,000
63;9130,994;4045,600;6905,560;22437,000
64;9130,994;4045,600;6905,560;22437,000
65;9130,916;4045,600;6904,950;22437,000
66;9122,485;3989,700;6888,590;22437,000
67;9195,610;3989,700;6986,540;22437,000
68;9195,610;3989,700;6986,540;22437,000
69;9195,610;3989,700;6986,540;22437,000
70;6744,726;3989,700;5976,420;12313,100
71;6713,968;3989,700;5935,440;12313,100
72;6713,968;3989,700;5935,440;12313,100
73;6749,536;3989,700;5980,310;12313,100
74;6719,888;3989,700;5952,760;12313,100
75;6714,157;3989,700;5946,240;12313,100
76;6736,835;3989,700;5970,590;12313,100
77;6736,835;3989,700;5970,590;12313,100
78;6707,310;3989,700;5941,240;12313,100
79;6691,535;3989,700;5922,880;12313,100
80;6691,377;3989,700;5922,720;12313,100
81;6643,392;3989,700;5870,430;12313,100
82;6575,324;3989,700;5803,510;12313,100
83;6575,324;3989,700;5803,510;12313,100
84;6575,324;3989,700;5803,510;12313,100
85;6764,859;3989,700;5987,740;12313,100
86;6765,075;3989,700;5987,990;12313,100
87;6761,690;3989,700;5984,510;12313,100
88;6750,436;3989,700;5972,410;12313,100
89;6693,965;3989,700;5902,670;12313,100
90;6680,715;3989,700;5886,750;12313,100
91;6680,715;3989,700;5886,750;12313,100
92;6680,715;3989,700;5886,750;12313,100
93;6680,715;3989,700;5886,750;12313,100
94;6674,138;3989,700;5879,640;12313,100
95;6675,749;3989,700;5881,900;12313,100
96;6545,175;3989,700;5795,960;11788,500
97;6545,175;3989,700;5795,960;11788,500
98;6545,175;3989,700;5795,960;11788,500
99;6528,136;3989,700;5777,380;11788,500
100;6528,136;3989,700;5777,380;11788,500
