gen;std;min;avg;max
0;185680,036;123170,236;173655,217;207160,073
1;171120,865;123170,236;160943,346;192683,151
2;159584,341;122619,215;150161,338;179479,067
3;158738,101;122619,215;149374,066;179479,067
4;156158,314;122423,176;147009,460;178561,755
5;153765,994;122423,176;144996,298;172112,789
6;153154,701;122423,176;144359,660;172112,789
7;148413,061;122423,176;140219,568;170848,887
8;148002,765;122423,176;139837,206;170848,887
9;144788,212;122423,176;136617,266;170848,887
10;143069,281;119953,335;135094,510;164838,101
11;140567,650;111159,081;132543,952;164203,121
12;140267,124;111159,081;132311,007;161873,666
13;139578,656;110042,785;131579,312;161873,666
14;139017,364;110042,785;131049,009;161873,666
15;138263,491;110042,785;130438,783;156915,363
16;137565,337;110042,785;129828,143;156915,363
17;136312,520;110042,785;128725,014;154935,588
18;136002,183;109976,526;128436,093;154935,588
19;135741,608;109976,526;128194,467;154935,588
20;135539,258;109670,585;127996,957;154935,588
21;131946,675;109092,719;124500,112;153531,443
22;130954,457;109092,719;123639,985;150424,511
23;130650,056;109092,719;123351,199;149810,390
24;130136,596;109092,719;122841,429;149810,390
25;130084,855;109092,719;122800,931;149405,413
26;127398,679;109092,719;120298,102;149405,413
27;126543,049;109092,719;119501,254;149405,413
28;125157,132;104941,855;118077,938;149405,413
29;124551,000;104796,649;117519,723;148075,779
30;123945,375;102054,793;116934,265;146716,337
31;122943,349;102054,793;116154,782;138921,505
32;122136,969;102054,793;115366,307;138921,505
33;121962,571;102054,793;115202,621;138921,505
34;121460,797;101802,316;114783,226;136984,866
35;121314,776;101802,316;114666,270;135815,312
36;120881,376;101802,316;114223,628;135815,312
37;120351,394;101802,316;113746,179;135815,312
38;120056,207;100385,044;113440,391;135815,312
39;120056,207;100385,044;113440,391;135815,312
40;119666,082;100199,063;113072,293;135815,312
41;119618,701;99730,952;113021,754;135815,312
42;119310,955;99730,952;112729,380;135236,328
43;119280,713;99481,684;112698,801;135179,811
44;118123,301;99481,684;111726,727;127093,786
45;116541,196;99481,684;110219,038;125935,626
46;116221,761;98908,486;109897,180;125935,626
47;115815,896;98908,486;109548,140;125935,626
48;114545,554;96122,791;108263,215;125864,338
49;114541,072;96122,791;108258,661;125864,338
50;112669,735;96122,791;106564,417;125864,338
51;112669,735;96122,791;106564,417;125864,338
52;112517,922;96122,791;106414,610;125864,338
53;111600,542;89214,336;105432,439;125864,338
54;111596,411;89214,336;105428,646;125851,527
55;111474,938;89214,336;105311,131;125851,527
56;111320,731;89214,336;105150,121;125851,527
57;110795,543;89214,336;104645,322;124548,557
58;109601,238;89214,336;103613,821;116998,495
59;109484,155;89214,336;103501,541;116998,495
60;109484,155;89214,336;103501,541;116998,495
61;108061,286;89214,336;102105,554;116998,495
62;108047,162;89214,336;102092,048;116998,495
63;107829,861;89214,336;101905,617;116998,495
64;107477,372;89214,336;101568,255;116998,495
65;107453,853;89214,336;101546,482;116998,495
66;107453,853;89214,336;101546,482;116998,495
67;107378,678;89214,336;101467,084;116998,495
68;107322,137;89214,336;101410,618;116998,495
69;107138,011;89214,336;101236,101;116998,495
70;106830,202;89214,336;100943,175;116998,495
71;106461,010;87978,568;100564,674;116998,495
72;105252,767;87978,568;99535,546;113732,196
73;105192,463;87978,568;99480,427;113732,196
74;104819,396;87336,061;99114,513;113732,196
75;104644,674;87336,061;98950,029;113732,196
76;104306,452;87336,061;98648,172;112209,477
77;104106,961;87336,061;98458,001;112209,477
78;103686,269;86552,207;98035,109;112209,477
79;103205,838;86552,207;97572,203;111777,520
80;102957,060;86552,207;97328,067;111777,520
81;102740,906;86140,920;97104,537;111777,520
82;102728,998;86013,008;97091,746;111777,520
83;102724,781;86013,008;97087,280;111777,520
84;102677,883;86013,008;97039,962;111777,520
85;102677,883;86013,008;97039,962;111777,520
86;102677,883;86013,008;97039,962;111777,520
87;102416,810;86013,008;96799,238;111777,520
88;101639,288;84807,984;96094,004;107208,609
89;101553,777;84807,984;96012,284;107208,609
90;101112,044;83348,349;95572,448;107208,609
91;101098,245;83348,349;95559,742;107208,609
92;100710,622;83348,349;95183,721;107208,609
93;100710,622;83348,349;95183,721;107208,609
94;100710,622;83348,349;95183,721;107208,609
95;100135,062;83348,349;94684,548;107208,609
96;99697,616;83348,349;94245,240;107208,609
97;99616,846;83348,349;94175,595;107208,609
98;99207,948;83268,017;93802,021;107208,609
99;99196,984;83150,381;93790,258;107208,609
100;99196,984;83150,381;93790,258;107208,609
