gen;std;min;avg;max
0;5105,103;2957,100;4703,250;7049,300
1;5050,907;2858,200;4626,600;7049,300
2;4865,660;2849,700;4418,880;7049,300
3;4858,696;2849,700;4412,860;7049,300
4;4848,957;2849,700;4398,460;7049,300
5;4704,562;2836,600;4292,680;6323,800
6;4690,649;2825,400;4276,630;6323,800
7;4657,362;2643,000;4235,600;6323,800
8;4608,739;2643,000;4182,870;6323,800
9;4559,857;2643,000;4144,320;6323,800
10;4517,006;2643,000;4114,240;6055,900
11;4514,456;2643,000;4111,440;6055,900
12;4426,217;2643,000;4015,370;6055,900
13;4421,190;2643,000;4010,320;6055,900
14;4399,606;2643,000;3991,830;6055,900
15;4173,082;2643,000;3818,870;6055,900
16;4144,835;2643,000;3797,530;6055,900
17;4083,921;2643,000;3735,450;6055,900
18;4080,567;2643,000;3731,400;6055,900
19;4071,242;2643,000;3723,600;6055,900
20;3998,714;2643,000;3656,150;6055,900
21;3992,728;2643,000;3649,610;6055,900
22;3991,106;2643,000;3647,830;6055,900
23;3951,975;2636,100;3606,630;6055,900
24;3870,925;2636,100;3543,690;6055,900
25;3680,684;2636,100;3420,770;4970,900
26;3646,853;2636,100;3387,550;4970,900
27;3618,566;2622,400;3362,430;4890,500
28;3618,566;2622,400;3362,430;4890,500
29;3618,566;2622,400;3362,430;4890,500
30;3615,817;2622,400;3359,120;4890,500
31;3583,727;2622,400;3333,710;4890,500
32;3561,800;2622,400;3311,220;4890,500
33;3555,819;2569,500;3303,870;4890,500
34;3551,194;2514,800;3298,160;4890,500
35;3527,371;2514,800;3274,500;4890,500
36;3489,848;2514,800;3242,910;4890,500
37;3461,426;2514,800;3224,380;4705,200
38;3460,021;2514,800;3223,160;4705,200
39;3444,151;2514,800;3206,260;4705,200
40;3444,151;2514,800;3206,260;4705,200
41;3442,916;2514,800;3204,910;4705,200
42;3441,840;2501,500;3203,580;4705,200
43;3441,299;2494,800;3202,910;4705,200
44;3407,731;2494,800;3180,110;4492,500
45;3407,731;2494,800;3180,110;4492,500
46;3407,731;2494,800;3180,110;4492,500
47;3407,285;2494,800;3179,580;4492,500
48;3378,855;2494,800;3159,820;4294,900
49;3378,855;2494,800;3159,820;4294,900
50;3378,855;2494,800;3159,820;4294,900
51;3350,989;2494,800;3139,700;4093,700
52;3342,962;2494,800;3133,750;4034,200
53;3325,692;2494,800;3117,870;4034,200
54;3322,369;2494,800;3114,450;4034,200
55;3276,533;2494,800;3078,590;3706,500
56;3252,872;2494,800;3059,180;3706,500
57;3252,872;2494,800;3059,180;3706,500
58;3248,854;2494,800;3055,790;3706,500
59;3218,900;2494,800;3029,640;3706,500
60;3214,085;2494,800;3025,860;3668,700
61;3214,085;2494,800;3025,860;3668,700
62;3212,474;2488,500;3024,120;3668,700
63;3211,943;2486,300;3023,630;3666,000
64;3211,321;2486,300;3022,960;3666,000
65;3211,321;2486,300;3022,960;3666,000
66;3208,152;2486,300;3019,520;3666,000
67;3155,158;2486,300;2973,330;3625,900
68;3155,158;2486,300;2973,330;3625,900
69;3126,725;2486,300;2946,870;3625,900
70;3126,725;2486,300;2946,870;3625,900
71;3111,883;2486,300;2933,700;3616,800
72;3111,883;2486,300;2933,700;3616,800
73;3111,883;2486,300;2933,700;3616,800
74;3105,577;2414,300;2926,500;3616,800
75;3089,696;2414,300;2909,190;3616,800
76;3089,696;2414,300;2909,190;3616,800
77;3089,553;2414,300;2909,060;3616,800
78;3089,553;2414,300;2909,060;3616,800
79;3076,032;2395,000;2895,210;3616,800
80;3071,672;2344,100;2890,120;3616,800
81;3065,817;2344,100;2884,710;3616,800
82;3056,451;2231,300;2873,430;3616,800
83;3047,648;2231,300;2865,130;3616,800
84;3047,648;2231,300;2865,130;3616,800
85;3047,084;2231,300;2864,620;3616,800
86;3038,683;2231,300;2856,620;3616,800
87;3038,683;2231,300;2856,620;3616,800
88;3038,683;2231,300;2856,620;3616,800
89;3038,683;2231,300;2856,620;3616,800
90;3029,898;2231,300;2848,000;3616,800
91;3025,959;2231,300;2844,400;3616,800
92;3025,959;2231,300;2844,400;3616,800
93;3025,959;2231,300;2844,400;3616,800
94;3025,899;2231,300;2844,340;3616,800
95;3025,899;2231,300;2844,340;3616,800
96;3019,376;2231,300;2837,170;3616,800
97;3019,376;2231,300;2837,170;3616,800
98;3019,376;2231,300;2837,170;3616,800
99;3019,376;2231,300;2837,170;3616,800
100;3002,996;2231,300;2820,330;3616,800
