gen;std;min;avg;max
0;166121,547;125132,134;156429,613;184549,482
1;165969,240;125459,424;156286,456;184706,086
2;166476,858;122578,071;156440,557;188945,388
3;165887,236;121321,762;155719,045;188945,388
4;163435,004;121194,287;153625,200;188945,388
5;162555,021;118912,153;152655,049;188945,388
6;162914,824;117614,481;153039,010;188945,388
7;163185,672;117614,481;153315,364;188945,388
8;163620,239;117614,481;153621,681;192452,878
9;163351,063;118338,507;153480,573;192452,878
10;162647,995;118338,507;152798,145;192452,878
11;164428,964;118338,507;154265,890;192452,878
12;163496,643;118338,507;153519,322;191718,162
13;162310,388;118338,507;152371,666;191718,162
14;160967,273;119585,784;151120,764;191718,162
15;161025,768;119713,259;151180,395;191718,162
16;159947,228;118338,507;150137,598;191718,162
17;159109,948;115428,208;149250,787;191772,366
18;159198,201;115428,208;149334,042;191772,366
19;160096,823;118338,507;150491,279;191384,537
20;159138,224;113379,129;149418,865;191728,437
21;159454,675;114887,611;149667,215;194361,553
22;158416,825;110338,154;148719,173;187927,499
23;156545,300;109060,090;146938,295;187207,647
24;156182,180;109060,090;146570,012;186904,931
25;155743,661;107835,904;146151,849;186522,395
26;154466,520;107835,904;145096,843;179621,084
27;154466,699;107692,395;144957,020;186055,138
28;153228,136;107692,395;143925,922;179845,716
29;152686,231;107692,395;143496,808;179168,588
30;151405,013;107317,558;142365,508;180090,103
31;151420,389;107317,558;142379,659;180090,103
32;151444,713;107658,922;142413,945;180090,103
33;150789,892;107658,922;141752,544;180090,103
34;150542,761;107099,297;141519,796;180090,103
35;151020,846;107099,297;141949,818;180090,103
36;150016,944;107106,437;141182,553;172084,985
37;148659,187;107106,437;139805,186;172084,985
38;148638,063;107106,437;139840,719;170493,189
39;148232,208;106228,634;139400,991;170493,189
40;148206,986;106073,561;139376,254;170493,189
41;147897,208;103804,953;139037,446;170493,189
42;147492,983;103804,953;138675,509;168767,022
43;146907,318;103804,953;138142,611;168767,022
44;146763,575;103804,953;138000,100;168767,022
45;145391,754;103804,953;136536,290;170273,028
46;145244,546;102332,687;136365,096;170033,350
47;146461,366;102332,687;137605,923;170033,350
48;145868,864;102332,687;137127,716;169427,343
49;145651,458;102332,687;136934,561;168295,939
50;145651,458;102332,687;136934,561;168295,939
51;145723,527;102332,687;136990,990;168779,978
52;146762,648;102332,687;138093,071;168779,978
53;144884,989;102332,687;136018,692;168779,978
54;144844,456;102332,687;135977,686;168779,978
55;143712,901;102332,687;135098,277;164820,156
56;143717,894;102332,687;135102,853;164820,156
57;143509,981;102332,687;134922,572;164820,156
58;143333,569;102332,687;134755,469;164820,156
59;143245,097;102332,687;134661,254;164820,156
60;140729,295;102332,687;132029,381;164820,156
61;140683,294;102332,687;131974,727;164820,156
62;140712,233;102332,687;132000,642;164820,156
63;140385,246;102332,687;131745,423;162341,103
64;138306,007;101221,296;130020,457;154544,684
65;138306,007;101221,296;130020,457;154544,684
66;137926,504;101221,296;129567,069;154544,684
67;137749,628;101221,296;129421,190;153985,739
68;137496,331;101221,296;129187,173;153985,739
69;137162,212;101221,296;128866,184;153985,739
70;136876,718;101221,296;128592,879;153985,739
71;136862,480;101221,296;128566,640;153985,739
72;136668,836;101221,296;128412,254;153985,739
73;137048,157;101221,296;128824,796;153985,739
74;137250,886;101221,296;129045,383;153985,739
75;137270,417;101221,296;129070,689;153950,694
76;136940,506;101221,296;128709,683;153950,694
77;134948,064;101221,296;127035,568;147572,554
78;134393,292;101221,296;126496,175;147572,554
79;134393,292;101221,296;126496,175;147572,554
80;134468,411;102115,229;126585,568;147572,554
81;134546,856;102115,229;126657,970;147572,554
82;134560,108;102115,229;126740,248;147572,554
83;134784,097;102115,229;126923,083;149400,901
84;134621,559;102115,229;126769,041;149400,901
85;134381,325;102093,971;126499,339;149400,901
86;134376,303;102093,971;126495,273;149360,239
87;134177,094;102210,418;126334,079;148199,648
88;133769,144;102210,418;125998,367;144842,528
89;133769,144;102210,418;125998,367;144842,528
90;133835,548;102210,418;126055,146;144842,528
91;134079,661;102210,418;126257,024;146835,812
92;134958,210;102210,418;126974,203;153410,213
93;133791,235;102210,418;125978,577;145514,774
94;133839,263;102210,418;126032,140;145514,774
95;134370,509;102210,418;126463,566;149647,124
96;133454,352;102210,418;125508,859;149647,124
97;133775,580;102284,276;125732,667;153487,081
98;133775,580;102284,276;125732,667;153487,081
99;133774,742;102284,276;125731,764;153487,081
100;135457,668;102284,276;127464,428;153620,602
