gen;std;min;avg;max
0;145935,704;110302,673;137099,923;172901,631
1;142251,674;110302,673;133893,661;172901,631
2;142619,504;105578,173;133935,862;172173,138
3;141412,976;105539,319;132791,490;172042,980
4;141992,882;113063,921;133508,029;173357,781
5;140799,711;104748,613;132312,912;172901,631
6;140697,139;103849,792;132228,639;172901,631
7;140038,462;103660,375;131580,835;172901,631
8;139097,683;103660,375;130561,028;172901,631
9;139230,143;103660,375;130697,732;178113,412
10;139362,789;101129,590;130672,296;178113,412
11;139139,326;101403,623;130679,404;172901,631
12;140160,699;102882,514;131114,847;188686,008
13;138474,744;102882,514;129975,521;175279,665
14;139655,485;102887,639;130797,819;183456,398
15;136917,022;102887,639;128766,233;167490,553
16;137349,467;105999,977;129200,028;168773,052
17;137493,671;107669,387;129366,969;168773,052
18;133306,473;107669,387;125640,491;152779,426
19;133436,361;107669,387;125809,005;152779,426
20;131650,441;107669,387;124215,140;144232,954
21;131630,285;107669,387;124193,980;144232,954
22;131456,280;107669,387;124007,297;144232,954
23;130965,854;107669,387;123535,333;145796,652
24;130212,610;105346,882;122850,502;145796,652
25;130144,437;105346,882;122777,936;145796,652
26;129758,430;105346,882;122389,631;145796,652
27;129175,436;105346,882;121834,860;145796,652
28;129066,693;105346,882;121743,890;144232,954
29;127965,190;101603,341;120519,477;144232,954
30;126856,518;101603,341;119353,979;144232,954
31;126208,973;99369,331;118773,784;144232,954
32;125355,502;99369,331;118025,554;144232,954
33;124934,158;100506,375;117610,182;144232,954
34;125541,206;97864,328;118078,221;144232,954
35;124846,535;101692,633;117636,243;138303,830
36;124276,630;97864,328;117070,350;135269,504
37;123423,343;97864,328;116339,034;135269,504
38;123536,425;97864,328;116461,279;135269,504
39;123693,856;97502,001;116572,680;137592,460
40;123378,363;97502,001;116292,896;138657,565
41;123299,218;97502,001;116207,747;138657,565
42;123144,578;95726,956;116030,242;138657,565
43;122149,369;90941,677;114935,848;138657,565
44;122149,369;90941,677;114935,848;138657,565
45;121850,932;90941,677;114694,251;138657,565
46;121888,602;90941,677;114730,372;138657,565
47;121371,274;90580,510;114221,766;138657,565
48;119733,618;90580,510;112615,956;138657,565
49;119818,923;90580,510;112729,975;138657,565
50;118430,527;90580,510;111419,258;138657,565
51;118448,521;90580,510;111436,065;138657,565
52;118801,468;90580,510;111813,603;138657,565
53;119218,343;94227,437;112338,496;137036,877
54;119019,466;94227,437;112156,191;137036,877
55;119019,466;94227,437;112156,191;137036,877
56;118747,148;91269,181;111845,533;137036,877
57;118706,154;91269,181;111807,207;137036,877
58;118692,923;90941,677;111790,343;137036,877
59;118655,988;90941,677;111761,526;136748,701
60;118996,695;94913,574;112161,015;136748,701
61;118164,694;94913,574;111495,503;130093,586
62;118463,525;94913,574;111712,744;130093,586
63;118051,010;94913,574;111310,621;130627,142
64;117915,377;94913,574;111172,008;130627,142
65;118681,204;94913,574;111781,959;136726,654
66;118681,204;94913,574;111781,959;136726,654
67;118067,604;93747,758;111256,242;133020,658
68;117645,948;93747,758;110902,708;133020,658
69;118350,634;95516,443;111473,546;136430,462
70;115993,854;91613,885;109366,445;129708,770
71;115765,345;91613,885;109125,361;129708,770
72;115033,313;95207,726;108474,583;129708,770
73;115176,426;95503,707;108604,266;129708,770
74;114846,444;95503,707;108319,927;129708,770
75;114833,020;95503,707;108310,736;129543,673
76;114301,615;95503,707;107768,432;129543,673
77;114583,071;95503,707;108011,324;131428,354
78;114583,071;95503,707;108011,324;131428,354
79;112959,128;95503,707;106614,866;127189,870
80;112574,888;95503,707;106279,608;127189,870
81;112574,888;95503,707;106279,608;127189,870
82;112362,025;95503,707;106096,319;126684,105
83;112327,047;95503,707;106062,202;126684,105
84;111509,141;95503,707;105365,650;121526,154
85;112138,330;94426,032;105945,744;121526,154
86;112167,833;94426,032;105974,443;121526,154
87;112127,952;94426,032;105948,127;121344,702
88;112127,952;94426,032;105948,127;121344,702
89;112347,233;94426,032;106127,644;123700,112
90;112495,840;94347,248;106314,385;123700,112
91;112351,067;93092,776;106135,971;123700,112
92;112197,369;93092,776;106004,533;123700,112
93;112184,027;92947,948;105990,050;123700,112
94;111612,896;89759,025;105396,368;123700,112
95;111583,858;89759,025;105377,542;122964,445
96;111355,938;89759,025;105160,405;122964,445
97;111355,938;89759,025;105160,405;122964,445
98;111217,165;89759,025;105046,846;121828,857
99;111217,165;89759,025;105046,846;121828,857
100;111217,165;89759,025;105046,846;121828,857
