gen;std;min;avg;max
0;1266,003;902,500;1176,040;1757,000
1;1161,507;761,000;1072,920;1658,100
2;1150,637;761,000;1061,960;1658,100
3;1058,846;754,900;993,540;1228,700
4;1024,764;754,900;962,900;1228,700
5;1003,846;754,900;942,790;1228,700
6;974,640;754,900;915,660;1147,400
7;948,671;740,700;890,470;1147,400
8;908,063;740,700;855,990;1028,300
9;886,323;718,700;836,310;1026,300
10;881,993;718,700;831,890;1026,300
11;870,927;718,700;821,910;1026,300
12;860,766;718,700;812,300;1026,300
13;855,841;718,700;807,570;1026,300
14;850,664;718,700;802,600;1026,300
15;849,242;718,700;801,190;1026,300
16;847,842;718,700;799,760;1026,300
17;847,842;718,700;799,760;1026,300
18;847,141;718,700;799,060;1026,300
19;847,141;718,700;799,060;1026,300
20;847,141;718,700;799,060;1026,300
21;845,515;718,700;797,420;1026,300
22;841,053;713,200;792,820;1026,300
23;839,783;713,200;791,680;1026,300
24;839,783;713,200;791,680;1026,300
25;829,209;633,100;780,180;1026,300
26;829,209;633,100;780,180;1026,300
27;829,209;633,100;780,180;1026,300
28;822,634;633,100;774,000;1026,300
29;819,126;633,100;770,700;1026,300
30;812,824;633,100;764,260;1026,300
31;807,845;633,100;759,060;1026,300
32;804,337;633,100;755,190;1026,300
33;803,018;633,100;753,810;1026,300
34;803,018;633,100;753,810;1026,300
35;800,088;633,100;751,010;1026,300
36;794,168;633,100;745,430;1026,300
37;794,168;633,100;745,430;1026,300
38;794,168;633,100;745,430;1026,300
39;793,695;633,100;744,930;1026,300
40;793,695;633,100;744,930;1026,300
41;793,233;633,100;744,440;1026,300
42;790,424;633,100;741,380;1026,300
43;790,424;633,100;741,380;1026,300
44;790,424;633,100;741,380;1026,300
45;785,356;633,100;736,150;1026,300
46;785,356;633,100;736,150;1026,300
47;780,405;633,100;731,900;1026,300
48;780,405;633,100;731,900;1026,300
49;780,405;633,100;731,900;1026,300
50;775,646;633,100;728,600;993,300
51;770,481;633,100;723,370;993,300
52;763,043;633,100;716,080;993,300
53;763,043;633,100;716,080;993,300
54;759,705;633,100;713,750;970,000
55;754,817;633,100;708,890;970,000
56;753,328;633,100;707,440;970,000
57;750,717;633,100;704,710;970,000
58;747,179;633,100;701,160;970,000
59;747,179;633,100;701,160;970,000
60;746,800;633,100;700,840;970,000
61;746,800;633,100;700,840;970,000
62;746,800;633,100;700,840;970,000
63;743,652;633,100;697,600;970,000
64;743,652;633,100;697,600;970,000
65;743,043;633,100;696,960;970,000
66;743,043;633,100;696,960;970,000
67;743,043;633,100;696,960;970,000
68;742,681;633,100;696,580;970,000
69;742,681;633,100;696,580;970,000
70;742,681;633,100;696,580;970,000
71;742,681;633,100;696,580;970,000
72;739,774;633,100;694,560;949,800
73;739,774;633,100;694,560;949,800
74;739,774;633,100;694,560;949,800
75;739,774;633,100;694,560;949,800
76;739,741;633,100;694,530;949,800
77;739,741;633,100;694,530;949,800
78;739,115;633,100;694,090;945,400
79;739,115;633,100;694,090;945,400
80;720,716;633,100;680,300;807,500
81;720,716;633,100;680,300;807,500
82;720,716;633,100;680,300;807,500
83;720,716;633,100;680,300;807,500
84;720,716;633,100;680,300;807,500
85;703,959;633,100;665,420;807,500
86;702,712;633,100;664,190;807,500
87;702,712;633,100;664,190;807,500
88;702,712;633,100;664,190;807,500
89;702,712;633,100;664,190;807,500
90;702,712;633,100;664,190;807,500
91;702,712;633,100;664,190;807,500
92;701,132;633,100;662,910;796,400
93;701,132;633,100;662,910;796,400
94;701,132;633,100;662,910;796,400
95;701,132;633,100;662,910;796,400
96;701,132;633,100;662,910;796,400
97;701,132;633,100;662,910;796,400
98;701,132;633,100;662,910;796,400
99;701,132;633,100;662,910;796,400
100;701,132;633,100;662,910;796,400
