gen;std;min;avg;max
0;493640,497;428008,179;467804,954;495072,711
1;490256,556;428008,179;464575,651;494687,854
2;483578,724;419930,374;458229,646;484052,791
3;479786,426;417838,739;454570,645;484052,791
4;468712,053;397032,404;443967,906;484052,791
5;464337,084;393298,896;439723,227;483440,783
6;462184,111;389701,879;437693,452;483440,783
7;457848,577;388424,601;433713,252;467649,548
8;456809,043;388386,550;432748,426;467649,548
9;453429,372;388386,550;429583,549;462757,079
10;450399,944;377590,615;426588,026;462757,079
11;446729,169;373748,626;422883,237;462757,079
12;441986,011;373748,626;418418,149;462757,079
13;436698,210;368202,099;413369,758;454223,903
14;432945,045;359370,548;409713,191;454223,903
15;430537,562;359370,548;407592,523;444519,578
16;428376,189;359370,548;405576,022;444519,578
17;424231,279;336038,123;401287,681;443844,370
18;418950,232;336038,123;396331,405;435197,875
19;416366,364;336038,123;393981,219;428059,619
20;413609,022;336038,123;391493,032;425059,150
21;413250,037;336038,123;391144,111;424745,256
22;409847,518;336038,123;387959,449;418963,278
23;404589,194;336038,123;382912,957;418963,278
24;402888,295;336038,123;381268,053;418963,278
25;401513,604;336038,123;380016,934;414775,245
26;401113,925;336038,123;379667,023;414775,245
27;400028,848;334062,845;378601,527;414014,080
28;397481,583;334062,845;376134,972;412532,796
29;396761,167;334062,845;375477,383;412532,796
30;393737,399;334062,845;372656,962;412532,796
31;391473,895;327938,600;370382,086;412532,796
32;390947,594;327938,600;369908,692;412532,796
33;390820,206;327938,600;369787,378;412417,536
34;386995,586;326820,397;366242,052;412417,536
35;386206,359;326820,397;365495,957;412417,536
36;383390,221;326042,323;362791,622;412417,536
37;382363,862;326042,323;361805,052;412399,663
38;382132,739;326042,323;361607,147;410672,073
39;381629,978;321953,005;361083,904;410672,073
40;381629,978;321953,005;361083,904;410672,073
41;380098,149;320499,845;359510,081;410672,073
42;378374,756;320499,845;357988,349;407239,876
43;378109,506;319544,456;357729,101;407239,876
44;377793,725;319544,456;357427,907;407239,876
45;375651,772;318605,809;355335,004;407239,876
46;375309,173;317260,709;354989,760;407239,876
47;372036,781;312930,147;352052,201;393870,635
48;370769,931;312930,147;350912,257;387425,430
49;370025,924;312930,147;350218,327;387425,430
50;369308,647;312930,147;349534,153;387425,430
51;367034,813;312930,147;347423,539;387425,430
52;366924,568;312930,147;347319,219;387425,430
53;365330,497;312445,089;345766,187;387425,430
54;364938,214;312445,089;345424,149;387425,430
55;360735,251;308943,718;341441,527;387425,430
56;358961,513;308943,718;339929,279;372302,942
57;357260,639;308943,718;338362,373;372033,924
58;357097,629;308943,718;338200,236;372033,924
59;356719,067;308943,718;337866,549;369774,737
60;352888,322;308943,718;334348,905;363389,512
61;352844,630;308943,718;334309,168;363389,512
62;352287,173;308943,718;333812,059;358974,986
63;352211,961;308943,718;333737,666;358974,986
64;348982,849;308943,718;330663,329;358974,986
65;347506,869;307356,350;329191,268;358974,986
66;345090,569;290137,613;326759,863;358974,986
67;344774,885;290137,613;326466,170;358974,986
68;344721,732;290137,613;326417,955;358974,986
69;344220,891;290036,033;325938,063;358974,986
70;343784,207;285860,200;325474,902;358974,986
71;342694,955;285860,200;324442,138;356975,229
72;340617,871;285126,429;322290,219;356851,882
73;340541,978;285126,429;322221,497;356851,882
74;339942,622;285104,835;321647,143;356851,882
75;339680,508;285104,835;321412,987;356851,882
76;339068,573;285104,835;320829,974;356851,882
77;338955,754;285104,835;320726,639;356851,882
78;334188,468;282334,766;316296,571;356851,882
79;333905,671;281335,063;316036,946;355255,329
80;333905,671;281335,063;316036,946;355255,329
81;332054,610;281335,063;314355,931;350778,360
82;332054,221;281335,063;314355,560;350778,360
83;330784,188;277967,775;313094,816;348923,179
84;330577,714;277967,775;312893,821;348923,179
85;330570,365;277967,775;312887,554;348860,512
86;329202,290;277967,775;311665,932;341515,133
87;328724,450;277967,775;311181,169;341515,133
88;328633,874;277967,775;311098,140;341515,133
89;328409,030;277967,775;310880,252;341490,123
90;327117,602;270270,289;309555,313;341026,129
91;326591,838;270270,289;309064,766;341026,129
92;326532,451;269623,714;309000,108;341026,129
93;326244,120;269623,714;308750,695;339464,653
94;325598,907;269623,714;308127,263;339464,653
95;324886,578;269623,714;307487,216;338548,686
96;324886,578;269623,714;307487,216;338548,686
97;324859,776;269623,714;307461,894;338548,686
98;324852,169;269623,714;307455,016;338548,686
99;324502,621;269623,714;307133,890;338548,686
100;324155,273;269623,714;306827,852;336819,852
