gen;std;min;avg;max
0;22353,465;18177,300;21035,180;26104,600
1;22161,523;17436,600;20851,650;26104,600
2;21923,320;17436,600;20603,250;26104,600
3;21876,127;17436,600;20593,210;24822,400
4;21782,446;17443,100;20502,880;24822,400
5;21596,389;17212,400;20327,720;24790,700
6;22273,525;17212,400;20841,090;29118,500
7;22020,701;17373,200;20591,610;29118,500
8;21888,853;16695,600;20440,300;29318,600
9;21979,067;16695,600;20524,940;29318,600
10;22074,363;16695,600;20609,520;29318,600
11;21760,410;16695,600;20347,910;27999,500
12;21522,410;16157,200;20142,680;27081,500
13;21043,817;15073,700;19639,350;27081,500
14;21020,653;14855,700;19599,490;27480,500
15;20983,088;14855,700;19566,910;27666,000
16;20911,942;14855,700;19479,620;27666,000
17;20652,093;14855,700;19208,740;27666,000
18;20534,237;14412,400;19112,410;27052,800
19;20343,454;14560,100;18920,630;26571,800
20;20250,333;14560,100;18819,230;26571,800
21;20208,305;14560,100;18727,000;27603,700
22;20084,130;14560,100;18506,960;28985,900
23;20203,471;14015,200;18577,710;28985,900
24;20255,333;14573,400;18643,820;28985,900
25;20188,762;14556,400;18565,230;28985,900
26;20007,621;14507,200;18425,900;28600,900
27;20154,768;14625,700;18601,760;28600,900
28;20092,937;14666,100;18548,890;28600,900
29;19956,159;13675,000;18389,690;28600,900
30;19887,843;13675,000;18316,410;28600,900
31;19899,688;13675,000;18306,590;28600,900
32;19856,113;13675,000;18244,640;28742,300
33;19593,558;13675,000;17981,270;28742,300
34;19506,641;13780,500;17876,480;28742,300
35;19569,875;13451,400;17946,250;28742,300
36;19573,821;13451,400;17949,080;28742,300
37;19539,421;13451,400;17891,910;28940,400
38;19370,042;13206,400;17749,190;28940,400
39;19364,591;13206,400;17743,490;28940,400
40;19287,981;12885,100;17649,020;28940,400
41;19277,190;12885,100;17626,750;28940,400
42;19047,212;12885,100;17386,480;28940,400
43;18813,818;12885,100;17136,150;28686,300
44;18743,250;12885,100;17054,050;28686,300
45;18747,804;12885,100;17059,310;28686,300
46;18699,348;12885,100;17007,200;29283,700
47;18645,637;12934,000;16985,390;29283,700
48;18565,061;12934,000;16907,470;29283,700
49;18560,461;12934,000;16903,290;29283,700
50;18444,268;12934,000;16834,810;28671,900
51;18420,386;12934,000;16806,030;28671,900
52;18428,260;12934,000;16810,280;28671,900
53;18453,981;13138,200;16834,240;28703,200
54;18062,378;12543,300;16443,330;28703,200
55;18137,446;13138,200;16537,300;28703,200
56;18170,034;13138,200;16579,810;28703,200
57;18209,797;13138,200;16618,180;28703,200
58;18115,435;13007,800;16520,470;28660,800
59;18035,887;12752,800;16446,750;28505,500
60;17955,672;12828,400;16391,610;28505,500
61;17766,644;12659,400;16227,870;28505,500
62;17613,146;12659,400;16049,550;28504,100
63;17532,837;12517,500;15961,850;28504,100
64;17492,505;12104,100;15911,390;28504,100
65;17482,232;12104,100;15902,770;28504,100
66;17493,384;12104,100;15916,200;28496,100
67;17493,384;12104,100;15916,200;28496,100
68;17452,287;12104,100;15881,340;28496,100
69;17303,656;12104,100;15718,780;28496,100
70;17303,656;12104,100;15718,780;28496,100
71;17225,037;12104,100;15645,020;28496,100
72;17149,039;12240,700;15579,760;28496,100
73;17149,039;12240,700;15579,760;28496,100
74;17040,577;11472,000;15443,020;28496,100
75;17046,864;11472,000;15449,750;28496,100
76;16903,313;11472,000;15275,500;28496,100
77;16748,881;11472,000;15135,080;28496,100
78;16568,860;11472,000;15018,300;27723,900
79;16545,343;11472,000;14992,470;27738,600
80;16500,336;11033,400;14937,310;27738,600
81;16565,793;11173,300;15011,110;27738,600
82;16594,379;11173,300;15044,040;27738,600
83;16589,052;11173,300;15038,070;27738,600
84;16645,653;11173,300;15068,110;28044,600
85;16659,706;11173,300;15083,860;28044,600
86;16610,979;10628,000;15018,670;28044,600
87;16561,091;10628,000;14969,910;28044,600
88;16560,044;10628,000;14968,820;28044,600
89;16310,528;10628,000;14835,610;26662,400
90;16323,146;10628,000;14848,250;26662,400
91;16324,434;10628,000;14849,830;26662,400
92;16237,237;10628,000;14761,100;26662,400
93;16212,895;10746,500;14732,010;26662,400
94;16184,271;10746,500;14697,830;26662,400
95;16184,271;10746,500;14697,830;26662,400
96;15947,983;10746,500;14566,450;25348,600
97;15951,579;10746,500;14570,220;25348,600
98;15899,355;10746,500;14530,010;25348,600
99;15905,775;10746,500;14538,090;25344,700
100;15625,032;10746,500;14288,300;25344,700
