gen;std;min;avg;max
0;6383,696;5214,900;6007,880;7697,700
1;6118,122;5051,800;5761,000;7697,700
2;6004,764;5051,800;5664,040;7284,900
3;5964,051;5051,800;5622,900;7284,900
4;5898,886;4743,000;5559,600;7138,800
5;5778,338;4743,000;5457,700;6613,000
6;5778,338;4743,000;5457,700;6613,000
7;5763,049;4743,000;5441,690;6613,000
8;5730,603;4743,000;5412,240;6613,000
9;5605,653;4743,000;5307,580;5668,300
10;5537,471;4709,400;5242,500;5668,300
11;5504,196;4709,400;5209,960;5668,300
12;5399,732;4709,400;5116,350;5421,000
13;5396,463;4709,400;5112,990;5421,000
14;5342,824;4326,700;5058,270;5421,000
15;5109,373;4259,900;4833,700;5301,200
16;5100,341;4259,900;4825,720;5301,200
17;5100,341;4259,900;4825,720;5301,200
18;5093,369;4259,900;4819,300;5301,200
19;5091,880;4259,900;4817,920;5301,200
20;4979,760;4181,900;4709,950;5301,200
21;4961,268;4181,900;4693,180;5250,600
22;4930,990;4181,900;4666,850;5135,000
23;4848,105;4181,900;4589,770;5135,000
24;4792,552;4181,900;4540,470;4987,300
25;4703,075;4163,800;4454,710;4987,300
26;4699,406;4163,800;4451,340;4987,300
27;4671,826;4163,800;4426,840;4819,500
28;4656,025;4025,700;4410,810;4819,500
29;4604,173;3994,900;4359,580;4819,500
30;4604,055;3994,900;4359,470;4819,500
31;4590,051;3994,900;4345,890;4819,500
32;4569,569;3952,400;4326,040;4819,500
33;4569,569;3952,400;4326,040;4819,500
34;4555,271;3952,400;4313,700;4696,100
35;4437,072;3896,700;4201,550;4653,800
36;4437,072;3896,700;4201,550;4653,800
37;4437,072;3896,700;4201,550;4653,800
38;4432,462;3896,700;4197,120;4653,800
39;4390,927;3718,000;4155,090;4653,800
40;4388,776;3718,000;4153,260;4635,500
41;4283,716;3718,000;4057,780;4401,100
42;4279,436;3718,000;4053,630;4401,100
43;4255,581;3718,000;4031,500;4342,100
44;4246,997;3630,700;4022,580;4342,100
45;4191,789;3630,700;3971,390;4318,000
46;4188,327;3630,700;3968,260;4318,000
47;4184,857;3630,700;3965,100;4318,000
48;4183,153;3630,700;3963,510;4318,000
49;4182,994;3630,700;3963,350;4318,000
50;4182,994;3630,700;3963,350;4318,000
51;4177,314;3630,700;3957,860;4318,000
52;4177,314;3630,700;3957,860;4318,000
53;4177,314;3630,700;3957,860;4318,000
54;4177,314;3630,700;3957,860;4318,000
55;4177,314;3630,700;3957,860;4318,000
56;4169,959;3630,700;3950,650;4318,000
57;4169,959;3630,700;3950,650;4318,000
58;4169,959;3630,700;3950,650;4318,000
59;4168,919;3630,700;3949,680;4318,000
60;4158,414;3630,700;3939,490;4318,000
61;4146,564;3630,700;3927,980;4318,000
62;4126,041;3630,700;3909,800;4213,200
63;4113,799;3630,700;3897,840;4213,200
64;4077,115;3593,300;3863,900;4213,200
65;4074,186;3593,300;3861,120;4213,200
66;4074,043;3593,300;3860,980;4213,200
67;4071,915;3593,300;3858,920;4213,200
68;4071,747;3593,300;3858,760;4213,200
69;4042,964;3462,900;3830,080;4213,200
70;4042,964;3462,900;3830,080;4213,200
71;4042,964;3462,900;3830,080;4213,200
72;4041,989;3462,900;3829,200;4213,200
73;4041,989;3462,900;3829,200;4213,200
74;4035,838;3462,900;3823,200;4213,200
75;4032,286;3462,900;3819,790;4206,700
76;4011,649;3462,900;3800,670;4119,100
77;4011,649;3462,900;3800,670;4119,100
78;3950,414;3462,900;3743,770;4018,200
79;3950,414;3462,900;3743,770;4018,200
80;3950,414;3462,900;3743,770;4018,200
81;3950,414;3462,900;3743,770;4018,200
82;3950,414;3462,900;3743,770;4018,200
83;3935,843;3462,900;3729,320;4018,200
84;3935,843;3462,900;3729,320;4018,200
85;3935,843;3462,900;3729,320;4018,200
86;3935,843;3462,900;3729,320;4018,200
87;3923,797;3462,900;3717,500;4018,200
88;3923,797;3462,900;3717,500;4018,200
89;3923,797;3462,900;3717,500;4018,200
90;3923,797;3462,900;3717,500;4018,200
91;3918,740;3462,900;3712,430;4018,200
92;3918,740;3462,900;3712,430;4018,200
93;3918,740;3462,900;3712,430;4018,200
94;3912,957;3462,900;3707,260;4018,200
95;3911,818;3451,300;3706,100;4018,200
96;3911,818;3451,300;3706,100;4018,200
97;3906,857;3438,000;3701,060;4018,200
98;3901,489;3438,000;3695,620;4018,200
99;3898,533;3421,100;3692,600;4018,200
100;3888,997;3421,100;3683,860;4018,200
