gen;std;min;avg;max
0;273969,538;219832,078;258504,406;305815,847
1;272156,281;217816,151;256783,227;305815,847
2;269671,782;217816,151;254371,929;305815,847
3;269311,899;216702,735;254007,634;305815,847
4;269251,953;215578,728;253841,720;305815,847
5;268243,367;215578,728;252843,513;305815,847
6;268694,777;215578,728;253490,153;305815,847
7;266837,610;215578,728;251702,765;303945,428
8;264813,575;215578,728;249788,084;304996,208
9;263899,044;215578,728;248942,596;305085,793
10;263811,613;213411,521;248857,982;305085,793
11;263211,941;213411,521;248303,753;305085,793
12;261201,646;209888,874;246515,458;298025,748
13;258347,737;209888,874;244021,819;298025,748
14;255899,361;205918,189;241539,291;293053,435
15;254236,365;205918,189;239945,133;291610,543
16;253732,809;205918,189;239377,581;291610,543
17;253726,543;206626,151;239409,750;292310,483
18;251041,319;206626,151;236964,638;288733,261
19;250754,630;206626,151;236642,891;288733,261
20;251436,499;206626,151;237303,540;289018,603
21;253851,252;207239,121;239703,522;292336,358
22;254049,724;207239,121;239897,142;292336,358
23;255126,764;216225,635;241054,928;292336,358
24;254109,584;209857,517;239814,126;292336,358
25;255240,559;209641,720;240884,281;292190,750
26;254507,360;209641,720;240231,897;290436,866
27;255102,723;209999,150;240915,565;293428,362
28;254399,540;208978,503;240228,968;293105,299
29;253088,087;208544,644;239055,553;288388,282
30;253011,400;208544,644;238998,355;288388,282
31;253466,456;208449,072;239454,698;288388,282
32;254619,113;208193,167;240416,372;296079,393
33;254125,423;206857,933;239924,106;296079,393
34;252704,814;206857,933;238557,451;296079,393
35;251802,495;196705,793;237542,237;296079,393
36;251513,619;196705,793;237311,642;296079,393
37;250194,531;200553,370;236074,469;296079,393
38;250194,531;200553,370;236074,469;296079,393
39;249727,678;200553,370;235654,299;295017,238
40;250553,813;200553,370;236402,792;295017,238
41;250649,105;200781,824;236484,564;295017,238
42;250560,743;200781,824;236402,996;295017,238
43;250219,404;200781,824;236033,238;295017,238
44;251276,024;200610,095;237046,324;295017,238
45;249895,865;200610,095;235762,718;295017,238
46;246945,777;200610,095;233046,678;295094,111
47;247992,462;200610,095;233952,129;295794,051
48;246817,876;200610,095;232935,719;295794,051
49;244048,688;200610,095;230316,405;294772,227
50;244075,794;200610,095;230337,741;294772,227
51;242703,560;199494,662;229137,055;289769,786
52;241886,767;200299,050;228373,083;289769,786
53;241683,286;200299,050;228172,615;289769,786
54;240845,019;200299,050;227376,350;289769,786
55;242159,035;200299,050;228612,795;289769,786
56;242034,769;200299,050;228379,225;288415,694
57;239388,485;200299,050;225773,328;289115,634
58;239151,077;200299,050;225520,025;289115,634
59;237808,430;200299,050;224158,402;289115,634
60;238259,537;200299,050;224592,969;287595,272
61;238476,981;200690,816;224819,795;287595,272
62;238031,941;200690,816;224389,677;287162,310
63;238052,921;200541,176;224384,396;287162,310
64;235655,227;200541,176;222559,360;268486,527
65;234781,349;199645,631;221692,338;268486,527
66;236731,962;198064,912;223541,792;269229,590
67;237701,314;198064,912;224233,567;281661,146
68;236458,439;198428,228;223353,118;272325,414
69;236973,808;198032,289;223889,465;272325,414
70;237752,896;199643,872;224699,890;272325,414
71;236613,289;200039,811;223542,920;272325,414
72;236580,265;200039,811;223508,784;272325,414
73;236032,973;200039,811;222945,343;272325,414
74;236021,784;199920,958;222933,457;272325,414
75;235760,249;200597,913;222701,753;272325,414
76;235907,154;199236,947;222863,224;272325,414
77;235939,717;199236,947;222910,364;272325,414
78;235461,695;197618,832;222455,724;271649,395
79;236669,551;197618,832;223507,513;274065,559
80;236089,219;197618,832;223053,270;269523,130
81;235742,683;197618,832;222744,128;269523,130
82;235834,388;197813,573;222992,012;263714,853
83;235653,304;197991,854;222806,797;263545,285
84;236064,387;197991,854;223175,833;263545,285
85;236796,884;197991,854;223930,463;263545,285
86;234956,361;197991,854;222172,073;261974,708
87;234501,413;197991,854;221767,373;261974,708
88;234369,632;197991,854;221643,422;261974,708
89;232902,729;196579,241;220347,278;252455,684
90;233362,659;196579,241;220801,678;252455,684
91;233017,577;196579,241;220472,728;252455,684
92;233056,337;196579,241;220510,521;252455,684
93;232866,845;198028,892;220350,669;252455,684
94;232165,823;198028,892;219727,757;252455,684
95;231379,930;195861,963;218978,161;252455,684
96;230852,501;195145,123;218490,020;252455,684
97;230269,776;195145,123;217948,508;252455,684
98;229541,421;189106,659;217187,714;252455,684
99;230387,787;189106,659;217978,713;252455,684
100;229656,779;189106,659;217268,487;254847,241
