gen;std;min;avg;max
0;567862,871;357828,091;531610,245;644315,623
1;560034,990;357828,091;523803,249;644271,676
2;542287,327;355518,319;508238,542;636957,596
3;524196,149;355518,319;491787,676;636957,596
4;517676,515;355487,874;485795,740;616083,753
5;513611,067;353413,279;482245,957;616083,753
6;501620,674;353413,279;472113,795;560010,996
7;494447,204;353413,279;466101,538;525772,243
8;481561,181;343875,015;454395,567;518006,792
9;481131,740;341631,015;453960,073;515895,850
10;480019,402;341631,015;452905,080;514176,997
11;478281,260;341631,015;451295,081;514176,997
12;471489,376;341631,015;445178,467;501745,779
13;470456,908;341631,015;444216,119;501374,619
14;465311,976;341631,015;439343,624;501374,619
15;456968,431;341631,015;431378,291;501374,619
16;451497,869;341631,015;425814,176;501374,619
17;451497,869;341631,015;425814,176;501374,619
18;451497,869;341631,015;425814,176;501374,619
19;447595,356;341631,015;422559,333;475047,085
20;441277,075;341631,015;416229,477;472881,903
21;437985,175;301100,916;412176,467;472881,903
22;433776,318;301100,916;408130,945;472881,903
23;430034,419;301100,916;404587,116;460746,352
24;428931,995;301100,916;403483,822;460702,415
25;427216,901;301100,916;401910,798;460702,415
26;427216,901;301100,916;401910,798;460702,415
27;424852,563;299809,638;399291,237;460702,415
28;415570,992;299809,638;390948,139;458748,493
29;415564,983;299809,638;390943,184;458748,493
30;414517,560;299809,638;389924,623;458508,922
31;412972,950;299809,638;388487,985;458508,922
32;412972,950;299809,638;388487,985;458508,922
33;412195,498;299809,638;387722,441;458508,922
34;410955,720;299809,638;386536,531;458508,922
35;409497,211;299809,638;385348,549;451980,298
36;405377,257;297143,372;381165,507;451980,298
37;404388,896;297143,372;380323,947;451397,996
38;404274,675;297143,372;380222,743;451397,996
39;404274,675;297143,372;380222,743;451397,996
40;403461,948;297143,372;379556,654;451397,996
41;401600,158;297143,372;377714,468;451397,996
42;401476,208;297143,372;377605,525;451397,996
43;400799,403;297143,372;377035,142;451397,996
44;400778,890;297143,372;377012,917;451397,996
45;400763,567;296957,322;376994,312;451397,996
46;397346,543;296957,322;374106,740;451397,996
47;396317,509;296957,322;373178,260;451397,996
48;393777,346;296957,322;370573,378;451397,996
49;391848,120;296957,322;368706,395;451397,996
50;391523,786;296957,322;368383,341;451397,996
51;391013,603;296957,322;367958,713;451397,996
52;390994,005;296957,322;367937,985;451397,996
53;390888,851;296957,322;367828,812;451397,996
54;390888,851;296957,322;367828,812;451397,996
55;390609,292;296957,322;367580,520;451397,996
56;390488,770;296957,322;367468,666;451397,996
57;390285,517;296957,322;367252,793;451397,996
58;390285,517;296957,322;367252,793;451397,996
59;388330,717;296957,322;365388,499;451397,996
60;388271,069;296254,536;365318,221;451397,996
61;385069,172;296254,536;362721,635;429129,968
62;384934,415;296254,536;362580,251;429129,968
63;384824,188;295083,950;362452,355;429129,968
64;384824,188;295083,950;362452,355;429129,968
65;383955,789;295083,950;361528,421;429129,968
66;381656,456;295083,950;359104,876;429129,968
67;381618,831;294947,592;359063,511;429129,968
68;381618,831;294947,592;359063,511;429129,968
69;381618,831;294947,592;359063,511;429129,968
70;381618,831;294947,592;359063,511;429129,968
71;380791,129;292287,421;358140,416;429129,968
72;380791,129;292287,421;358140,416;429129,968
73;380497,210;292287,421;357833,348;429129,968
74;380497,210;292287,421;357833,348;429129,968
75;380497,210;292287,421;357833,348;429129,968
76;379470,653;292287,421;356846,550;429129,968
77;379470,653;292287,421;356846,550;429129,968
78;379470,653;292287,421;356846,550;429129,968
79;379470,653;292287,421;356846,550;429129,968
80;379470,653;292287,421;356846,550;429129,968
81;379470,653;292287,421;356846,550;429129,968
82;379437,869;292287,421;356811,635;429129,968
83;379437,869;292287,421;356811,635;429129,968
84;379437,869;292287,421;356811,635;429129,968
85;378968,944;291471,667;356302,480;429129,968
86;378968,944;291471,667;356302,480;429129,968
87;378924,645;291471,667;356259,342;429129,968
88;378924,645;291471,667;356259,342;429129,968
89;378924,645;291471,667;356259,342;429129,968
90;378781,210;291471,667;356093,059;429129,968
91;378681,480;291471,667;355995,803;429129,968
92;378681,480;291471,667;355995,803;429129,968
93;378674,689;291471,667;355989,744;429129,968
94;378559,247;291471,667;355855,310;429129,968
95;372759,962;291471,667;350962,738;429129,968
96;372759,962;291471,667;350962,738;429129,968
97;372759,962;291471,667;350962,738;429129,968
98;372351,827;287012,841;350498,490;428946,315
99;372351,827;287012,841;350498,490;428946,315
100;372351,827;287012,841;350498,490;428946,315
