gen;std;min;avg;max
0;12230,201;7829,600;11372,950;15509,300
1;12504,848;7829,600;11647,860;15509,300
2;12502,378;7829,600;11645,210;15509,300
3;12290,050;7788,200;11437,340;15509,300
4;11552,770;7788,200;10842,350;13218,600
5;11807,060;7788,200;11080,490;13218,600
6;11497,993;5588,900;10651,320;13266,100
7;11875,670;5568,000;10964,460;14007,000
8;12172,135;5568,000;11264,790;14007,000
9;12177,531;5568,000;11271,450;14007,000
10;12164,625;5568,000;11260,750;14007,000
11;12201,194;5530,500;11296,610;14007,000
12;12308,551;5530,500;11377,270;14487,200
13;12550,054;7617,300;11674,090;15119,900
14;12800,750;7617,300;11970,340;15119,900
15;12793,100;7569,100;11962,110;15085,800
16;12676,876;7569,100;11867,040;15085,800
17;12492,621;7569,100;11672,780;15085,800
18;12491,156;7569,100;11671,260;15085,800
19;12420,286;7569,100;11611,240;15085,800
20;12478,149;7569,100;11665,360;15085,800
21;12379,452;7569,100;11571,650;15085,800
22;12379,452;7569,100;11571,650;15085,800
23;12379,452;7569,100;11571,650;15085,800
24;12357,530;7740,000;11559,800;15085,800
25;12381,123;7740,000;11581,270;15085,800
26;12278,446;6092,600;11416,530;15085,800
27;12278,446;6092,600;11416,530;15085,800
28;12179,426;6092,600;11330,010;15085,800
29;12172,890;6092,600;11322,670;15085,800
30;12152,243;6092,600;11305,100;15085,800
31;12152,243;6092,600;11305,100;15085,800
32;12152,243;6092,600;11305,100;15085,800
33;12152,243;6092,600;11305,100;15085,800
34;12135,378;6107,800;11290,330;15085,800
35;12135,378;6107,800;11290,330;15085,800
36;11874,622;6107,800;11018,400;15085,800
37;12377,955;6107,800;11402,900;16204,600
38;12377,955;6107,800;11402,900;16204,600
39;12377,625;6107,800;11402,560;16204,600
40;12377,625;6107,800;11402,560;16204,600
41;12375,915;6107,800;11400,800;16204,600
42;12457,071;6107,800;11481,670;16204,600
43;12457,071;6107,800;11481,670;16204,600
44;12337,519;6100,900;11365,680;16109,900
45;12315,430;6100,900;11346,640;16099,600
46;12315,430;6100,900;11346,640;16099,600
47;12317,139;6100,900;11345,750;16099,600
48;12317,139;6100,900;11345,750;16099,600
49;12117,976;6100,900;11140,580;16099,600
50;12205,950;6100,900;11199,320;16687,000
51;12205,950;6100,900;11199,320;16687,000
52;12211,548;6200,900;11209,320;16687,000
53;12211,548;6200,900;11209,320;16687,000
54;12325,591;6200,900;11289,060;17351,400
55;12325,591;6200,900;11289,060;17351,400
56;12351,198;6200,900;11317,870;17351,400
57;12330,428;6200,900;11297,280;17351,400
58;12330,428;6200,900;11297,280;17351,400
59;12330,428;6200,900;11297,280;17351,400
60;12182,401;6451,000;11114,210;17351,400
61;11994,476;6451,000;10992,080;16130,100
62;11994,476;6451,000;10992,080;16130,100
63;11994,476;6451,000;10992,080;16130,100
64;11994,476;6451,000;10992,080;16130,100
65;12020,166;6842,900;11033,530;16130,100
66;12020,166;6842,900;11033,530;16130,100
67;12020,166;6842,900;11033,530;16130,100
68;12012,690;6842,900;11026,420;16130,100
69;11799,765;6842,900;10803,100;16130,100
70;11799,765;6842,900;10803,100;16130,100
71;11799,765;6842,900;10803,100;16130,100
72;11799,765;6842,900;10803,100;16130,100
73;11802,661;6887,700;10807,580;16130,100
74;11800,474;6887,700;10805,560;16130,100
75;11766,340;6887,700;10773,600;16130,100
76;11766,340;6887,700;10773,600;16130,100
77;11766,340;6887,700;10773,600;16130,100
78;11766,340;6887,700;10773,600;16130,100
79;11766,340;6887,700;10773,600;16130,100
80;11974,258;6887,700;11000,360;16130,100
81;11974,258;6887,700;11000,360;16130,100
82;11705,217;6887,700;10695,550;16130,100
83;11705,217;6887,700;10695,550;16130,100
84;11705,217;6887,700;10695,550;16130,100
85;11705,217;6887,700;10695,550;16130,100
86;11698,561;6887,700;10690,820;16130,100
87;11698,561;6887,700;10690,820;16130,100
88;11698,561;6887,700;10690,820;16130,100
89;11807,510;6887,700;10830,270;16130,100
90;11807,510;6887,700;10830,270;16130,100
91;11807,510;6887,700;10830,270;16130,100
92;11807,510;6887,700;10830,270;16130,100
93;11807,510;6887,700;10830,270;16130,100
94;11807,510;6887,700;10830,270;16130,100
95;11807,510;6887,700;10830,270;16130,100
96;11807,510;6887,700;10830,270;16130,100
97;11784,014;6887,700;10799,940;16130,100
98;11783,689;6887,700;10799,520;16130,100
99;11805,125;6887,700;10811,870;16130,100
100;11805,125;6887,700;10811,870;16130,100
