gen;std;min;avg;max
0;12538,977;7417,400;11597,610;15603,800
1;12517,571;7417,400;11575,070;15603,800
2;12031,898;7417,400;11173,750;15603,800
3;11300,830;7417,400;10553,470;13526,900
4;11150,731;7307,200;10430,050;13489,100
5;10920,341;7307,200;10219,600;13489,100
6;10895,661;7307,200;10199,540;13489,100
7;10533,961;7307,200;9869,800;13451,000
8;10481,139;7307,200;9816,670;13451,000
9;10290,086;7307,200;9649,360;13451,000
10;9947,042;7307,200;9391,860;10917,500
11;9698,983;7307,200;9168,670;9904,500
12;9550,417;7307,200;9028,430;9904,500
13;9529,184;7184,600;9005,470;9904,500
14;9476,928;7184,600;8957,290;9904,500
15;9473,540;7184,600;8954,270;9904,500
16;9473,540;7184,600;8954,270;9904,500
17;9436,955;7184,600;8922,110;9761,400
18;9355,207;6921,600;8842,540;9699,400
19;9333,627;6921,600;8822,660;9699,400
20;9264,027;6921,600;8751,300;9699,400
21;9223,124;6921,600;8715,180;9447,900
22;9166,078;6916,300;8657,470;9447,900
23;9152,668;6916,300;8645,320;9447,900
24;9082,498;6916,300;8571,200;9447,900
25;9063,031;6916,300;8554,060;9447,900
26;9062,658;6911,900;8553,620;9447,900
27;8892,548;6911,900;8386,590;9447,900
28;8784,141;5760,500;8252,500;9447,900
29;8784,141;5760,500;8252,500;9447,900
30;8752,162;5760,500;8224,360;9447,900
31;8752,162;5760,500;8224,360;9447,900
32;8707,965;5760,500;8186,690;9176,800
33;8685,291;5443,700;8155,010;9176,800
34;8685,291;5443,700;8155,010;9176,800
35;8685,291;5443,700;8155,010;9176,800
36;8685,291;5443,700;8155,010;9176,800
37;8685,291;5443,700;8155,010;9176,800
38;8685,291;5443,700;8155,010;9176,800
39;8603,896;5443,700;8080,980;9176,800
40;8492,832;5443,700;7943,730;9176,800
41;8492,832;5443,700;7943,730;9176,800
42;8492,832;5443,700;7943,730;9176,800
43;8492,832;5443,700;7943,730;9176,800
44;8492,832;5443,700;7943,730;9176,800
45;8492,832;5443,700;7943,730;9176,800
46;8492,832;5443,700;7943,730;9176,800
47;8469,562;5107,000;7910,060;9176,800
48;8469,562;5107,000;7910,060;9176,800
49;8469,562;5107,000;7910,060;9176,800
50;8451,003;5107,000;7894,090;9176,800
51;8407,857;5107,000;7857,700;9168,100
52;8407,857;5107,000;7857,700;9168,100
53;8407,857;5107,000;7857,700;9168,100
54;8405,065;5107,000;7855,300;9168,100
55;8374,768;5107,000;7825,480;9168,100
56;8344,878;5107,000;7799,490;9168,100
57;8337,306;5107,000;7792,030;9168,100
58;8337,306;5107,000;7792,030;9168,100
59;8333,902;5107,000;7789,240;9140,200
60;8333,902;5107,000;7789,240;9140,200
61;8333,902;5107,000;7789,240;9140,200
62;8327,712;5015,300;7780,070;9140,200
63;8316,191;5015,300;7768,190;9140,200
64;8299,086;4946,800;7750,390;9140,200
65;8293,047;4854,800;7741,190;9140,200
66;8147,966;4854,800;7611,720;9140,200
67;8123,540;4854,800;7588,390;9140,200
68;8106,619;4854,800;7572,470;9140,200
69;8086,099;4854,800;7552,270;9140,200
70;8086,099;4854,800;7552,270;9140,200
71;8084,969;4854,800;7551,370;9131,200
72;8034,191;4806,100;7499,570;9131,200
73;8034,191;4806,100;7499,570;9131,200
74;8034,191;4806,100;7499,570;9131,200
75;8034,191;4806,100;7499,570;9131,200
76;8009,470;4806,100;7476,350;9131,200
77;7954,800;4806,100;7424,280;9131,200
78;7893,443;4806,100;7366,680;9131,200
79;7893,443;4806,100;7366,680;9131,200
80;7893,443;4806,100;7366,680;9131,200
81;7893,443;4806,100;7366,680;9131,200
82;7893,443;4806,100;7366,680;9131,200
83;7893,443;4806,100;7366,680;9131,200
84;7893,443;4806,100;7366,680;9131,200
85;7893,443;4806,100;7366,680;9131,200
86;7893,443;4806,100;7366,680;9131,200
87;7893,443;4806,100;7366,680;9131,200
88;7893,443;4806,100;7366,680;9131,200
89;7870,550;4806,100;7343,120;9131,200
90;7867,705;4806,100;7340,140;9131,200
91;7867,705;4806,100;7340,140;9131,200
92;7867,692;4805,900;7340,120;9131,200
93;7864,662;4764,100;7335,740;9131,200
94;7855,596;4764,100;7326,840;9131,200
95;7855,596;4764,100;7326,840;9131,200
96;7855,596;4764,100;7326,840;9131,200
97;7855,596;4764,100;7326,840;9131,200
98;7749,164;4764,100;7213,580;9131,200
99;7749,164;4764,100;7213,580;9131,200
100;7749,164;4764,100;7213,580;9131,200
