gen;std;min;avg;max
0;576514,291;412705,862;537697,733;723242,603
1;580736,139;412386,330;541192,106;723242,603
2;564983,663;412386,330;526897,988;722697,695
3;585326,848;412434,492;541261,867;847948,751
4;570777,294;412434,492;530317,914;778315,546
5;553258,429;412434,492;517876,545;656160,324
6;548614,461;412434,492;514210,234;656160,324
7;553838,633;412350,496;519341,101;656160,324
8;555709,815;412350,496;521460,638;656160,324
9;563549,273;412350,496;529012,888;656160,324
10;571583,256;412434,492;536895,293;656160,324
11;570463,110;412434,492;534238,367;684231,172
12;573118,730;412434,492;537689,991;684077,641
13;578429,369;412434,492;542252,849;684432,717
14;579219,639;412434,492;542986,677;684432,717
15;578029,856;412434,492;541868,332;684586,248
16;577875,739;412434,492;539823,940;684586,248
17;587226,843;412434,492;547629,005;684586,248
18;598238,453;420736,671;559587,613;684399,792
19;611840,344;420736,671;572671,717;684399,792
20;609650,054;419082,048;570408,308;684399,792
21;606288,326;419082,048;566315,719;684399,792
22;606360,688;419082,048;566380,265;684399,792
23;598961,298;419082,048;560114,037;686929,667
24;599175,344;419082,048;560383,879;685239,174
25;598457,145;419049,409;559728,277;685239,174
26;594249,400;419049,409;556349,220;670639,414
27;589819,170;413684,861;552455,017;670639,414
28;589777,369;413684,861;552403,775;670639,414
29;589228,777;413586,292;551899,141;670639,414
30;582594,723;413140,594;544999,596;670639,414
31;582465,022;413043,078;544894,388;669684,854
32;582494,820;413043,078;544912,562;670058,918
33;582437,229;413043,078;544865,546;669703,842
34;586101,498;413684,861;549270,491;669663,950
35;592450,491;413684,861;554581,922;669663,950
36;592869,247;419049,409;555118,377;669663,950
37;595463,794;419049,409;557236,269;669703,842
38;595341,751;419049,409;557092,694;669703,842
39;584822,019;418950,840;548151,301;665643,228
40;583737,733;418950,840;546879,007;665643,228
41;582081,270;418950,840;546456,425;636429,445
42;582053,626;418950,840;546428,589;636429,445
43;582090,919;418950,840;546464,343;636429,445
44;581828,067;418950,840;546231,370;636429,445
45;581800,411;418950,840;546203,535;636429,445
46;581783,442;418950,840;546189,718;636286,333
47;581801,022;418950,840;546209,142;636286,333
48;584165,496;419049,409;548152,664;647223,084
49;587282,121;419049,409;550684,364;661603,332
50;590130,945;419049,409;554467,346;655335,029
51;590091,888;419049,409;554410,212;657757,094
52;589756,380;419082,048;554060,351;657757,094
53;590417,685;419562,709;554661,793;657757,094
54;590409,903;419464,140;554651,936;657757,094
55;590412,480;419496,779;554655,200;657757,094
56;589013,413;418983,479;553436,091;657757,094
57;587780,050;418983,479;552113,316;657757,094
58;587809,343;427864,231;552408,630;657757,094
59;585596,341;427864,231;550607,420;647374,406
60;586425,885;427864,231;551385,467;647458,531
61;565581,602;427831,592;531677,757;647458,531
62;565567,345;427831,592;531666,185;647458,531
63;565749,096;427831,592;531844,375;647458,531
64;565749,096;427831,592;531844,375;647458,531
65;580043,653;427831,592;545950,240;647458,531
66;581570,498;427831,592;546874,056;647458,531
67;581384,425;427831,592;546742,192;645427,469
68;582051,825;427930,161;547323,535;645427,469
69;584793,653;427930,161;549798,010;645427,469
70;581583,874;427930,161;546456,553;645343,344
71;584686,625;427930,161;549204,032;645343,344
72;583147,358;427930,161;547792,653;645427,469
73;580978,073;427962,800;545889,609;645343,344
74;581514,293;425937,368;546310,437;645343,344
75;581475,787;425904,729;546265,366;645343,344
76;582241,248;425904,729;546961,839;645343,344
77;583851,773;425904,729;548953,149;645343,344
78;584925,882;425904,729;549898,951;645343,344
79;585961,102;425806,160;550795,276;645343,344
80;585967,691;425806,160;550800,132;645427,469
81;585825,555;425806,160;550600,509;645427,469
82;585841,322;425904,729;550617,624;645427,469
83;584686,267;425904,729;549313,306;645427,469
84;584749,009;425937,368;549366,023;645427,469
85;576358,512;425937,368;541348,905;645427,469
86;575814,747;425904,729;540748,388;645427,469
87;575615,858;425904,729;540529,933;645343,344
88;576609,903;425904,729;541384,660;645343,344
89;576625,168;425937,368;541399,545;645343,344
90;576243,296;422276,178;540939,722;645343,344
91;576373,837;422243,539;541078,307;645343,344
92;575493,382;422243,539;540346,465;645427,469
93;575559,585;422243,539;540418,468;645427,469
94;575559,585;422243,539;540418,468;645427,469
95;575555,748;422243,539;540415,170;645427,469
96;575559,069;422243,539;540418,232;645427,469
97;575794,882;422144,970;540700,315;645427,469
98;575104,523;422144,970;540138,983;645427,469
99;575124,312;422177,609;540156,991;645427,469
100;575147,394;422177,609;540184,076;645343,344
