gen;std;min;avg;max
0;7313,927;4680,500;6856,510;8355,300
1;7174,438;4680,500;6726,610;8355,300
2;7033,618;4680,500;6608,180;8355,300
3;7033,618;4680,500;6608,180;8355,300
4;6750,555;4638,200;6360,910;7504,900
5;6617,940;4370,700;6229,190;7504,900
6;6613,851;4370,700;6225,690;7504,900
7;6471,732;4370,700;6095,590;7504,900
8;6319,704;4370,700;5939,650;7504,900
9;6106,601;4370,700;5728,940;7479,300
10;6054,741;4370,700;5677,640;7479,300
11;6016,355;4370,700;5635,430;7479,300
12;5911,453;4370,700;5555,560;6709,600
13;5906,121;4370,700;5550,820;6709,600
14;5906,121;4370,700;5550,820;6709,600
15;5779,284;4370,700;5427,110;6709,600
16;5651,476;4105,500;5299,440;6709,600
17;5640,778;4105,500;5287,430;6709,600
18;5597,702;4105,500;5248,860;6709,600
19;5471,743;4105,500;5130,730;6709,600
20;5471,421;4105,500;5130,370;6709,600
21;5374,490;3820,400;5020,750;6709,600
22;5374,025;3820,400;5020,270;6709,600
23;5330,819;3820,400;4974,150;6709,600
24;5258,842;3820,400;4913,700;6709,600
25;5171,622;3820,400;4833,330;6709,600
26;5146,918;3820,400;4808,330;6709,600
27;5086,619;3820,400;4752,710;6709,600
28;5003,701;3820,400;4668,500;6709,600
29;4755,045;3820,400;4476,190;5584,000
30;4720,225;3820,400;4445,220;5584,000
31;4681,352;3820,400;4410,090;5584,000
32;4659,227;3820,400;4393,180;5414,900
33;4656,710;3820,400;4390,480;5414,900
34;4615,101;3820,400;4351,380;5414,900
35;4611,229;3820,400;4347,540;5414,900
36;4597,540;3774,900;4332,800;5414,900
37;4593,061;3774,900;4328,330;5414,900
38;4586,144;3774,900;4321,340;5414,900
39;4585,908;3774,900;4321,110;5414,900
40;4585,908;3774,900;4321,110;5414,900
41;4585,908;3774,900;4321,110;5414,900
42;4577,937;3769,900;4312,490;5414,900
43;4500,244;3713,600;4248,940;4857,900
44;4497,145;3713,600;4246,350;4840,700
45;4494,479;3713,600;4243,800;4840,700
46;4494,479;3713,600;4243,800;4840,700
47;4419,077;3713,600;4179,250;4685,300
48;4381,750;3713,600;4144,490;4685,300
49;4379,974;3694,700;4142,600;4685,300
50;4344,368;3694,700;4107,720;4685,300
51;4335,144;3694,700;4098,860;4685,300
52;4302,920;3691,700;4067,730;4685,300
53;4256,750;3691,700;4026,050;4679,400
54;4256,750;3691,700;4026,050;4679,400
55;4243,445;3691,700;4013,340;4679,400
56;4230,988;3662,600;4001,490;4679,400
57;4228,139;3662,600;3998,590;4679,400
58;4226,199;3662,600;3996,730;4679,400
59;4220,784;3662,600;3991,230;4679,400
60;4218,275;3662,600;3988,670;4679,400
61;4218,275;3662,600;3988,670;4679,400
62;4218,275;3662,600;3988,670;4679,400
63;4200,387;3662,600;3972,840;4583,000
64;4200,387;3662,600;3972,840;4583,000
65;4178,618;3662,600;3951,150;4583,000
66;4177,951;3662,600;3950,570;4583,000
67;4164,715;3591,200;3937,870;4583,000
68;4162,752;3591,200;3935,890;4583,000
69;4162,752;3591,200;3935,890;4583,000
70;4132,548;3591,200;3908,140;4583,000
71;4132,548;3591,200;3908,140;4583,000
72;4130,607;3591,200;3906,460;4583,000
73;4124,511;3591,200;3900,800;4583,000
74;4124,511;3591,200;3900,800;4583,000
75;4100,960;3573,500;3880,800;4423,400
76;4095,852;3566,900;3876,040;4423,400
77;4092,743;3566,900;3873,320;4405,700
78;4078,641;3566,900;3859,920;4405,700
79;4038,769;3566,900;3823,980;4405,700
80;4038,769;3566,900;3823,980;4405,700
81;4038,442;3566,900;3823,710;4403,000
82;4038,442;3566,900;3823,710;4403,000
83;4028,406;3559,800;3815,220;4326,900
84;4028,406;3559,800;3815,220;4326,900
85;4025,698;3559,800;3812,760;4326,900
86;4019,234;3554,000;3807,220;4277,300
87;4016,285;3554,000;3804,330;4277,300
88;4016,285;3554,000;3804,330;4277,300
89;4012,671;3554,000;3800,760;4277,300
90;4012,671;3554,000;3800,760;4277,300
91;3999,434;3527,900;3787,420;4277,300
92;3994,366;3522,200;3782,450;4277,300
93;3986,514;3522,200;3775,390;4277,300
94;3975,903;3522,200;3765,710;4277,300
95;3975,903;3522,200;3765,710;4277,300
96;3975,903;3522,200;3765,710;4277,300
97;3975,903;3522,200;3765,710;4277,300
98;3975,903;3522,200;3765,710;4277,300
99;3975,903;3522,200;3765,710;4277,300
100;3968,056;3522,200;3758,260;4277,300
