gen;std;min;avg;max
0;268467,380;207647,216;253082,038;295311,429
1;267191,576;207647,216;251900,404;290266,396
2;261922,463;208399,574;247321,984;280807,010
3;260113,088;205444,635;245614,366;280807,010
4;258188,751;199950,326;243568,347;278596,234
5;257291,172;200388,748;242813,814;278501,776
6;255487,582;198668,388;241080,453;278596,234
7;253548,817;198668,388;239339,560;274017,055
8;252444,695;206555,603;238404,151;274017,055
9;253633,177;206555,603;239659,040;274017,055
10;250902,559;211449,927;237047,242;274017,055
11;252896,628;216049,694;238771,949;287012,945
12;252190,251;206227,575;238099,312;286379,119
13;252089,342;206227,575;238002,687;284743,315
14;250836,245;206227,575;236722,119;287078,639
15;249482,748;201288,510;235243,358;287078,639
16;249450,028;201288,510;235190,844;287078,639
17;248577,402;202706,750;234349,976;287078,639
18;249539,854;202706,750;235303,607;287078,639
19;249048,700;188942,170;234594,255;279343,203
20;248189,923;188942,170;233763,488;279343,203
21;247828,316;189146,977;233254,260;284782,925
22;247542,822;189811,799;233014,681;283365,349
23;249986,194;189811,799;235205,632;289469,891
24;250565,448;189811,799;235736,088;289469,891
25;249533,671;189811,799;234713,743;288764,710
26;248281,928;189811,799;233485,648;288764,710
27;249406,279;188313,943;234251,517;301072,866
28;249065,690;183299,783;233870,404;299832,042
29;246979,430;185791,833;232342,473;279778,596
30;246955,893;185791,833;232144,280;290682,408
31;244507,080;185791,833;229957,088;285046,459
32;241184,681;180244,757;227097,563;268274,832
33;239186,144;180244,757;225450,597;264565,970
34;240833,347;180244,757;226835,409;273236,867
35;241101,854;180244,757;227078,706;273236,867
36;240606,255;180244,757;226642,467;273236,867
37;239446,642;179501,156;225701,193;267528,428
38;239175,461;178726,047;225434,652;267528,428
39;238994,545;178726,047;225237,243;267528,428
40;237344,233;178726,047;223749,728;267528,428
41;235493,337;178726,047;222082,850;267528,428
42;235430,939;182172,498;222067,357;267528,428
43;235241,092;180994,386;221828,198;267528,428
44;234899,401;180994,386;221556,609;264812,533
45;233960,743;180994,386;220576,049;264812,533
46;233313,421;180994,386;219942,891;264812,533
47;233313,421;180994,386;219942,891;264812,533
48;231108,434;177411,484;217854,627;264812,533
49;232692,264;177411,484;219488,296;264812,533
50;232330,400;177411,484;219167,168;264812,533
51;232517,776;178317,548;219357,010;264812,533
52;233460,569;182193,914;220223,010;269596,165
53;233322,424;185653,192;220128,614;269946,874
54;232887,046;185653,192;219705,550;269946,874
55;232678,739;185653,192;219543,264;269362,138
56;232441,477;185653,192;219300,277;269362,138
57;230627,221;185653,192;217463,200;269362,138
58;230334,694;185653,192;217157,012;269362,138
59;229093,655;185652,127;216216,987;256611,077
60;228762,364;185652,127;215864,051;256611,077
61;227266,347;185652,127;214453,977;254259,421
62;227266,347;185652,127;214453,977;254259,421
63;225685,254;185652,127;213074,439;246407,301
64;224911,086;183871,674;212387,927;241056,522
65;224454,785;183871,674;211946,483;241056,522
66;224855,775;183871,674;212334,626;241496,305
67;225244,264;183663,609;212767,847;241496,305
68;224276,326;183663,609;211870,513;241496,305
69;223761,352;183663,609;211378,244;241496,305
70;222133,830;183663,609;209985,837;234801,720
71;221985,359;183663,609;209853,079;234801,720
72;222188,207;182388,574;210049,026;234801,720
73;222472,502;182388,574;210321,462;234801,720
74;222335,886;182388,574;210201,799;234203,578
75;222004,841;182388,574;209914,648;233155,882
76;222170,556;182388,574;210066,288;233155,882
77;221535,466;182388,574;209449,974;233259,782
78;221736,529;182388,574;209622,404;233458,794
79;221426,949;182388,574;209324,680;233458,794
80;221121,804;182388,574;209064,238;233458,794
81;221714,541;183294,638;209596,794;233458,794
82;221731,387;183294,638;209608,999;233945,081
83;221974,407;183294,638;209817,591;234978,015
84;220997,451;180919,194;208772,673;234978,015
85;220997,451;180919,194;208772,673;234978,015
86;220657,202;180919,194;208481,349;233945,081
87;220669,035;181832,353;208502,847;233945,081
88;220380,981;180919,194;208225,769;233945,081
89;220291,954;180919,194;208146,166;233651,183
90;219279,899;179596,331;207213,404;233651,183
91;218854,001;179596,331;206838,613;231225,523
92;217802,001;179596,331;205855,703;231225,523
93;218236,042;179255,544;206284,177;231225,523
94;216989,735;179255,544;205206,382;231225,523
95;217225,735;179255,544;205438,327;231275,988
96;217191,096;179255,544;205405,310;231275,988
97;216364,611;177951,410;204612,311;231275,988
98;216117,374;177951,410;204387,386;231275,988
99;215974,334;177951,410;204270,790;232602,820
100;216488,733;177951,410;204752,730;232602,820
