gen;std;min;avg;max
0;7265,628;5595,200;6822,610;8781,300
1;7126,096;5171,100;6669,330;8781,300
2;6989,535;5171,100;6553,710;8781,300
3;6801,058;4373,800;6342,120;8781,300
4;6691,802;4373,800;6246,820;8359,400
5;6691,802;4373,800;6246,820;8359,400
6;6679,577;4373,800;6237,090;8298,300
7;6429,943;4373,800;5997,330;7735,500
8;6429,943;4373,800;5997,330;7735,500
9;6300,493;4373,800;5861,160;7735,500
10;6215,623;4373,800;5779,600;7735,500
11;6209,897;4373,800;5772,520;7735,500
12;6198,622;4373,800;5760,450;7735,500
13;6156,968;4373,800;5711,820;7735,500
14;6045,834;4373,800;5613,270;7735,500
15;6038,973;4373,800;5604,830;7735,500
16;6015,286;4373,800;5587,180;7595,400
17;5999,314;4373,800;5571,370;7595,400
18;5977,602;4373,800;5550,280;7595,400
19;5977,090;4367,500;5549,650;7595,400
20;5977,090;4367,500;5549,650;7595,400
21;5977,090;4367,500;5549,650;7595,400
22;5967,655;4261,200;5537,910;7595,400
23;5963,596;4261,200;5533,290;7595,400
24;5961,615;4261,200;5530,870;7595,400
25;5961,615;4261,200;5530,870;7595,400
26;5954,708;4261,200;5523,480;7595,400
27;5850,777;4261,200;5446,930;7570,400
28;5850,777;4261,200;5446,930;7570,400
29;5850,777;4261,200;5446,930;7570,400
30;5771,799;4222,200;5368,950;7445,100
31;5600,347;4222,200;5225,400;7445,100
32;5600,347;4222,200;5225,400;7445,100
33;5479,334;4219,100;5139,280;6587,000
34;5424,504;4219,100;5086,860;6587,000
35;5408,547;4219,100;5074,150;6587,000
36;5339,452;4219,100;5011,170;6587,000
37;5248,654;4182,000;4921,750;6587,000
38;5237,373;4163,500;4910,380;6587,000
39;5234,701;4163,500;4907,370;6587,000
40;5204,017;4163,500;4875,580;6587,000
41;5204,017;4163,500;4875,580;6587,000
42;5204,017;4163,500;4875,580;6587,000
43;5146,832;4150,500;4832,300;6214,500
44;5146,832;4150,500;4832,300;6214,500
45;5146,832;4150,500;4832,300;6214,500
46;5139,641;4150,500;4824,580;6214,500
47;5084,627;4127,600;4771,590;6166,700
48;5050,090;4127,600;4745,000;6166,700
49;5044,467;4088,500;4738,800;6166,700
50;5032,757;4088,500;4727,590;6166,700
51;4967,989;3701,800;4655,640;6166,700
52;4967,644;3701,800;4655,390;6164,200
53;4967,644;3701,800;4655,390;6164,200
54;4967,644;3701,800;4655,390;6164,200
55;4876,327;3701,800;4580,380;5778,000
56;4826,611;3701,800;4537,400;5778,000
57;4815,358;3701,800;4528,290;5778,000
58;4815,358;3701,800;4528,290;5778,000
59;4815,358;3701,800;4528,290;5778,000
60;4815,358;3701,800;4528,290;5778,000
61;4808,441;3701,800;4521,970;5778,000
62;4808,441;3701,800;4521,970;5778,000
63;4806,662;3701,800;4520,250;5778,000
64;4806,662;3701,800;4520,250;5778,000
65;4798,484;3701,800;4514,100;5716,500
66;4754,969;3701,800;4480,380;5379,300
67;4752,604;3701,800;4477,780;5379,300
68;4720,388;3701,800;4446,550;5379,300
69;4720,388;3701,800;4446,550;5379,300
70;4719,215;3701,800;4445,490;5379,300
71;4719,215;3701,800;4445,490;5379,300
72;4716,050;3701,800;4442,310;5379,300
73;4711,113;3701,800;4437,830;5379,300
74;4672,088;3701,800;4405,840;5379,300
75;4664,209;3701,800;4397,210;5379,300
76;4660,521;3701,800;4393,870;5379,300
77;4657,465;3701,800;4390,900;5379,300
78;4648,754;3701,800;4382,930;5379,300
79;4611,261;3662,200;4342,500;5379,300
80;4570,827;3662,200;4310,490;5059,200
81;4570,827;3662,200;4310,490;5059,200
82;4557,225;3662,200;4297,110;5059,200
83;4536,034;3662,200;4276,600;4989,300
84;4536,034;3662,200;4276,600;4989,300
85;4534,325;3662,200;4274,890;4989,300
86;4512,616;3662,200;4256,850;4980,000
87;4503,504;3662,200;4249,100;4980,000
88;4503,504;3662,200;4249,100;4980,000
89;4503,504;3662,200;4249,100;4980,000
90;4502,752;3662,200;4248,350;4980,000
91;4501,710;3662,200;4247,310;4980,000
92;4491,622;3662,200;4238,560;4980,000
93;4490,997;3662,200;4238,000;4980,000
94;4484,592;3662,200;4232,230;4980,000
95;4484,592;3662,200;4232,230;4980,000
96;4484,592;3662,200;4232,230;4980,000
97;4477,595;3662,200;4225,200;4980,000
98;4439,249;3662,200;4193,280;4660,800
99;4424,905;3507,400;4177,330;4660,800
100;4424,905;3507,400;4177,330;4660,800
