gen;std;min;avg;max
0;276445,420;224690,329;261376,275;290661,010
1;274504,626;220906,046;259256,191;290661,010
2;273610,978;220869,516;258470,004;290762,058
3;273411,073;216431,061;258190,760;290762,058
4;271818,188;216431,061;256666,213;298808,058
5;269398,251;216431,061;254315,546;294908,616
6;267274,523;216431,061;252390,121;293850,290
7;266745,373;211102,647;251797,188;293850,290
8;263716,112;211000,946;248819,893;285037,438
9;261919,125;211292,118;247367,260;281510,817
10;258340,524;206299,282;243889,431;276672,903
11;256691,229;205055,404;242319,139;280194,162
12;256596,073;205055,404;242289,317;280194,162
13;255659,800;203373,327;241367,526;280194,162
14;256178,007;203373,327;241853,083;280194,162
15;258464,251;203373,327;244051,478;279058,620
16;258402,822;201592,283;243942,098;281579,427
17;258070,582;201592,283;243925,030;270936,961
18;255525,684;213533,814;241690,798;270936,961
19;253630,154;213533,814;239968,096;270936,961
20;254535,366;213533,814;240823,504;270241,821
21;255417,464;213533,814;241604,835;270241,821
22;256160,286;213533,814;242322,557;270241,821
23;255667,002;213087,491;241818,791;270241,821
24;255137,355;213087,491;241372,829;269875,586
25;254271,226;201145,960;240356,044;269875,586
26;253641,233;200850,164;239745,083;269875,586
27;252471,087;200850,164;238737,752;267276,847
28;251437,071;200850,164;237851,850;267276,847
29;250432,425;199696,125;236888,330;264044,383
30;250645,968;199696,125;237009,788;268876,617
31;250186,360;199696,125;236384,341;268876,617
32;251295,730;199696,125;237412,707;267342,900
33;251216,851;204134,417;237366,734;269526,212
34;251061,734;203572,185;237157,144;269526,212
35;248874,260;203572,185;235228,093;263607,957
36;247883,499;203572,185;234348,801;263607,957
37;248240,827;203572,185;234823,954;263607,957
38;249684,706;203572,185;236090,652;266925,119
39;251020,224;206051,403;237411,249;267812,048
40;251007,185;205784,394;237413,578;267812,048
41;250698,135;205784,394;237096,777;267812,048
42;249604,998;205784,394;236067,022;273354,624
43;248214,038;199915,077;234791,697;263866,624
44;246118,497;199915,077;232821,483;261431,996
45;243823,528;199915,077;230623,118;262084,506
46;243152,629;205752,699;230141,171;251432,869
47;242975,866;205752,699;229911,877;252067,430
48;241979,676;199700,422;228887,171;253128,310
49;240866,873;199700,422;227841,256;253128,310
50;239485,803;193222,120;226433,631;253011,030
51;239556,845;193109,376;226502,348;253011,030
52;240094,369;193109,376;227079,573;252067,430
53;239098,073;192297,776;226141,608;252067,430
54;238919,270;190495,202;225944,853;252067,430
55;237868,082;191494,783;224988,336;252067,430
56;237733,505;191494,783;224861,368;252067,430
57;238139,766;191494,783;225204,612;252067,430
58;238807,763;191494,783;225788,155;258761,057
59;236939,387;191494,783;223992,187;256866,011
60;238619,070;208571,943;225741,031;256866,011
61;236631,403;208571,943;223993,368;249070,070
62;235543,618;202690,148;222864,686;249070,070
63;234662,256;198464,330;222020,434;249070,070
64;234154,867;197990,919;221557,594;249070,070
65;235242,351;197990,919;222640,578;249070,070
66;235187,773;197990,919;222594,148;248605,764
67;235187,773;197990,919;222594,148;248605,764
68;234901,859;197990,919;222334,217;248605,764
69;235691,286;203305,757;223144,250;248605,764
70;235116,527;203305,757;222596,958;248605,764
71;234823,667;203305,757;222303,273;248605,764
72;234722,164;203305,757;222246,111;248605,764
73;236671,598;203305,757;224052,934;248605,764
74;235635,476;202561,897;223074,065;248605,764
75;234772,810;202561,897;222310,015;242866,714
76;234919,043;202561,897;222420,480;244752,858
77;234382,811;202561,897;221922,781;244752,858
78;234419,168;202561,897;221956,602;244752,858
79;233691,727;202561,897;221146,462;251194,821
80;232700,557;202561,897;220178,963;251194,821
81;233239,898;202561,897;220625,347;255642,090
82;233572,407;202561,897;220929,687;255642,090
83;234150,777;203305,757;221522,134;255642,090
84;235952,168;203305,757;223210,434;258832,560
85;235320,827;202651,584;222605,314;258017,470
86;235805,129;202651,584;223077,916;257949,190
87;235707,471;202651,584;223002,923;256379,559
88;235342,011;202651,584;222665,612;256379,559
89;235788,290;202651,584;223040,514;256379,559
90;234374,155;202651,584;221686,597;256379,559
91;236158,084;203046,905;223410,600;256379,559
92;236427,698;207700,018;223717,229;256379,559
93;235658,830;207700,018;222953,311;256379,559
94;234564,027;207700,018;221921,846;256379,559
95;232893,635;207700,018;220354,772;256379,559
96;232949,391;207700,018;220460,308;255944,533
97;233046,235;204686,834;220542,265;255944,533
98;232936,714;204686,834;220396,883;255944,533
99;233199,580;204686,834;220644,445;255944,533
100;231616,722;204686,834;219260,794;245756,561
