gen;std;min;avg;max
0;162638,346;118797,517;152972,146;180249,357
1;156671,767;88775,983;146738,436;173744,362
2;154324,613;88775,983;144616,291;168863,726
3;151265,132;87335,836;141706,976;168863,726
4;148540,155;87335,836;139146,776;168863,726
5;147120,966;87335,836;137812,491;167885,580
6;141558,987;87335,836;132560,685;164371,258
7;138622,115;85126,426;129778,363;160866,869
8;137810,475;85126,426;128971,124;160723,849
9;136329,861;85126,426;127432,955;160723,849
10;135962,196;85126,426;127081,949;160104,425
11;131994,486;85126,426;123445,253;160104,425
12;129596,545;85126,426;121200,692;160104,425
13;128019,145;85126,426;119936,441;160104,425
14;126829,370;84818,899;118979,713;154184,043
15;125906,285;84818,899;117991,546;154184,043
16;125658,355;84818,899;117742,567;154184,043
17;125069,462;84818,899;117288,601;150392,275
18;123301,476;84458,758;115614,454;148301,859
19;122400,759;84458,758;114760,343;148301,859
20;119825,157;84458,758;112454,384;139059,564
21;119651,092;84458,758;112295,204;139059,564
22;117715,090;84458,758;110621,291;139059,564
23;117302,473;84458,758;110198,682;138809,932
24;117158,606;84458,758;110066,055;138809,932
25;115801,732;84458,758;108848,660;138809,932
26;115801,732;84458,758;108848,660;138809,932
27;115253,826;84458,758;108293,405;138809,932
28;114116,073;84458,758;107123,094;138809,932
29;113115,795;83676,248;106324,711;132196,397
30;111113,480;83676,248;104482,838;132196,397
31;110509,663;81096,960;103864,485;132196,397
32;108197,895;81096,960;101961,137;119394,393
33;107822,192;81096,960;101562,545;119394,393
34;107425,872;81096,960;101127,680;119394,393
35;106130,470;81096,960;99927,942;119394,393
36;106049,681;81096,960;99857,001;119394,393
37;105741,870;81096,960;99572,178;119394,393
38;105633,784;80577,716;99454,671;119394,393
39;105026,717;80577,716;98891,691;118468,658
40;104837,387;80577,716;98712,572;118468,658
41;104673,446;80577,716;98560,605;118468,658
42;104591,838;80577,716;98493,144;118468,658
43;104393,470;80577,716;98306,621;118468,658
44;104370,560;80310,168;98279,866;118468,658
45;103455,131;80209,955;97412,486;118468,658
46;103022,860;80209,955;96992,228;118368,145
47;102985,269;80209,955;96949,143;118368,145
48;102817,206;80209,955;96811,269;118368,145
49;102725,089;80209,955;96732,268;118368,145
50;102667,537;80209,955;96684,399;118368,145
51;102521,964;80209,955;96543,724;118368,145
52;102405,581;79889,568;96422,671;118368,145
53;102385,481;79889,568;96401,355;118368,145
54;102385,481;79889,568;96401,355;118368,145
55;101962,262;79889,568;96045,074;118368,145
56;101876,721;79874,913;95961,824;118368,145
57;101876,721;79874,913;95961,824;118368,145
58;101872,168;79874,913;95957,387;118368,145
59;101692,926;79874,913;95789,024;118368,145
60;101681,597;79874,913;95777,924;118368,145
61;101260,864;79874,913;95351,211;118368,145
62;100988,876;79874,913;95108,688;117433,918
63;100947,449;79402,211;95061,418;117433,918
64;100161,407;79402,211;94362,658;117433,918
65;100083,968;78946,181;94274,757;117433,918
66;99902,086;78946,181;94100,984;117433,918
67;99866,188;78946,181;94065,608;117433,918
68;99563,932;76917,115;93730,410;117433,918
69;99563,932;76917,115;93730,410;117433,918
70;99559,386;76917,115;93725,935;117433,918
71;99559,386;76917,115;93725,935;117433,918
72;98965,959;76917,115;93207,655;117433,918
73;97614,196;76917,115;92074,442;110851,284
74;97581,001;76917,115;92037,422;110851,284
75;97302,771;76917,115;91813,743;108801,803
76;96891,760;76328,945;91416,799;108801,803
77;96760,267;76328,945;91310,357;107831,943
78;95907,998;76328,945;90549,441;107831,943
79;95715,335;76328,945;90352,274;107831,943
80;95689,844;76040,752;90323,455;107831,943
81;95689,844;76040,752;90323,455;107831,943
82;95643,841;75518,070;90271,187;107831,943
83;95643,841;75518,070;90271,187;107831,943
84;95231,638;74171,787;89899,044;105456,803
85;95140,110;74171,787;89818,430;105456,803
86;95138,016;74171,787;89816,148;105456,803
87;95138,016;74171,787;89816,148;105456,803
88;94726,206;73109,421;89387,486;105456,803
89;94667,362;72420,191;89318,563;105456,803
90;94462,319;72420,191;89135,167;105456,803
91;94462,319;72420,191;89135,167;105456,803
92;94358,869;72420,191;89034,582;105456,803
93;94249,397;72420,191;88913,708;105456,803
94;94249,397;72420,191;88913,708;105456,803
95;94186,011;72420,191;88851,287;105456,803
96;94165,750;72420,191;88833,319;105456,803
97;93100,587;72420,191;87812,218;105456,803
98;93084,325;72420,191;87795,827;105456,803
99;92985,352;71266,690;87680,477;105456,803
100;92938,597;71266,690;87639,226;105456,803
