gen;std;min;avg;max
0;4669,888;2725,600;4317,830;5579,000
1;4612,159;2410,800;4242,220;5725,200
2;4651,128;2410,800;4238,560;6240,900
3;4666,896;2410,800;4250,350;6241,700
4;4921,286;2931,100;4558,620;6241,700
5;4827,343;2931,100;4480,040;6241,700
6;4754,409;3022,200;4405,980;6241,700
7;4739,431;3022,200;4398,540;6142,700
8;4737,760;3022,200;4396,440;6142,700
9;4677,890;3022,200;4337,080;6142,700
10;4787,548;3179,100;4417,480;6789,800
11;4780,232;3179,100;4407,960;6789,800
12;4758,358;3179,100;4391,690;6789,800
13;4777,578;3179,100;4411,780;6789,800
14;4729,162;3179,100;4377,300;6611,700
15;4838,691;3260,800;4482,580;6611,700
16;4846,728;3260,800;4489,370;6611,700
17;5012,112;3260,800;4640,570;6611,700
18;5076,139;3260,800;4693,610;6611,700
19;5109,020;3260,800;4726,660;6611,700
20;5132,602;3260,800;4749,260;6611,700
21;5132,602;3260,800;4749,260;6611,700
22;5132,602;3260,800;4749,260;6611,700
23;5132,478;3260,800;4749,140;6611,700
24;5132,478;3260,800;4749,140;6611,700
25;5132,478;3260,800;4749,140;6611,700
26;5009,421;3260,800;4625,800;6611,700
27;5009,421;3260,800;4625,800;6611,700
28;5009,421;3260,800;4625,800;6611,700
29;5006,154;3260,800;4622,800;6611,700
30;5043,845;3260,800;4645,290;6953,500
31;5048,569;3260,800;4651,660;6953,500
32;5048,569;3260,800;4651,660;6953,500
33;5108,345;3260,800;4697,300;6953,500
34;5127,034;3260,800;4710,010;6953,500
35;5107,898;3260,800;4694,530;6953,500
36;5085,076;3034,600;4661,800;6953,500
37;5096,244;3034,600;4669,120;7026,700
38;5096,244;3034,600;4669,120;7026,700
39;5096,244;3034,600;4669,120;7026,700
40;5121,168;3034,600;4702,550;7026,700
41;5150,389;3400,000;4744,200;7026,700
42;5150,389;3400,000;4744,200;7026,700
43;5154,786;3400,000;4748,560;7026,700
44;5116,770;3400,000;4705,290;7026,700
45;5116,770;3400,000;4705,290;7026,700
46;5110,674;3400,000;4697,910;7026,700
47;5110,674;3400,000;4697,910;7026,700
48;5084,910;3400,000;4671,840;7026,700
49;4923,872;3233,600;4516,350;7026,700
50;4887,483;3233,600;4474,680;7026,700
51;4883,377;3225,200;4469,130;7026,700
52;4883,377;3225,200;4469,130;7026,700
53;4864,790;3225,200;4451,740;7026,700
54;4992,868;3233,600;4592,370;7026,700
55;5069,045;3233,600;4662,070;7026,700
56;5069,045;3233,600;4662,070;7026,700
57;5069,045;3233,600;4662,070;7026,700
58;5069,045;3233,600;4662,070;7026,700
59;5069,045;3233,600;4662,070;7026,700
60;5069,045;3233,600;4662,070;7026,700
61;5069,045;3233,600;4662,070;7026,700
62;4980,129;3233,600;4584,070;7026,700
63;4977,474;3210,100;4580,620;7026,700
64;5010,684;3440,400;4622,570;7026,700
65;5006,772;3440,400;4619,850;7026,700
66;5016,033;3440,400;4629,080;7026,700
67;5015,860;3440,400;4628,910;7026,700
68;5016,522;3440,400;4629,390;7026,700
69;5016,522;3440,400;4629,390;7026,700
70;5010,650;3440,400;4624,800;7026,700
71;5007,509;3440,400;4621,520;7026,700
72;5047,771;3440,400;4669,350;7026,700
73;5047,771;3440,400;4669,350;7026,700
74;5047,771;3440,400;4669,350;7026,700
75;5043,302;3440,400;4666,070;7026,700
76;5041,184;3440,400;4664,510;7026,700
77;5023,254;3440,400;4646,500;7026,700
78;5023,254;3440,400;4646,500;7026,700
79;5023,254;3440,400;4646,500;7026,700
80;5000,360;3440,400;4624,020;7026,700
81;4990,898;3440,400;4614,010;7026,700
82;4994,842;3500,900;4619,280;7026,700
83;4994,842;3500,900;4619,280;7026,700
84;4981,434;3500,900;4605,030;7026,700
85;4998,314;3500,900;4623,140;7026,700
86;4997,438;3500,900;4622,500;7026,700
87;4997,438;3500,900;4622,500;7026,700
88;4997,438;3500,900;4622,500;7026,700
89;5016,539;3500,900;4633,480;7026,700
90;4982,193;3500,900;4633,620;6266,800
91;4982,193;3500,900;4633,620;6266,800
92;4982,193;3500,900;4633,620;6266,800
93;4982,193;3500,900;4633,620;6266,800
94;4979,167;3500,900;4630,000;6266,800
95;4979,167;3500,900;4630,000;6266,800
96;4978,675;3500,900;4629,480;6266,800
97;4978,675;3500,900;4629,480;6266,800
98;4964,284;3500,900;4615,450;6266,800
99;4979,102;3500,900;4629,890;6266,800
100;4981,671;3728,600;4636,160;6266,800
