gen;std;min;avg;max
0;4763,443;3188,300;4427,740;6173,500
1;4534,649;3188,300;4243,430;5380,400
2;4373,432;3188,300;4076,370;5380,400
3;4373,049;3188,300;4075,900;5380,400
4;4003,724;3188,300;3771,000;4441,400
5;3959,523;3188,300;3726,170;4441,400
6;3815,401;3061,800;3593,410;4441,400
7;3813,708;3061,800;3592,100;4428,300
8;3813,708;3061,800;3592,100;4428,300
9;3629,906;2867,400;3424,550;4095,600
10;3571,547;2867,400;3375,370;3980,800
11;3540,495;2867,400;3344,980;3928,800
12;3529,109;2862,100;3334,520;3928,800
13;3528,071;2862,100;3333,580;3928,800
14;3526,674;2862,100;3332,120;3928,800
15;3516,832;2816,600;3322,890;3882,000
16;3449,426;2816,600;3262,460;3549,000
17;3403,570;2794,200;3219,510;3518,300
18;3399,153;2794,200;3215,630;3518,300
19;3326,899;2767,800;3144,300;3518,300
20;3323,673;2732,700;3140,790;3518,300
21;3277,884;2732,700;3098,200;3518,300
22;3277,884;2732,700;3098,200;3518,300
23;3273,456;2732,700;3094,470;3481,000
24;3267,648;2669,400;3088,140;3481,000
25;3266,916;2669,400;3087,480;3481,000
26;3265,116;2669,400;3085,700;3481,000
27;3245,240;2669,400;3065,460;3481,000
28;3234,181;2657,100;3053,590;3481,000
29;3179,850;2652,900;3004,820;3481,000
30;3175,906;2652,900;3001,230;3481,000
31;3174,164;2636,200;2999,380;3481,000
32;3152,163;2525,500;2976,340;3481,000
33;3136,991;2525,500;2961,450;3481,000
34;3131,132;2519,500;2955,950;3481,000
35;3115,606;2440,800;2940,320;3481,000
36;3113,986;2440,800;2938,840;3481,000
37;3100,451;2440,800;2927,040;3481,000
38;3099,523;2440,800;2926,180;3481,000
39;3099,523;2440,800;2926,180;3481,000
40;3099,523;2440,800;2926,180;3481,000
41;3099,523;2440,800;2926,180;3481,000
42;3094,146;2378,600;2919,960;3481,000
43;3066,508;2378,600;2894,580;3481,000
44;3066,508;2378,600;2894,580;3481,000
45;3065,212;2378,600;2893,220;3481,000
46;3060,968;2378,600;2889,210;3481,000
47;3052,209;2332,500;2880,170;3481,000
48;3049,503;2332,500;2877,620;3475,300
49;3048,850;2324,800;2876,850;3475,300
50;3035,087;2324,800;2863,950;3471,200
51;3035,087;2324,800;2863,950;3471,200
52;3021,651;2324,800;2850,250;3471,200
53;3015,034;2324,800;2844,610;3471,200
54;3014,714;2324,800;2844,360;3468,700
55;3014,714;2324,800;2844,360;3468,700
56;3011,454;2324,800;2841,230;3468,700
57;2999,421;2286,400;2829,200;3468,700
58;2996,742;2286,400;2826,600;3468,700
59;2991,373;2283,900;2821,910;3468,700
60;2968,001;2179,400;2796,830;3468,700
61;2968,001;2179,400;2796,830;3468,700
62;2968,001;2179,400;2796,830;3468,700
63;2961,206;2179,400;2790,940;3468,700
64;2961,206;2179,400;2790,940;3468,700
65;2961,206;2179,400;2790,940;3468,700
66;2961,010;2179,400;2790,740;3468,700
67;2957,971;2179,400;2788,010;3461,900
68;2933,835;2179,400;2764,070;3461,900
69;2928,232;2179,400;2758,640;3461,900
70;2921,037;2179,400;2751,390;3461,900
71;2921,037;2179,400;2751,390;3461,900
72;2916,963;2179,400;2747,310;3461,900
73;2916,424;2172,900;2746,660;3461,900
74;2916,424;2172,900;2746,660;3461,900
75;2916,424;2172,900;2746,660;3461,900
76;2905,042;2172,900;2734,570;3461,900
77;2904,825;2172,900;2734,350;3461,900
78;2904,825;2172,900;2734,350;3461,900
79;2879,910;2172,900;2710,890;3461,900
80;2875,759;2172,900;2707,320;3461,900
81;2875,759;2172,900;2707,320;3461,900
82;2875,416;2172,900;2706,970;3461,900
83;2875,277;2172,900;2706,850;3461,900
84;2874,312;2172,900;2705,870;3461,900
85;2871,418;2172,900;2702,910;3461,900
86;2853,914;2172,900;2689,470;3334,100
87;2853,914;2172,900;2689,470;3334,100
88;2849,338;2172,900;2685,400;3334,100
89;2849,338;2172,900;2685,400;3334,100
90;2832,101;2172,900;2671,850;3207,400
91;2813,771;2172,900;2654,980;3136,800
92;2813,771;2172,900;2654,980;3136,800
93;2812,474;2172,900;2653,740;3136,800
94;2812,474;2172,900;2653,740;3136,800
95;2811,716;2172,900;2652,980;3136,800
96;2810,869;2172,900;2652,090;3136,800
97;2794,210;2172,900;2637,030;3136,800
98;2793,773;2172,900;2636,610;3136,800
99;2792,125;2172,900;2634,880;3136,800
100;2782,435;2172,900;2626,620;3136,800
