gen;std;min;avg;max
0;162862,242;132680,366;153448,374;193799,387
1;159286,542;124650,791;150150,014;182018,426
2;158084,488;120155,289;148920,044;182313,474
3;158058,139;120155,289;148904,248;180316,358
4;160532,993;131891,050;151438,431;180316,358
5;158896,363;130458,016;149921,385;180316,358
6;159489,329;130458,016;150464,743;180021,310
7;159208,146;130458,016;150232,101;179765,118
8;159061,189;130458,016;150085,118;180973,420
9;161688,417;134516,652;152847,575;180239,776
10;161884,043;134516,652;153023,729;180239,776
11;159282,662;128548,079;150338,461;180250,120
12;156908,557;128548,079;148251,124;166828,341
13;155752,252;118302,522;146965,822;166828,341
14;153003,374;118302,522;144353,874;165445,695
15;151514,036;116062,072;142994,094;164921,903
16;151409,829;115162,512;142877,050;164921,903
17;154910,757;131678,196;146570,411;164921,903
18;155025,681;131679,888;146685,006;164921,903
19;154369,330;120033,295;145882,023;164921,903
20;154316,266;117305,889;145750,117;164921,903
21;154288,099;117305,889;145735,264;163989,347
22;154309,339;117305,889;145743,512;164921,903
23;154073,746;117305,889;145533,232;163989,347
24;153819,941;117305,889;145310,813;163989,347
25;153760,325;117853,233;145256,883;163989,347
26;153488,962;117759,310;144979,003;163989,347
27;153074,117;117759,310;144604,040;163198,713
28;152990,363;117759,310;144532,986;163198,713
29;153134,547;117759,310;144680,794;163198,713
30;153294,698;117853,233;144858,970;163198,713
31;153294,698;117853,233;144858,970;163198,713
32;154147,298;117853,233;145420,430;176529,219
33;154169,136;117853,233;145420,703;177279,551
34;154077,717;117853,233;145367,912;175951,439
35;154141,132;117853,233;145429,701;175339,645
36;153591,155;117853,233;144957,728;174407,089
37;153311,643;117853,233;144698,485;173656,757
38;153260,263;123343,519;144767,592;173461,469
39;153029,829;122631,857;144528,507;174801,937
40;153229,620;122631,857;144720,073;174801,937
41;152864,947;119004,905;144310,437;174801,937
42;152008,115;114711,297;143399,743;174801,937
43;152082,663;114711,297;143484,580;174226,966
44;152185,210;114711,297;143582,854;174226,966
45;151114,018;114711,297;142497,473;175159,522
46;151097,945;113997,290;142458,106;175159,522
47;151055,754;112002,785;142162,749;181942,286
48;150944,025;112002,785;142046,400;181942,286
49;151107,602;111841,213;142175,726;181942,286
50;151152,984;111841,213;142228,271;181942,286
51;151089,419;111841,213;142159,957;181942,286
52;151678,719;111841,213;142730,461;181009,730
53;151581,146;111841,213;142626,452;181009,730
54;151346,837;111841,213;142412,764;181009,730
55;149595,851;111841,213;140721,309;181009,730
56;148891,093;111841,213;140051,049;181009,730
57;145980,779;111384,651;137223,192;181009,730
58;145918,140;111384,651;137156,095;181009,730
59;146047,103;111384,651;137282,738;181009,730
60;146310,360;111384,651;137517,750;181942,286
61;144746,756;111384,651;135925,645;180811,351
62;143561,299;111384,651;134673,007;180912,633
63;143017,063;107220,844;134038,235;180912,633
64;143118,344;107220,844;134148,349;180810,153
65;142675,419;107220,844;133674,851;180810,153
66;142683,369;107220,844;133683,922;180810,153
67;142464,085;107220,844;133471,462;180810,153
68;142421,363;107220,844;133428,324;180810,153
69;142473,678;107382,416;133482,765;180810,153
70;142571,411;107382,416;133600,148;180810,153
71;142479,331;107382,416;133499,408;180810,153
72;142095,236;107382,416;133176,884;180810,153
73;141822,750;107382,416;132819,379;181407,939
74;141822,750;107382,416;132819,379;181407,939
75;141874,108;106565,969;132808,669;181407,939
76;141901,023;106565,969;132835,139;181407,939
77;141824,535;106565,969;132803,365;180486,343
78;141569,646;106565,969;132582,648;180486,343
79;141952,958;106565,969;133018,910;180486,343
80;141690,869;105811,517;132752,072;180486,343
81;141673,364;106420,204;132747,404;180486,343
82;141673,364;106420,204;132747,404;180486,343
83;141417,302;106420,204;132514,943;179951,571
84;141520,165;106420,204;132616,584;179951,571
85;141355,257;106420,204;132589,077;175711,028
86;140940,521;106420,204;132222,826;175711,028
87;140911,795;106420,204;132191,893;175711,028
88;140726,720;106420,204;132002,304;175711,028
89;140875,957;109380,023;132191,124;175711,028
90;140535,228;109380,023;131907,996;173841,126
91;140528,066;109297,179;131899,712;173841,126
92;140582,692;109297,179;131960,097;173841,126
93;140582,692;109297,179;131960,097;173841,126
94;140854,241;109297,179;132255,920;173841,126
95;140337,319;109297,179;131680,554;173841,126
96;140441,358;109297,179;131784,923;173841,126
97;140398,603;109297,179;131736,715;173841,126
98;140228,189;109380,023;131556,588;173841,126
99;140261,338;109297,179;131594,230;173841,126
100;140221,142;109297,179;131555,291;173841,126
