gen;std;min;avg;max
0;273274,531;238240,704;258339,095;315275,057
1;272347,515;240642,586;257625,933;309455,587
2;267065,802;223883,655;252417,287;304878,073
3;261614,231;225566,730;247424,005;296315,951
4;262306,406;221692,351;248024,150;296315,951
5;263000,963;221692,351;248563,311;296315,951
6;263578,970;217348,364;249195,938;296315,951
7;263012,506;214265,277;248480,574;296315,951
8;262790,768;214265,277;248291,502;296315,951
9;261245,251;214265,277;246597,634;296315,951
10;257746,045;208697,264;243240,919;289192,528
11;255242,820;206200,785;240692,946;289629,247
12;256485,157;206200,785;241942,056;289629,247
13;251118,881;201846,505;237041,513;288116,898
14;248317,176;200776,500;234598,674;276024,651
15;250753,204;200776,500;236557,674;293717,224
16;247794,263;202278,864;234178,082;272504,515
17;249437,282;202278,864;235647,178;272504,515
18;246866,202;202278,864;233364,171;261159,895
19;247232,868;201979,647;233673,159;260683,701
20;245618,911;198333,775;232073,328;265847,817
21;242518,434;198766,134;229296,015;257324,253
22;239642,154;198766,134;226693,497;256064,724
23;239215,609;198766,134;226337,319;252213,811
24;238772,077;199672,198;226012,025;246091,673
25;237649,958;199672,198;225013,036;245394,989
26;237656,938;199672,198;224987,014;245394,989
27;237247,305;201868,387;224604,538;245394,989
28;235525,541;193882,749;222908,745;245480,025
29;234954,316;193882,749;222356,729;245480,025
30;235223,000;191947,544;222548,418;245480,025
31;236777,834;191947,544;223912,454;253039,132
32;236549,798;191947,544;223712,987;251591,567
33;236446,651;191973,005;223611,540;251591,567
34;235986,561;191410,378;223133,287;251673,426
35;235912,305;191410,378;223129,261;257643,269
36;233498,113;191410,378;221035,780;244470,356
37;232817,012;191410,378;220424,475;244470,356
38;230580,079;191410,378;218325,007;244470,356
39;230575,601;184120,483;218185,514;244470,356
40;230681,137;184120,483;218234,054;248278,129
41;230846,610;184081,473;218359,250;248278,129
42;229582,763;183243,745;217203,852;248278,129
43;227744,674;183243,745;215338,038;254031,724
44;221923,910;183243,745;210169,216;233417,501
45;221563,969;183243,745;209816,687;233417,501
46;221597,566;183243,745;209840,528;233417,501
47;222202,812;183243,745;210394,063;233923,213
48;223807,925;183243,745;211717,562;240925,737
49;225351,593;183243,745;213114,758;240925,737
50;224639,932;182666,695;212456,903;240925,737
51;223617,458;182666,695;211540,766;234771,431
52;224346,761;182666,695;212196,501;239544,116
53;223929,134;182666,695;211888,215;233717,106
54;225027,839;182666,695;212886,535;235700,936
55;221587,239;171567,496;209507,348;235700,936
56;222220,772;171567,496;210135,488;227686,533
57;221418,058;171567,496;209377,959;227686,533
58;222427,483;185197,999;210564,655;228204,811
59;221743,176;185197,999;209874,030;228987,507
60;221684,691;184304,568;209841,752;228987,507
61;221165,375;184304,568;209342,349;228987,507
62;218697,961;180628,014;207032,760;226231,146
63;218512,558;180628,014;206861,854;226231,146
64;217513,670;180628,014;205943,018;226231,146
65;217066,897;180628,014;205555,758;221468,869
66;218797,186;180628,014;207082,856;226231,146
67;219190,844;180628,014;207448,199;226231,146
68;219190,844;180628,014;207448,199;226231,146
69;219945,811;181296,945;208148,893;226231,146
70;219470,721;181296,945;207728,261;226231,146
71;219275,064;181296,945;207548,520;226231,146
72;219275,064;181296,945;207548,520;226231,146
73;218605,131;181296,945;206944,167;226231,146
74;218148,696;183695,615;206544,500;226231,146
75;217564,916;181296,945;205964,260;226231,146
76;217515,796;181296,945;205922,125;225903,611
77;217207,646;179364,011;205594,894;225903,611
78;215981,335;174637,486;204367,418;222072,270
79;215686,767;174637,486;204096,666;222072,270
80;214221,830;174637,486;202776,504;222072,270
81;214271,442;174637,486;202822,407;222072,270
82;213849,560;169919,700;202350,628;222072,270
83;213849,560;169919,700;202350,628;222072,270
84;213877,256;170349,870;202384,114;222072,270
85;213288,186;168489,020;201806,082;222072,270
86;212239,584;169345,381;200809,114;222072,270
87;212378,482;169345,381;200937,121;222072,270
88;213989,728;169531,554;202384,278;223327,919
89;213043,741;166749,095;201391,375;223327,919
90;213043,741;166749,095;201391,375;223327,919
91;213229,438;166749,095;201572,095;223327,919
92;212599,508;165731,491;200979,439;223327,919
93;211462,059;165006,630;199933,582;223327,919
94;211462,059;165006,630;199933,582;223327,919
95;212271,193;165006,630;200749,273;226296,877
96;212189,406;165006,630;200675,413;225903,611
97;214227,532;166821,531;202600,423;225903,611
98;214531,149;166821,531;202852,947;225903,611
99;212955,855;166821,531;201475,776;219698,794
100;213678,709;166821,531;202094,049;225903,611
