gen;std;min;avg;max
0;8200,923;4604,300;7581,050;10006,100
1;7898,714;4604,300;7264,710;10006,100
2;7848,784;4480,900;7221,920;9769,500
3;7554,930;4480,900;6919,510;9769,500
4;7333,984;4480,900;6753,480;9365,900
5;7205,748;4480,900;6617,670;9365,900
6;6955,142;4466,400;6427,810;8442,600
7;6901,775;4466,400;6375,340;8442,600
8;6878,615;4466,400;6354,770;8442,600
9;6820,375;4466,400;6308,630;8442,600
10;6807,453;4345,900;6291,200;8442,600
11;6691,750;4345,900;6196,760;8442,600
12;6594,002;3985,700;6100,960;8442,600
13;6398,216;3985,700;5916,810;8442,600
14;6386,226;3985,700;5908,600;8360,500
15;6366,207;3985,700;5889,390;8312,600
16;6302,120;3985,700;5834,210;8312,600
17;6093,801;3985,700;5667,800;7872,500
18;5977,080;3985,700;5574,860;7435,400
19;5962,800;3985,700;5563,160;7354,000
20;5813,327;3985,700;5436,720;7354,000
21;5745,943;3985,700;5375,090;7323,700
22;5734,328;3832,200;5359,740;7323,700
23;5637,275;3832,200;5258,440;7323,700
24;5608,307;3832,200;5233,400;7275,100
25;5588,835;3832,200;5217,660;7275,100
26;5588,835;3832,200;5217,660;7275,100
27;5498,545;3832,200;5131,160;7275,100
28;5498,545;3832,200;5131,160;7275,100
29;5434,659;3832,200;5073,580;7275,100
30;5433,050;3832,200;5072,230;7275,100
31;5393,638;3832,200;5032,380;7275,100
32;5310,699;3832,200;4959,190;7275,100
33;5292,774;3832,200;4942,950;7275,100
34;5240,036;3832,200;4907,280;6931,700
35;5223,116;3832,200;4895,690;6815,800
36;5220,188;3832,200;4893,030;6815,800
37;5194,366;3832,200;4868,950;6815,800
38;5186,979;3832,200;4861,270;6815,800
39;5065,353;3832,200;4773,260;5935,700
40;5065,353;3832,200;4773,260;5935,700
41;5024,240;3832,200;4736,390;5935,700
42;5024,240;3832,200;4736,390;5935,700
43;4941,885;3832,200;4670,510;5276,900
44;4934,836;3832,200;4663,530;5276,900
45;4934,068;3832,200;4662,810;5276,900
46;4867,314;3832,200;4603,350;5091,800
47;4842,826;3832,200;4580,170;5091,800
48;4835,645;3832,200;4573,990;5030,000
49;4811,724;3832,200;4552,430;4971,000
50;4806,031;3832,200;4546,790;4971,000
51;4804,554;3832,200;4545,290;4971,000
52;4799,841;3832,200;4540,740;4971,000
53;4799,841;3832,200;4540,740;4971,000
54;4740,299;3832,200;4487,330;4971,000
55;4735,581;3832,200;4482,670;4971,000
56;4735,581;3832,200;4482,670;4971,000
57;4722,213;3832,200;4471,090;4855,200
58;4722,213;3832,200;4471,090;4855,200
59;4703,031;3832,200;4451,590;4855,200
60;4643,174;3832,200;4394,340;4855,200
61;4616,975;3832,200;4370,330;4828,500
62;4604,722;3832,200;4357,770;4828,500
63;4589,622;3832,200;4344,340;4828,500
64;4582,288;3832,200;4337,720;4828,500
65;4582,288;3832,200;4337,720;4828,500
66;4581,331;3832,200;4336,730;4828,500
67;4581,331;3832,200;4336,730;4828,500
68;4575,412;3805,500;4330,560;4828,500
69;4551,087;3805,500;4307,620;4804,400
70;4551,087;3805,500;4307,620;4804,400
71;4548,571;3805,500;4305,060;4804,400
72;4540,208;3805,500;4296,820;4804,400
73;4515,901;3805,500;4275,740;4593,600
74;4515,901;3805,500;4275,740;4593,600
75;4515,494;3805,500;4275,380;4590,000
76;4515,494;3805,500;4275,380;4590,000
77;4513,525;3805,500;4273,360;4590,000
78;4497,311;3805,500;4257,700;4590,000
79;4464,803;3805,500;4228,150;4590,000
80;4464,803;3805,500;4228,150;4590,000
81;4433,535;3805,500;4198,800;4590,000
82;4430,140;3805,500;4195,840;4560,400
83;4427,959;3805,500;4193,930;4541,300
84;4427,959;3805,500;4193,930;4541,300
85;4427,959;3805,500;4193,930;4541,300
86;4341,531;3805,500;4115,380;4454,600
87;4324,195;3805,500;4098,680;4454,600
88;4319,411;3759,800;4093,790;4454,600
89;4319,411;3759,800;4093,790;4454,600
90;4310,329;3759,800;4085,010;4454,600
91;4308,051;3759,800;4082,940;4454,600
92;4305,168;3759,800;4080,190;4454,600
93;4293,653;3759,800;4068,890;4454,600
94;4293,653;3759,800;4068,890;4454,600
95;4293,653;3759,800;4068,890;4454,600
96;4287,551;3696,600;4062,570;4454,600
97;4287,551;3696,600;4062,570;4454,600
98;4287,551;3696,600;4062,570;4454,600
99;4287,551;3696,600;4062,570;4454,600
100;4287,551;3696,600;4062,570;4454,600
