gen;std;min;avg;max
0;7604,635;5290,600;7077,400;9467,900
1;7249,707;5290,600;6750,400;9467,900
2;7205,436;4998,600;6700,940;9467,900
3;7149,186;4998,600;6639,930;9467,900
4;7031,854;4544,800;6501,080;9409,700
5;6918,819;4544,800;6375,620;9409,700
6;6783,466;4544,800;6232,840;9409,700
7;6569,241;4544,800;6039,940;9340,700
8;6419,828;4544,800;5927,260;8605,300
9;6414,403;4544,800;5920,930;8605,300
10;6331,407;4175,700;5823,810;8605,300
11;6146,493;4175,700;5671,090;8568,900
12;6070,452;3882,700;5585,190;8568,900
13;6033,374;3882,700;5554,270;8425,500
14;5981,799;3882,700;5501,410;8425,500
15;5979,334;3882,700;5498,670;8425,500
16;5970,729;3882,700;5493,160;8370,400
17;5958,632;3882,700;5484,830;8370,400
18;5744,725;3882,700;5337,230;7754,300
19;5673,372;3882,700;5268,630;7754,300
20;5647,776;3855,000;5243,210;7718,800
21;5590,202;3855,000;5204,520;7331,900
22;5558,465;3855,000;5179,110;7331,900
23;5552,892;3855,000;5175,300;7293,800
24;5385,565;3855,000;5042,740;6708,800
25;5385,565;3855,000;5042,740;6708,800
26;5385,565;3855,000;5042,740;6708,800
27;5317,228;3855,000;4991,370;6358,300
28;5134,126;3778,300;4820,670;6358,300
29;5085,569;3769,600;4770,430;6358,300
30;5076,814;3769,600;4762,910;6358,300
31;5071,373;3703,100;4756,260;6358,300
32;5065,303;3703,100;4749,630;6358,300
33;5064,488;3703,100;4748,850;6358,300
34;5020,516;3703,100;4705,500;6358,300
35;4978,849;3703,100;4666,040;6358,300
36;4933,843;3703,100;4622,740;6358,300
37;4808,077;3703,100;4526,910;5520,800
38;4676,962;3703,100;4406,460;5520,800
39;4676,962;3703,100;4406,460;5520,800
40;4664,745;3703,100;4394,230;5520,800
41;4660,903;3703,100;4390,260;5520,800
42;4653,489;3703,100;4384,130;5520,800
43;4553,899;3703,100;4303,490;5065,700
44;4519,019;3703,100;4270,300;5065,700
45;4519,019;3703,100;4270,300;5065,700
46;4508,704;3703,100;4259,960;5065,700
47;4502,207;3703,100;4253,700;5065,700
48;4490,195;3703,100;4242,310;5065,700
49;4490,195;3703,100;4242,310;5065,700
50;4464,435;3697,100;4216,850;5065,700
51;4464,435;3697,100;4216,850;5065,700
52;4447,918;3697,100;4203,600;4933,200
53;4446,833;3697,100;4202,480;4933,200
54;4439,657;3697,100;4195,400;4933,200
55;4436,635;3664,300;4192,120;4933,200
56;4436,258;3664,300;4191,740;4933,200
57;4363,842;3664,300;4129,710;4716,000
58;4352,519;3664,300;4119,640;4653,100
59;4324,723;3664,300;4092,110;4653,100
60;4324,723;3664,300;4092,110;4653,100
61;4324,723;3664,300;4092,110;4653,100
62;4324,723;3664,300;4092,110;4653,100
63;4324,723;3664,300;4092,110;4653,100
64;4314,633;3664,300;4082,300;4653,100
65;4291,709;3664,300;4060,890;4653,100
66;4272,448;3664,300;4043,300;4653,100
67;4258,497;3664,300;4030,810;4582,000
68;4254,553;3664,300;4027,500;4548,900
69;4246,935;3664,300;4020,830;4498,300
70;4240,520;3664,300;4015,350;4443,500
71;4234,306;3664,300;4009,890;4398,300
72;4213,009;3664,300;3989,710;4348,500
73;4181,913;3664,300;3961,800;4324,000
74;4181,913;3664,300;3961,800;4324,000
75;4158,969;3664,300;3941,090;4324,000
76;4158,969;3664,300;3941,090;4324,000
77;4144,200;3650,100;3927,950;4206,800
78;4142,501;3632,700;3926,210;4206,800
79;4137,526;3632,700;3921,780;4162,500
80;4137,526;3632,700;3921,780;4162,500
81;4137,526;3632,700;3921,780;4162,500
82;4137,526;3632,700;3921,780;4162,500
83;4135,290;3632,700;3919,550;4162,500
84;4135,290;3632,700;3919,550;4162,500
85;4126,050;3632,700;3911,020;4162,500
86;4106,155;3632,700;3891,720;4162,500
87;4106,155;3632,700;3891,720;4162,500
88;4106,155;3632,700;3891,720;4162,500
89;4088,801;3632,700;3876,050;4112,800
90;4082,438;3632,700;3870,080;4112,800
91;4076,894;3632,700;3864,810;4112,800
92;4059,390;3632,700;3848,920;4019,800
93;4053,452;3632,700;3843,050;4019,800
94;4046,043;3632,700;3836,160;4019,800
95;4046,043;3632,700;3836,160;4019,800
96;4046,043;3632,700;3836,160;4019,800
97;4029,346;3578,900;3820,340;4019,800
98;4029,346;3578,900;3820,340;4019,800
99;4028,611;3578,900;3819,670;4019,800
100;4028,611;3578,900;3819,670;4019,800
