gen;std;min;avg;max
0;268404,812;215156,236;253272,791;310580,089
1;268556,696;215156,236;253462,456;307870,175
2;267576,264;215156,236;252838,258;295238,768
3;265691,950;215117,937;250905,636;295238,768
4;263430,298;213292,094;248719,570;295238,768
5;262865,848;210662,958;248153,305;295238,768
6;263235,728;210169,831;248600,704;292357,879
7;259242,730;197274,813;244553,120;292357,879
8;257993,197;205328,735;243586,859;287948,641
9;255531,299;198708,841;241269,915;284955,340
10;254482,312;195682,586;240280,396;284955,340
11;252853,690;195682,586;238807,211;284955,340
12;253094,458;195682,586;239007,529;286412,667
13;252006,756;195682,586;237940,549;286412,667
14;253391,379;195784,678;239147,256;292091,964
15;252145,035;195001,833;237931,296;292091,964
16;254967,840;195001,833;240348,609;292091,964
17;253813,736;195077,961;239092,781;292091,964
18;253638,885;195077,961;238855,621;300612,377
19;253415,703;195077,961;238633,564;300612,377
20;250232,888;195077,961;235599,219;300612,377
21;254027,957;194970,880;239039,544;303860,071
22;252961,936;195087,227;238010,044;303860,071
23;249347,585;195087,227;234783,777;303860,071
24;248537,275;195087,227;233982,562;303860,071
25;247463,323;195087,227;232842,219;303860,071
26;246660,270;195087,227;232105,066;303860,071
27;247083,809;195087,227;232195,117;314132,656
28;248285,377;197191,304;233052,877;322590,729
29;248288,161;197191,304;233054,806;322610,019
30;248213,752;197191,304;232978,943;322610,019
31;247708,741;197191,304;232512,398;321460,727
32;246759,184;197191,304;232045,888;311728,512
33;245726,183;193545,669;230935,799;311728,512
34;247135,355;193545,669;232342,767;311728,512
35;245675,348;193545,669;230962,098;311728,512
36;245073,676;193545,669;230414,668;310921,674
37;244001,676;194797,029;229350,543;310921,674
38;243014,622;194797,029;228412,383;310921,674
39;243718,638;194797,029;229124,786;310486,863
40;243727,246;194797,029;229132,800;310486,863
41;243822,647;194797,029;229141,016;312883,438
42;243785,396;194797,029;229101,713;312883,438
43;243696,110;194797,029;228909,145;311816,423
44;240658,051;194352,463;226686,253;290254,076
45;239576,453;196862,497;225656,296;290254,076
46;237595,869;196862,497;223752,126;290254,076
47;237165,684;196862,497;223250,267;292004,698
48;237092,104;196862,497;223209,168;291185,533
49;237452,938;196246,340;223587,044;291185,533
50;236971,394;194352,463;223055,017;291185,533
51;235828,033;194352,463;221909,554;291185,533
52;234246,320;196246,340;220520,782;285970,827
53;233925,130;196246,340;220283,171;283594,720
54;230670,280;196862,497;217450,197;274305,763
55;230152,220;196862,497;216991,172;273125,212
56;230365,434;196862,497;217265,583;273125,212
57;227756,306;196862,497;215230,804;252211,949
58;227022,364;196862,497;214554,640;253031,114
59;227022,364;196862,497;214554,640;253031,114
60;226456,815;196862,497;214083,503;253031,114
61;226046,056;196482,024;213690,750;253031,114
62;226670,561;194100,387;214122,850;260210,296
63;226580,239;193509,036;214029,813;260210,296
64;225757,261;193509,036;213183,277;260210,296
65;223693,406;193509,036;211472,315;252450,012
66;223074,276;192042,523;210939,688;248680,394
67;223237,512;192042,523;211098,840;248680,394
68;223203,466;192042,523;211064,705;248680,394
69;222987,674;192042,523;210856,758;248178,343
70;223026,628;192042,523;210895,705;248178,343
71;222554,901;188944,370;210442,154;246740,981
72;221482,083;188944,370;209411,106;246740,981
73;220626,866;188944,370;208651,408;243379,702
74;219184,165;188409,066;207227,853;243379,702
75;219472,923;188409,066;207474,667;243334,663
76;219301,499;188409,066;207367,812;243334,663
77;221200,271;188409,066;208984,382;249318,640
78;221564,711;187770,571;209293,773;248744,238
79;221180,651;187770,571;208894,171;248744,238
80;221319,837;186754,784;209037,658;248744,238
81;220333,748;186754,784;208129,466;248744,238
82;220664,520;186754,784;208416,680;248744,238
83;220422,253;187759,202;208166,191;248744,238
84;220422,253;187759,202;208166,191;248744,238
85;219749,778;187759,202;207624,800;243330,336
86;218641,256;186968,768;206497,238;243330,336
87;218973,926;186968,768;206841,247;243330,336
88;219535,218;186968,768;207430,451;242830,319
89;219442,131;186968,768;207349,880;242830,319
90;219660,481;186968,768;207568,887;242830,319
91;219934,260;186968,768;207816,486;240603,918
92;219907,197;186968,768;207788,724;240590,440
93;218346,326;186968,768;206488,174;234388,912
94;218584,434;186968,768;206723,119;234388,912
95;218297,788;186968,768;206472,846;234388,912
96;217099,006;186968,768;205447,848;229974,473
97;216916,130;186968,768;205272,506;229974,473
98;216235,424;186968,768;204680,811;224733,446
99;216592,907;186968,768;204985,399;228031,613
100;216404,742;186968,768;204806,828;228031,613
