gen;std;min;avg;max
0;269661,066;235656,444;255359,455;288947,181
1;267685,091;233459,623;253338,809;290339,809
2;267486,060;224615,135;253059,505;290339,809
3;264902,813;224615,135;250671,113;290339,809
4;263445,611;224615,135;249262,071;290339,809
5;260200,802;228810,459;246535,308;268995,573
6;258960,397;231531,420;245447,345;263325,913
7;256404,662;230078,933;243055,206;264047,762
8;256765,357;226893,901;243348,476;264047,762
9;255976,608;226544,787;242589,164;264047,762
10;253800,985;227655,201;240634,335;252324,168
11;251636,268;227655,201;238563,552;252324,168
12;250733,129;227580,464;237697,879;252324,168
13;249497,318;220612,719;236407,464;259344,139
14;250936,033;220612,719;237666,229;265715,042
15;250670,390;220612,719;237392,684;266149,613
16;248058,149;213722,176;234814,991;266149,613
17;248545,953;213722,176;235274,098;266149,613
18;248091,345;215551,990;235058,068;252586,170
19;248666,735;212945,022;235478,063;254336,288
20;247924,214;212945,022;234762,699;254336,288
21;247674,596;213651,028;234557,737;254336,288
22;246319,765;209259,736;233182,099;254336,288
23;246488,125;213651,028;233450,056;253247,112
24;244553,655;209259,736;231520,143;253247,112
25;244004,694;210690,288;231039,779;253247,112
26;244180,081;210690,288;231205,478;253247,112
27;244010,505;214059,987;231069,486;253247,112
28;243645,065;214059,987;230697,314;253247,112
29;243006,293;214059,987;230072,685;253247,112
30;242328,486;209224,085;229435,545;253000,114
31;243722,927;209224,085;230744,098;253000,114
32;242699,627;207324,224;229693,980;253000,114
33;242114,769;207149,193;229100,668;253000,114
34;242169,606;205327,863;229161,229;252495,520
35;240705,260;198846,844;227682,613;252495,520
36;241344,339;198846,844;228299,311;252495,520
37;241038,282;198846,844;228017,968;252495,520
38;240560,666;198846,844;227585,787;252495,520
39;240355,818;198791,349;227363,775;254170,439
40;240891,146;198791,349;227917,609;254373,953
41;239974,026;195297,548;226955,895;254373,953
42;239967,310;195297,548;226884,650;254373,953
43;241946,859;193341,378;228652,232;258224,025
44;240887,091;193078,185;227685,380;258224,025
45;237180,697;193078,185;224250,859;258224,025
46;235471,380;193078,185;222800,155;243857,571
47;236072,957;193078,185;223409,379;243857,571
48;236722,353;197037,190;224039,778;244528,971
49;237314,676;197037,190;224440,307;248732,466
50;235504,146;196240,196;222777,794;244393,235
51;237155,950;198430,532;224385,111;244145,822
52;236627,216;201392,081;223988,241;242709,965
53;236839,173;206625,844;224285,535;242709,965
54;235960,269;206625,844;223479,635;244467,782
55;235946,122;205788,234;223444,458;244621,256
56;236202,156;205788,234;223677,386;244621,256
57;235463,867;200281,928;222906,193;244621,256
58;234322,328;201228,455;221823,505;244621,256
59;233653,507;201228,455;221202,516;244621,256
60;233773,777;201228,455;221312,427;243293,950
61;233824,572;201228,455;221390,924;243293,950
62;231673,791;198946,555;219333,315;243293,950
63;230522,433;201760,607;218336,722;236318,916
64;230161,788;201760,607;218014,670;234308,267
65;231515,522;202381,548;219347,483;234335,845
66;231007,095;202381,548;218847,313;234335,845
67;229072,643;202381,548;217023,485;233649,452
68;229151,749;201174,313;217106,259;233649,452
69;228197,008;201174,313;216220,381;233649,452
70;227861,696;202381,548;215900,041;233649,452
71;227489,463;202381,548;215546,659;233649,452
72;227433,943;201579,321;215488,866;233649,452
73;227278,279;200957,597;215332,784;233649,452
74;228537,316;200957,597;216528,820;233649,452
75;227467,105;200248,528;215507,353;233649,452
76;228201,396;200497,945;216197,477;238217,117
77;227655,333;200497,945;215698,835;238217,117
78;226273,923;193741,014;214280,455;236782,905
79;223880,855;194832,879;212064,382;236782,905
80;223882,868;188367,995;211972,692;236782,905
81;223580,266;188367,995;211687,936;236180,841
82;222723,128;188592,292;210890,250;236180,841
83;221959,399;188592,292;210150,674;236180,841
84;221607,943;189155,544;209794,511;235795,841
85;221323,403;189155,544;209535,002;235795,841
86;222300,389;193755,295;210497,468;233470,212
87;222149,457;193755,295;210360,867;233470,212
88;223219,023;199198,308;211463,075;233470,212
89;223180,167;199198,308;211438,742;233470,212
90;222630,490;200058,983;210978,514;227830,155
91;224392,530;200058,983;212581,926;236993,837
92;224437,322;200058,983;212624,055;236993,837
93;224063,752;200058,983;212294,929;236993,837
94;223647,882;200058,983;211886,451;236844,683
95;224186,637;200058,983;212401,691;236844,683
96;222584,521;200058,983;210950,583;230393,162
97;222285,282;200058,983;210670,956;230393,162
98;222815,203;200058,983;211189,269;230393,162
99;224166,937;200532,394;212449,858;230685,953
100;223763,543;200532,394;212088,031;228531,942
