gen;std;min;avg;max
0;7081,419;4873,500;6636,230;7817,000
1;6816,838;4873,500;6378,040;7817,000
2;6720,688;4856,900;6298,670;7721,600
3;6720,688;4856,900;6298,670;7721,600
4;6664,625;4856,900;6238,050;7698,300
5;6629,355;4856,900;6207,650;7698,300
6;6524,010;4856,900;6108,570;7698,300
7;6512,099;4809,700;6096,380;7698,300
8;6456,034;4593,200;6031,360;7698,300
9;6412,887;4012,500;5973,290;7698,300
10;6128,634;4012,500;5705,750;7698,300
11;6096,842;3990,500;5676,740;7698,300
12;6000,796;3990,500;5596,790;7698,300
13;5867,955;3990,500;5470,330;7698,300
14;5611,137;3929,400;5230,700;7296,400
15;5531,391;3929,400;5152,950;7296,400
16;5408,774;3929,400;5057,630;6700,400
17;5301,337;3910,500;4966,540;6255,000
18;5234,466;3910,500;4907,760;6255,000
19;5233,591;3910,500;4906,930;6255,000
20;5233,591;3910,500;4906,930;6255,000
21;5233,591;3910,500;4906,930;6255,000
22;5200,430;3778,100;4869,460;6255,000
23;5195,384;3775,400;4864,130;6255,000
24;5175,338;3775,400;4848,990;6205,200
25;5145,128;3775,400;4816,560;6205,200
26;5121,983;3730,300;4795,200;6205,200
27;5115,235;3730,300;4789,030;6205,200
28;5115,235;3730,300;4789,030;6205,200
29;5115,235;3730,300;4789,030;6205,200
30;5068,713;3699,800;4744,630;6198,600
31;5010,939;3634,600;4698,420;6040,800
32;5007,623;3634,600;4695,020;6040,800
33;5003,607;3634,600;4690,870;6040,800
34;5001,664;3634,600;4689,360;6040,800
35;4990,660;3634,600;4678,620;6040,800
36;4990,660;3634,600;4678,620;6040,800
37;4990,660;3634,600;4678,620;6040,800
38;4990,660;3634,600;4678,620;6040,800
39;4939,888;3634,600;4629,030;6004,400
40;4939,888;3634,600;4629,030;6004,400
41;4938,106;3634,600;4627,340;6004,400
42;4916,105;3634,600;4606,630;6004,400
43;4888,808;3634,600;4579,160;5964,600
44;4888,808;3634,600;4579,160;5964,600
45;4888,808;3634,600;4579,160;5964,600
46;4886,479;3634,600;4577,440;5947,400
47;4881,723;3634,600;4572,880;5947,400
48;4881,723;3634,600;4572,880;5947,400
49;4881,723;3634,600;4572,880;5947,400
50;4881,723;3634,600;4572,880;5947,400
51;4845,086;3634,600;4544,890;5867,600
52;4845,086;3634,600;4544,890;5867,600
53;4829,682;3634,600;4530,870;5867,600
54;4818,956;3634,600;4520,170;5867,600
55;4809,411;3634,600;4510,420;5867,600
56;4809,411;3634,600;4510,420;5867,600
57;4785,491;3634,600;4490,950;5797,900
58;4779,921;3634,600;4486,800;5756,400
59;4779,921;3634,600;4486,800;5756,400
60;4731,538;3634,600;4446,460;5526,700
61;4682,066;3634,600;4406,690;5526,700
62;4681,669;3634,600;4406,360;5526,700
63;4681,513;3634,600;4406,230;5526,700
64;4675,720;3634,600;4401,020;5526,700
65;4675,720;3634,600;4401,020;5526,700
66;4632,402;3634,600;4363,840;5526,700
67;4632,402;3634,600;4363,840;5526,700
68;4632,402;3634,600;4363,840;5526,700
69;4621,228;3634,600;4353,620;5526,700
70;4621,228;3634,600;4353,620;5526,700
71;4611,422;3634,600;4344,650;5526,700
72;4568,224;3634,600;4308,480;5333,600
73;4548,704;3634,600;4289,710;5333,600
74;4540,195;3634,600;4281,310;5333,600
75;4533,500;3634,600;4274,200;5333,600
76;4533,500;3634,600;4274,200;5333,600
77;4512,902;3634,600;4254,140;5333,600
78;4491,894;3634,600;4234,780;5333,600
79;4486,582;3634,600;4229,630;5333,600
80;4486,582;3634,600;4229,630;5333,600
81;4485,024;3634,600;4228,030;5333,600
82;4480,112;3634,600;4222,840;5333,600
83;4480,112;3634,600;4222,840;5333,600
84;4467,010;3634,600;4210,360;5313,900
85;4466,883;3633,200;4210,220;5313,900
86;4466,883;3633,200;4210,220;5313,900
87;4454,064;3633,200;4197,690;5313,900
88;4451,471;3633,200;4195,010;5313,900
89;4451,471;3633,200;4195,010;5313,900
90;4451,471;3633,200;4195,010;5313,900
91;4444,801;3633,200;4188,990;5313,900
92;4412,113;3633,200;4163,880;5062,800
93;4412,113;3633,200;4163,880;5062,800
94;4405,317;3633,200;4158,100;5062,800
95;4394,035;3633,200;4146,840;5062,800
96;4394,035;3633,200;4146,840;5062,800
97;4392,134;3633,200;4144,890;5062,800
98;4392,134;3633,200;4144,890;5062,800
99;4392,134;3633,200;4144,890;5062,800
100;4382,106;3633,200;4134,640;5062,800
