gen;std;min;avg;max
0;278165,453;234987,529;263345,916;282799,748
1;277573,718;234987,529;262826,589;281690,521
2;277781,692;234987,529;263012,928;281690,521
3;273918,594;234987,529;259484,265;277144,255
4;272948,247;234987,529;258571,031;275514,573
5;271597,282;228138,107;257261,671;272602,488
6;270233,003;228138,107;256018,924;270740,723
7;267406,314;228138,107;253364,186;270740,723
8;269660,990;228091,476;255312,439;277537,574
9;269834,596;228138,107;255488,623;277537,574
10;267424,775;228138,107;253198,160;275663,163
11;264853,209;224964,733;250692,477;275663,163
12;265803,472;225917,598;251765,884;275667,600
13;267683,024;225383,918;253559,340;277963,170
14;262739,064;225383,918;248919,646;275515,175
15;262603,838;225093,790;248678,963;279239,114
16;262905,536;225093,790;248986,887;279239,114
17;260893,391;221263,462;246983,135;277521,662
18;261452,710;226799,367;247573,678;277521,662
19;260720,444;224918,102;246876,172;277521,662
20;260733,238;224918,102;246844,593;277521,662
21;257256,107;217360,626;243623,041;267007,720
22;256667,568;217360,626;243084,106;264440,979
23;257583,378;217360,626;243990,127;264440,979
24;255587,211;202427,360;241895,634;264241,105
25;254674,611;212179,001;241253,323;255539,669
26;253113,035;212179,001;239821,552;254150,542
27;252347,709;212179,001;239101,016;252996,019
28;251871,072;211331,631;238643,710;252343,587
29;252114,576;212566,022;238883,218;252752,454
30;251893,401;211194,679;238669,475;252752,454
31;248607,085;209486,362;235589,533;245618,994
32;249122,898;209486,362;236053,578;255137,976
33;248384,267;221803,538;235418,925;255137,976
34;247983,152;221803,538;235039,998;255137,976
35;247273,784;221803,538;234394,191;253071,341
36;247684,655;220520,615;234801,638;250633,320
37;249154,528;218544,652;236181,375;250633,320
38;249089,346;218341,267;236118,008;250633,320
39;249596,685;222042,506;236564,349;255390,352
40;248581,712;222503,614;235655,220;251837,420
41;248462,732;222503,614;235549,109;250808,302
42;250220,172;222503,614;237219,448;252715,503
43;248742,417;222266,199;235828,690;251341,363
44;248793,249;222503,614;235882,782;251341,363
45;248654,113;222050,163;235743,701;251341,363
46;248593,198;222050,163;235639,136;251341,363
47;248889,507;218421,968;235923,985;251341,363
48;248877,295;218914,924;235918,172;251341,363
49;248648,488;217906,792;235669,036;251341,363
50;248543,817;217906,792;235575,262;251341,363
51;248411,451;217375,434;235446,238;251341,363
52;247032,097;217375,434;234190,537;246300,130
53;247186,227;217375,434;234332,458;246300,130
54;246645,044;215551,894;233803,521;246300,130
55;245288,923;204834,639;232411,409;246300,130
56;242687,740;204834,639;229902,545;246300,130
57;242603,820;204834,639;229817,143;246300,130
58;240498,325;204834,639;227890,432;240175,446
59;242187,305;204834,639;229538,315;240175,446
60;241865,104;201379,169;229192,768;240175,446
61;241955,438;201379,169;229276,295;239403,140
62;241323,113;201379,169;228691,873;237349,746
63;240328,104;205720,468;227808,967;237887,901
64;240806,313;205720,468;228262,601;237887,901
65;240134,719;205720,468;227639,974;236670,463
66;239803,536;205720,468;227342,354;234583,201
67;239210,185;205720,468;226790,760;234583,201
68;238436,424;205720,468;226065,491;231730,601
69;236583,481;205720,468;224292,496;231730,601
70;236267,122;205720,468;224000,160;231559,507
71;237982,075;205720,468;225541,515;245154,847
72;238422,609;205720,468;225971,425;245154,847
73;239055,932;206725,276;226570,925;245154,847
74;236985,271;206725,276;224579,092;242796,026
75;237813,892;206304,918;225370,837;241241,013
76;238370,025;206304,918;225953,433;241241,013
77;237289,767;206304,918;224895,892;241241,013
78;235733,138;202275,644;223347,897;240207,798
79;233982,520;202275,644;221750,358;231636,062
80;232595,464;202275,644;220444,912;230958,718
81;229699,533;200420,597;217693,896;230633,774
82;232223,754;200519,577;220107,310;231444,863
83;231788,375;200519,577;219691,375;231940,400
84;231186,316;200519,577;219148,133;231940,400
85;231557,826;200519,577;219515,479;231940,400
86;231601,865;200519,577;219555,019;232335,798
87;231667,573;201201,553;219623,217;232335,798
88;230860,818;201201,553;218784,807;237100,046
89;231033,012;201201,553;218947,909;237100,046
90;231013,976;201201,553;218920,349;238450,542
91;230713,169;201201,553;218649,052;238450,542
92;230069,537;201529,894;218043,982;237944,945
93;230069,537;201529,894;218043,982;237944,945
94;230069,537;201529,894;218043,982;237944,945
95;230076,427;201529,894;218047,659;237944,945
96;229230,083;201529,894;217242,229;235793,056
97;229230,083;201529,894;217242,229;235793,056
98;227617,824;201529,894;215774,300;227637,944
99;226664,296;201529,894;214856,967;227637,944
100;227289,633;201529,894;215461,115;228329,261
