gen;std;min;avg;max
0;6923,379;5311,200;6513,270;8474,700
1;6750,477;4869,900;6331,780;8379,000
2;6529,670;4869,900;6155,820;7443,900
3;6347,145;4869,900;5997,080;6619,400
4;6249,422;4869,900;5905,260;6600,900
5;6249,422;4869,900;5905,260;6600,900
6;6239,298;4869,900;5895,720;6600,900
7;6143,614;4869,900;5805,070;6600,900
8;6125,011;4869,900;5784,650;6600,900
9;6089,770;4869,900;5751,590;6600,900
10;5976,309;4869,900;5649,450;6345,800
11;5911,722;4571,400;5581,730;6345,800
12;5893,186;4571,400;5564,590;6345,800
13;5875,770;4571,400;5548,800;6293,800
14;5852,542;4571,400;5528,290;6293,800
15;5674,936;4379,900;5353,990;6254,700
16;5660,223;4379,900;5338,290;6254,700
17;5508,298;4308,100;5194,660;6171,600
18;5507,471;4308,100;5193,820;6171,600
19;5507,471;4308,100;5193,820;6171,600
20;5505,142;4308,100;5191,780;6171,600
21;5489,921;4308,100;5175,380;6171,600
22;5466,389;4308,100;5153,040;6171,600
23;5349,947;4039,900;5033,610;6171,600
24;5334,758;4039,900;5019,530;6171,600
25;5330,129;4039,900;5015,920;6135,500
26;5254,227;4039,900;4952,130;5588,700
27;5248,885;4039,900;4947,430;5588,700
28;5220,027;4039,900;4920,960;5588,700
29;5219,638;4039,900;4920,630;5588,700
30;5215,423;4039,900;4916,930;5588,700
31;5205,534;4039,900;4908,160;5588,700
32;5205,534;4039,900;4908,160;5588,700
33;5205,534;4039,900;4908,160;5588,700
34;4955,072;3759,000;4657,980;5517,700
35;4884,625;3759,000;4595,870;5418,400
36;4884,625;3759,000;4595,870;5418,400
37;4806,756;3759,000;4528,260;5232,600
38;4795,540;3759,000;4518,500;5232,600
39;4795,540;3759,000;4518,500;5232,600
40;4756,705;3759,000;4483,740;5116,900
41;4687,282;3759,000;4420,200;5116,900
42;4648,835;3759,000;4387,470;5025,100
43;4629,984;3759,000;4371,470;4987,800
44;4626,114;3759,000;4367,650;4987,800
45;4626,114;3759,000;4367,650;4987,800
46;4626,114;3759,000;4367,650;4987,800
47;4626,114;3759,000;4367,650;4987,800
48;4624,538;3759,000;4366,290;4987,800
49;4573,868;3759,000;4321,760;4817,900
50;4559,181;3680,600;4305,710;4817,900
51;4559,181;3680,600;4305,710;4817,900
52;4541,576;3680,600;4288,070;4817,900
53;4539,940;3680,600;4286,310;4817,900
54;4525,319;3680,600;4273,380;4817,900
55;4504,186;3680,600;4255,040;4817,900
56;4504,186;3680,600;4255,040;4817,900
57;4504,186;3680,600;4255,040;4817,900
58;4504,186;3680,600;4255,040;4817,900
59;4504,186;3680,600;4255,040;4817,900
60;4493,761;3680,600;4245,480;4785,900
61;4492,173;3680,600;4244,090;4785,900
62;4455,803;3680,600;4210,920;4785,900
63;4433,785;3680,600;4189,400;4785,900
64;4402,211;3680,600;4160,900;4785,900
65;4398,237;3680,600;4157,600;4752,900
66;4398,237;3680,600;4157,600;4752,900
67;4397,304;3680,600;4156,730;4752,900
68;4397,304;3680,600;4156,730;4752,900
69;4391,655;3672,300;4151,750;4752,900
70;4391,655;3672,300;4151,750;4752,900
71;4370,885;3657,600;4133,900;4627,600
72;4370,885;3657,600;4133,900;4627,600
73;4347,072;3657,600;4110,880;4627,600
74;4347,072;3657,600;4110,880;4627,600
75;4314,631;3657,600;4079,520;4627,600
76;4308,890;3657,600;4074,640;4627,600
77;4308,890;3657,600;4074,640;4627,600
78;4298,859;3657,600;4064,480;4627,600
79;4298,859;3657,600;4064,480;4627,600
80;4298,228;3657,600;4063,920;4627,600
81;4298,228;3657,600;4063,920;4627,600
82;4289,590;3657,600;4056,140;4627,600
83;4282,714;3657,600;4050,260;4627,600
84;4282,714;3657,600;4050,260;4627,600
85;4277,344;3657,600;4045,330;4627,600
86;4277,344;3657,600;4045,330;4627,600
87;4277,344;3657,600;4045,330;4627,600
88;4277,344;3657,600;4045,330;4627,600
89;4277,344;3657,600;4045,330;4627,600
90;4277,344;3657,600;4045,330;4627,600
91;4269,299;3657,600;4037,040;4627,600
92;4263,616;3657,600;4032,300;4580,200
93;4258,055;3657,600;4027,620;4533,400
94;4258,055;3657,600;4027,620;4533,400
95;4251,986;3657,600;4022,140;4533,400
96;4205,036;3657,600;3980,010;4533,400
97;4203,983;3657,600;3979,070;4533,400
98;4203,983;3657,600;3979,070;4533,400
99;4188,215;3657,600;3964,800;4533,400
100;4188,215;3657,600;3964,800;4533,400
