gen;std;min;avg;max
0;703883,036;474116,879;661783,293;792581,649
1;669133,126;474116,879;630214,778;792581,649
2;645065,059;430798,056;608411,865;671516,400
3;625576,708;429357,190;589597,824;663125,896
4;607812,278;428863,432;573141,752;663125,896
5;602229,865;427427,624;567531,969;661580,088
6;584947,955;427427,624;552307,096;630423,271
7;566168,449;427427,624;534445,097;630423,271
8;563209,542;411762,299;531328,503;630423,271
9;547346,389;386454,527;516478,388;581431,902
10;524362,454;386454,527;493633,659;577255,811
11;522590,108;386454,527;491997,146;577255,811
12;519141,288;386454,527;488665,369;577255,811
13;517586,900;367210,849;486741,002;577255,811
14;515340,648;367046,445;484633,189;577255,811
15;514569,343;367046,445;483938,561;577255,811
16;514569,343;367046,445;483938,561;577255,811
17;512509,787;343831,913;481374,666;577255,811
18;506410,633;343831,913;475820,188;577255,811
19;505666,474;343831,913;475091,327;577255,811
20;504147,396;343831,913;473670,921;577016,694
21;496772,370;313516,629;466087,780;577016,694
22;494951,323;313516,629;464407,732;577016,694
23;486347,369;313516,629;456346,937;577016,694
24;480529,485;313516,629;450555,465;577016,694
25;474701,143;313516,629;444780,676;577016,694
26;466076,497;313516,629;436705,039;577016,694
27;455638,409;313516,629;427115,782;577016,694
28;455608,019;313516,629;427086,866;577016,694
29;452124,334;313516,629;423460,993;577016,694
30;452021,491;313516,629;423363,756;577016,694
31;452021,491;313516,629;423363,756;577016,694
32;450336,765;313516,629;421565,020;577016,694
33;449717,589;313516,629;420967,921;577016,694
34;449449,336;313516,629;420727,735;577016,694
35;449402,869;313516,629;420683,526;577016,694
36;449402,869;313516,629;420683,526;577016,694
37;449134,554;313516,629;420448,137;576448,228
38;433600,266;313516,629;408407,323;463722,694
39;429200,202;312403,293;404180,535;463722,694
40;429038,688;312403,293;404032,857;463722,694
41;429038,688;312403,293;404032,857;463722,694
42;428894,122;312403,293;403909,836;463722,694
43;426510,142;282203,094;400840,363;463722,694
44;426373,341;282203,094;400710,378;463722,694
45;425087,360;282203,094;399568,403;463722,694
46;425087,360;282203,094;399568,403;463722,694
47;425061,011;282203,094;399544,490;463722,694
48;424472,566;274115,762;398735,757;463722,694
49;424323,492;274115,762;398609,906;463722,694
50;424136,385;274115,762;398451,513;463722,694
51;423518,394;274115,762;397940,354;458611,103
52;423320,261;274115,762;397775,421;456961,775
53;419422,952;274115,762;394355,701;456961,775
54;419422,952;274115,762;394355,701;456961,775
55;418375,050;274115,762;393398,023;456961,775
56;417305,600;274115,762;392495,303;456539,583
57;417305,600;274115,762;392495,303;456539,583
58;417305,600;274115,762;392495,303;456539,583
59;416755,448;274115,762;391964,812;456539,583
60;416755,448;274115,762;391964,812;456539,583
61;415971,708;274115,762;391316,922;450060,682
62;413509,252;274115,762;389217,077;440659,154
63;413037,065;274115,762;388701,511;440659,154
64;406599,917;274115,762;382592,104;440659,154
65;406588,378;274115,762;382579,595;440659,154
66;406170,377;274115,762;382200,790;440659,154
67;403791,864;274115,762;380103,219;440659,154
68;400894,445;274115,762;377556,244;440659,154
69;399508,475;274115,762;376033,665;440659,154
70;399468,967;274115,762;375993,868;440659,154
71;399468,967;274115,762;375993,868;440659,154
72;396396,448;274115,762;373240,488;440659,154
73;396147,505;273657,470;373004,226;440659,154
74;396128,182;273405,622;372979,041;440659,154
75;396056,964;272475,450;372886,024;440659,154
76;396009,705;272475,450;372843,836;440659,154
77;395547,639;272475,450;372337,399;440659,154
78;395547,639;272475,450;372337,399;440659,154
79;394859,782;272475,450;371721,256;440659,154
80;394512,619;272475,450;371411,262;440659,154
81;394512,619;272475,450;371411,262;440659,154
82;386753,807;272475,450;363589,902;440659,154
83;386603,366;272475,450;363440,134;440659,154
84;386603,366;272475,450;363440,134;440659,154
85;385844,882;272475,450;362675,947;440659,154
86;385766,735;272475,450;362608,066;440659,154
87;385766,735;272475,450;362608,066;440659,154
88;383897,580;272475,450;360965,053;440659,154
89;383793,048;272475,450;360874,535;440659,154
90;383514,653;272119,628;360595,813;440659,154
91;383514,653;272119,628;360595,813;440659,154
92;380501,450;272119,628;357880,441;440659,154
93;380172,778;272119,628;357593,741;440659,154
94;380172,778;272119,628;357593,741;440659,154
95;379913,397;272119,628;357353,130;440659,154
96;379913,397;272119,628;357353,130;440659,154
97;379344,122;272119,628;356799,820;440659,154
98;378852,838;272119,628;356345,016;440659,154
99;378824,798;272119,628;356321,017;440659,154
100;378793,823;272119,628;356297,046;440419,441
