gen;std;min;avg;max
0;20523,469;15097,400;19152,210;28075,100
1;20027,528;15097,400;18736,670;26340,200
2;20033,395;13465,400;18688,800;26727,300
3;20172,591;13465,400;18829,950;26727,300
4;19861,153;13465,400;18325,700;29677,900
5;19941,510;13465,400;18400,900;29663,400
6;20737,115;13949,000;19234,200;29663,400
7;20579,304;13949,000;19066,680;29663,400
8;19286,904;13949,000;18111,210;22224,100
9;19171,929;13949,000;17983,940;22467,100
10;19306,302;13949,000;17989,450;24330,400
11;19325,375;13949,000;18008,150;24330,400
12;19707,131;13949,000;18392,340;24330,400
13;19066,535;13949,000;17799,230;24330,400
14;19207,576;13949,000;17931,290;24330,400
15;19002,060;13949,000;17739,980;24330,400
16;18673,869;13122,300;17365,170;24330,400
17;18569,475;13122,300;17277,180;24330,200
18;18550,740;13122,300;17254,650;24330,200
19;18033,038;13122,300;16813,740;24330,200
20;18200,973;13122,300;16949,710;24330,200
21;18195,851;13122,300;16944,130;24330,200
22;18372,787;13122,300;17133,220;24330,200
23;18291,632;12889,500;17045,070;24330,200
24;18474,926;12889,500;17202,900;24330,200
25;18534,615;12889,500;17259,260;24330,200
26;18529,624;12889,500;17254,090;24330,200
27;18741,745;12889,500;17441,250;24330,200
28;18756,047;12889,500;17457,370;24330,200
29;18748,914;12889,500;17449,350;24330,200
30;18748,914;12889,500;17449,350;24330,200
31;18748,914;12889,500;17449,350;24330,200
32;18748,914;12889,500;17449,350;24330,200
33;18633,551;12889,500;17349,050;24330,200
34;18633,551;12889,500;17349,050;24330,200
35;18481,499;12889,500;17230,750;23338,000
36;17856,392;12889,500;16661,650;23338,000
37;17856,392;12889,500;16661,650;23338,000
38;17750,074;10912,200;16504,030;23338,000
39;17360,082;10912,200;16226,420;20468,900
40;17383,107;10912,200;16245,520;20468,900
41;17646,157;10912,200;16456,450;20468,900
42;17953,057;10912,200;16698,790;21499,000
43;17849,705;10912,200;16588,070;21499,000
44;17458,904;10912,200;16290,360;20468,900
45;17487,348;10912,200;16343,710;20468,900
46;17329,581;10912,200;16219,160;19758,200
47;17253,157;10912,200;16149,670;19758,200
48;17312,851;10912,200;16197,080;19821,800
49;17022,670;10912,200;15954,870;19821,800
50;16745,002;10912,200;15718,650;19821,800
51;16749,257;10912,200;15723,090;19821,800
52;16749,257;10912,200;15723,090;19821,800
53;16569,070;10912,200;15562,430;19821,800
54;16015,362;10912,200;15000,710;19821,800
55;16030,883;10912,200;15016,090;19821,800
56;16030,235;10912,200;15015,450;19821,800
57;15936,769;10912,200;14933,580;19821,800
58;16292,483;10912,200;15260,260;19821,800
59;16292,483;10912,200;15260,260;19821,800
60;16292,483;10912,200;15260,260;19821,800
61;16090,319;10912,200;15060,410;19821,800
62;16090,319;10912,200;15060,410;19821,800
63;16090,319;10912,200;15060,410;19821,800
64;16081,236;10912,200;15051,210;19821,800
65;15973,246;10912,200;14958,970;19821,800
66;15628,247;10912,200;14693,710;17169,200
67;15152,290;10912,200;14259,820;16508,600
68;15135,919;10912,200;14243,520;16508,600
69;15135,919;10912,200;14243,520;16508,600
70;15135,919;10912,200;14243,520;16508,600
71;15131,506;10912,200;14239,540;16508,600
72;15111,922;10912,200;14217,990;16510,500
73;15100,346;10912,200;14208,430;16426,300
74;15100,346;10912,200;14208,430;16426,300
75;15179,912;10912,200;14273,200;17062,600
76;14943,811;10912,200;14015,630;17062,600
77;14928,395;10912,200;14002,690;17062,600
78;15102,241;10912,200;14191,680;17062,600
79;15102,241;10912,200;14191,680;17062,600
80;15102,241;10912,200;14191,680;17062,600
81;15085,731;10912,200;14175,600;17062,600
82;15085,731;10912,200;14175,600;17062,600
83;15079,745;10912,200;14170,490;17062,600
84;15171,685;10912,200;14259,660;17062,600
85;15171,685;10912,200;14259,660;17062,600
86;15171,685;10912,200;14259,660;17062,600
87;15171,685;10912,200;14259,660;17062,600
88;15116,164;10912,200;14211,980;17062,600
89;15116,164;10912,200;14211,980;17062,600
90;15203,249;10912,200;14298,040;17062,600
91;15203,249;10912,200;14298,040;17062,600
92;15203,249;10912,200;14298,040;17062,600
93;15203,771;10912,200;14297,940;17062,600
94;15203,771;10912,200;14297,940;17062,600
95;15464,395;10912,200;14516,050;17354,100
96;15464,395;10912,200;14516,050;17354,100
97;15461,156;10912,200;14512,730;17354,100
98;15445,808;10714,800;14492,990;17354,100
99;15445,808;10714,800;14492,990;17354,100
100;15445,808;10714,800;14492,990;17354,100
