gen;std;min;avg;max
0;12779,397;9052,100;11895,500;16758,700
1;12389,709;9017,700;11541,670;16758,700
2;12065,817;9017,700;11233,080;16758,700
3;12065,817;9017,700;11233,080;16758,700
4;11236,291;8215,500;10515,180;13667,800
5;11235,275;8215,500;10514,210;13667,800
6;11204,638;8187,300;10488,330;13506,400
7;11137,057;8187,300;10436,970;13506,400
8;10913,999;8187,300;10252,990;13506,400
9;10799,586;8187,300;10136,200;13506,400
10;10763,456;8187,300;10096,410;13506,400
11;10745,054;8187,300;10079,930;13506,400
12;10583,554;8187,300;9931,680;13506,400
13;10152,643;8187,300;9580,370;10860,800
14;9884,009;6657,800;9294,410;10860,800
15;9884,009;6657,800;9294,410;10860,800
16;9840,497;6393,300;9248,110;10736,200
17;9840,497;6393,300;9248,110;10736,200
18;9739,809;6393,300;9145,670;10736,200
19;9541,244;6393,300;8969,540;10736,200
20;9531,304;6393,300;8959,580;10736,200
21;9525,799;6393,300;8954,280;10736,200
22;9483,678;6393,300;8915,960;10736,200
23;9341,162;6393,300;8781,310;10736,200
24;9327,144;6393,300;8766,830;10736,200
25;9323,208;6393,300;8762,680;10736,200
26;9318,328;6393,300;8758,780;10736,200
27;9318,328;6393,300;8758,780;10736,200
28;9314,448;6393,300;8755,230;10736,200
29;9169,180;6393,300;8602,160;10736,200
30;9147,499;6393,300;8577,430;10736,200
31;9146,569;6393,300;8576,550;10736,200
32;9143,746;6393,300;8573,540;10736,200
33;9123,133;6393,300;8557,240;10736,200
34;9123,133;6393,300;8557,240;10736,200
35;9059,958;6393,300;8497,300;10736,200
36;8999,865;6393,300;8433,200;10736,200
37;8991,485;6393,300;8426,050;10736,200
38;8976,985;6393,300;8410,680;10736,200
39;8852,949;6393,300;8304,360;10736,200
40;8852,949;6393,300;8304,360;10736,200
41;8761,391;6393,300;8217,390;10736,200
42;8703,466;6393,300;8163,070;10736,200
43;8703,466;6393,300;8163,070;10736,200
44;8694,663;6393,300;8156,470;10684,300
45;8685,458;6393,300;8146,610;10684,300
46;8669,440;6393,300;8130,090;10684,300
47;8669,086;6393,300;8129,740;10684,300
48;8555,030;6393,300;8043,520;9822,100
49;8547,228;6393,300;8036,390;9822,100
50;8465,214;6393,300;7961,370;9822,100
51;8465,214;6393,300;7961,370;9822,100
52;8453,746;6393,300;7951,250;9822,100
53;8352,123;6393,300;7854,940;9822,100
54;8352,123;6393,300;7854,940;9822,100
55;8352,123;6393,300;7854,940;9822,100
56;8332,804;6393,300;7840,060;9673,300
57;8332,804;6393,300;7840,060;9673,300
58;8331,945;6393,300;7839,200;9673,300
59;8324,894;6393,300;7832,110;9673,300
60;8273,666;6393,300;7781,180;9673,300
61;8270,191;6352,700;7777,120;9673,300
62;8177,670;6327,500;7676,520;9673,300
63;8177,670;6327,500;7676,520;9673,300
64;8136,422;6327,500;7636,240;9673,300
65;8136,422;6327,500;7636,240;9673,300
66;8135,622;6327,500;7635,450;9673,300
67;8133,149;6327,500;7633,150;9673,300
68;8096,469;5924,700;7589,540;9673,300
69;8096,469;5924,700;7589,540;9673,300
70;8096,469;5924,700;7589,540;9673,300
71;8095,175;5924,700;7588,340;9673,300
72;8092,607;5924,700;7585,540;9673,300
73;8078,064;5924,700;7570,930;9673,300
74;8078,064;5924,700;7570,930;9673,300
75;8078,064;5924,700;7570,930;9673,300
76;8078,064;5924,700;7570,930;9673,300
77;8077,891;5924,700;7570,770;9673,300
78;8077,891;5924,700;7570,770;9673,300
79;8077,891;5924,700;7570,770;9673,300
80;8077,891;5924,700;7570,770;9673,300
81;8077,891;5924,700;7570,770;9673,300
82;8077,891;5924,700;7570,770;9673,300
83;7897,277;5924,700;7425,660;9377,900
84;7897,277;5924,700;7425,660;9377,900
85;7897,277;5924,700;7425,660;9377,900
86;7897,277;5924,700;7425,660;9377,900
87;7875,132;5924,700;7402,490;9377,900
88;7875,132;5924,700;7402,490;9377,900
89;7875,132;5924,700;7402,490;9377,900
90;7875,132;5924,700;7402,490;9377,900
91;7859,190;5924,700;7386,570;9377,900
92;7821,740;5924,700;7350,010;9377,900
93;7821,740;5924,700;7350,010;9377,900
94;7764,288;5924,700;7304,170;9134,300
95;7764,288;5924,700;7304,170;9134,300
96;7764,288;5924,700;7304,170;9134,300
97;7760,125;5924,700;7300,030;9134,300
98;7760,125;5924,700;7300,030;9134,300
99;7760,125;5924,700;7300,030;9134,300
100;7755,164;5924,700;7296,230;9096,300
