gen;std;min;avg;max
0;468626,089;364067,876;439276,237;565525,807
1;466999,364;364067,876;438047,585;552334,305
2;461693,465;364067,876;432275,946;576734,529
3;460968,067;364067,876;431504,314;576734,529
4;447853,050;307268,598;417367,853;576734,529
5;442088,584;307268,598;412872,090;576734,529
6;427829,935;307268,598;397409,191;576734,529
7;427369,554;307268,598;396877,774;576734,529
8;404714,098;306052,239;376113,143;535139,672
9;384800,518;306052,239;360315,526;496689,080
10;381498,282;306052,239;357184,872;496689,080
11;377841,704;300955,144;353320,963;496689,080
12;370283,466;300955,144;347457,548;466946,024
13;369595,244;301237,313;346897,178;463308,271
14;344990,957;286125,757;326553,671;350807,884
15;343935,508;286125,757;325592,670;350807,884
16;340218,736;286125,757;322198,082;350807,884
17;340063,214;284721,114;322034,552;350807,884
18;339741,109;284721,114;321736,483;350807,884
19;339741,109;284721,114;321736,483;350807,884
20;339284,501;279777,911;321242,163;350807,884
21;339164,945;279777,911;321123,004;350807,884
22;339337,870;279777,911;321281,924;350807,884
23;339343,646;279777,911;321287,180;350807,884
24;339343,646;279777,911;321287,180;350807,884
25;339343,646;279777,911;321287,180;350807,884
26;339338,065;279925,549;321284,554;350807,884
27;338850,724;279777,911;320807,238;350807,884
28;343003,663;300545,535;325041,398;350807,884
29;342703,948;300545,535;324746,312;350807,884
30;339707,811;270764,487;321512,702;350807,884
31;340090,917;270764,487;321944,149;350807,884
32;340861,114;270764,487;322657,661;350807,884
33;345255,642;270764,487;326658,926;359098,852
34;345255,642;270764,487;326658,926;359098,852
35;345255,642;270764,487;326658,926;359098,852
36;339278,822;263373,205;320390,676;359098,852
37;339278,822;263373,205;320390,676;359098,852
38;338820,881;258012,940;319854,649;359098,852
39;337401,494;258012,940;318436,195;359098,852
40;337401,494;258012,940;318436,195;359098,852
41;336570,831;258012,940;317503,830;358741,678
42;336410,491;258012,940;317357,679;358741,678
43;334344,044;258012,940;315416,801;358741,678
44;332454,366;259142,682;313747,814;358741,678
45;327684,091;259142,682;309059,230;358741,678
46;327666,307;259142,682;309040,413;358741,678
47;327656,377;259142,682;309031,578;358741,678
48;327743,319;259142,682;309108,857;358741,678
49;327743,319;259142,682;309108,857;358741,678
50;327743,319;259142,682;309108,857;358741,678
51;327494,463;259142,682;308860,639;358741,678
52;326581,838;257094,724;308001,216;358741,678
53;326581,838;257094,724;308001,216;358741,678
54;326581,838;257094,724;308001,216;358741,678
55;326585,195;257094,724;308004,567;358741,678
56;326496,888;257094,724;307923,027;358741,678
57;326496,888;257094,724;307923,027;358741,678
58;326496,888;257094,724;307923,027;358741,678
59;324647,866;257094,724;305905,321;358741,678
60;324622,775;257094,724;305883,280;358741,678
61;324601,462;256408,246;305858,703;358741,678
62;324601,462;256408,246;305858,703;358741,678
63;324601,462;256408,246;305858,703;358741,678
64;324445,811;254629,072;305680,786;358741,678
65;324172,823;254629,072;305446,307;358741,678
66;323705,677;254629,072;304920,087;358741,678
67;322729,375;247657,082;303798,719;358741,678
68;322658,527;247657,082;303732,817;358741,678
69;322690,465;247657,082;303762,541;358741,678
70;322523,476;245691,549;303565,987;358741,678
71;322481,822;245691,549;303517,937;358741,678
72;322986,180;245691,549;304088,037;358741,678
73;322975,896;245691,549;304076,528;358741,678
74;323333,451;245691,549;304467,556;358741,678
75;322752,274;245691,549;303885,454;358741,678
76;322468,575;245691,549;303604,438;358741,678
77;322468,575;245691,549;303604,438;358741,678
78;324695,181;245691,549;305617,397;358741,678
79;324695,181;245691,549;305617,397;358741,678
80;325090,705;244279,017;305925,063;358741,678
81;325087,364;244279,017;305921,712;358741,678
82;325087,364;244279,017;305921,712;358741,678
83;325087,364;244279,017;305921,712;358741,678
84;325392,344;244279,017;306185,861;358741,678
85;325392,344;244279,017;306185,861;358741,678
86;325480,152;244279,017;306269,778;358741,678
87;325575,991;244279,017;306350,387;358741,678
88;325911,240;244279,017;306638,595;358741,678
89;321469,575;244279,017;302839,868;348735,280
90;321359,235;244279,017;302748,221;347818,816
91;321361,398;244279,017;302751,503;347818,816
92;321361,398;244279,017;302751,503;347818,816
93;321131,017;244279,017;302547,729;347818,816
94;318075,651;244279,017;299487,773;348735,280
95;318069,166;244279,017;299481,377;348735,280
96;317886,966;244279,017;299286,380;348735,280
97;317886,966;244279,017;299286,380;348735,280
98;318013,718;244279,017;299390,862;348735,280
99;318080,885;244279,017;299456,983;348735,280
100;318072,231;244177,588;299446,840;348735,280
