gen;std;min;avg;max
0;7526,225;5784,700;7081,600;8552,700
1;7405,815;5784,700;6964,470;8534,900
2;7125,729;4543,500;6675,600;8534,900
3;6956,205;4543,500;6491,810;8534,900
4;6760,450;4543,500;6324,230;7861,400
5;6708,635;4455,700;6260,230;7861,400
6;6550,832;4455,700;6119,740;7551,100
7;6424,497;4455,700;5988,680;7551,100
8;6400,169;4455,700;5967,560;7551,100
9;6377,310;4455,700;5948,840;7551,100
10;6230,019;4422,100;5827,590;7512,800
11;6230,019;4422,100;5827,590;7512,800
12;6220,877;4422,100;5819,420;7508,200
13;6032,468;4306,500;5651,470;7508,200
14;6032,468;4306,500;5651,470;7508,200
15;5976,405;4306,500;5598,480;7508,200
16;5943,589;4004,300;5556,700;7508,200
17;5904,920;4004,300;5519,820;7508,200
18;5804,697;3775,700;5432,490;7092,200
19;5777,717;3775,700;5409,190;7006,900
20;5766,090;3775,700;5398,700;7006,900
21;5612,269;3775,700;5275,550;6068,600
22;5425,628;3775,700;5105,280;6068,600
23;5403,754;3761,600;5086,630;5998,800
24;5295,276;3761,600;4982,730;5998,800
25;5274,770;3761,600;4963,650;5958,900
26;5257,104;3761,600;4946,880;5958,900
27;5241,467;3736,100;4930,950;5958,900
28;5140,704;3736,100;4831,990;5958,900
29;5106,559;3736,100;4801,250;5924,600
30;5106,559;3736,100;4801,250;5924,600
31;5080,790;3736,100;4778,980;5924,600
32;5051,586;3663,400;4752,030;5871,600
33;4989,700;3663,400;4700,010;5552,600
34;4902,514;3558,400;4621,030;5552,600
35;4823,752;3558,400;4555,020;5143,800
36;4811,445;3558,400;4542,070;5143,800
37;4771,427;3558,400;4503,030;5143,800
38;4669,725;3558,400;4408,190;5143,800
39;4653,927;3558,400;4394,420;5143,800
40;4646,589;3558,400;4387,770;5143,800
41;4646,589;3558,400;4387,770;5143,800
42;4636,174;3558,400;4377,930;5143,800
43;4613,963;3558,400;4359,630;4960,800
44;4607,069;3558,400;4353,830;4902,800
45;4573,756;3558,400;4322,930;4902,800
46;4573,756;3558,400;4322,930;4902,800
47;4573,756;3558,400;4322,930;4902,800
48;4571,183;3558,400;4320,620;4902,800
49;4555,312;3558,400;4307,140;4768,000
50;4555,312;3558,400;4307,140;4768,000
51;4538,920;3558,400;4292,320;4768,000
52;4534,184;3558,400;4287,900;4768,000
53;4534,184;3558,400;4287,900;4768,000
54;4534,184;3558,400;4287,900;4768,000
55;4522,817;3558,400;4277,280;4745,700
56;4516,778;3558,400;4271,700;4730,400
57;4488,855;3558,400;4246,580;4730,400
58;4467,411;3558,400;4226,930;4730,400
59;4467,411;3558,400;4226,930;4730,400
60;4460,905;3558,400;4220,810;4730,400
61;4460,905;3558,400;4220,810;4730,400
62;4460,905;3558,400;4220,810;4730,400
63;4460,905;3558,400;4220,810;4730,400
64;4456,899;3558,400;4217,100;4730,400
65;4441,327;3558,400;4202,130;4730,400
66;4396,553;3558,400;4160,520;4730,400
67;4360,287;3558,400;4129,050;4454,900
68;4360,287;3558,400;4129,050;4454,900
69;4359,246;3546,900;4127,900;4454,900
70;4359,246;3546,900;4127,900;4454,900
71;4359,246;3546,900;4127,900;4454,900
72;4351,857;3546,900;4121,350;4439,900
73;4332,582;3546,900;4102,970;4439,900
74;4303,809;3546,900;4077,050;4384,600
75;4303,809;3546,900;4077,050;4384,600
76;4303,809;3546,900;4077,050;4384,600
77;4297,411;3546,900;4070,710;4384,600
78;4287,821;3546,900;4061,790;4384,600
79;4282,855;3546,900;4056,970;4384,600
80;4275,371;3546,900;4049,860;4384,600
81;4271,556;3546,900;4046,420;4384,600
82;4266,503;3546,900;4041,970;4340,100
83;4246,907;3546,900;4023,090;4340,100
84;4233,169;3546,900;4010,270;4340,100
85;4220,837;3546,900;3999,080;4340,100
86;4214,543;3546,900;3993,540;4284,700
87;4204,011;3546,900;3983,780;4284,700
88;4193,107;3546,900;3973,340;4284,700
89;4193,107;3546,900;3973,340;4284,700
90;4182,756;3546,900;3963,390;4284,700
91;4182,756;3546,900;3963,390;4284,700
92;4182,756;3546,900;3963,390;4284,700
93;4181,390;3546,900;3962,060;4284,700
94;4164,423;3546,900;3946,100;4284,700
95;4163,478;3546,900;3945,190;4284,700
96;4161,068;3546,900;3942,850;4284,700
97;4159,094;3546,900;3940,910;4284,700
98;4144,612;3546,900;3928,080;4157,500
99;4144,612;3546,900;3928,080;4157,500
100;4140,687;3505,400;3923,930;4157,500
