gen;std;min;avg;max
0;171274,862;144713,489;162078,654;177114,195
1;168762,326;143071,802;159656,171;177114,195
2;168695,088;143071,802;159591,835;177114,195
3;167687,204;143071,802;158691,037;177114,195
4;167322,673;143071,802;158334,215;177114,195
5;168774,398;142103,061;159676,587;177114,195
6;170980,242;142103,061;161780,818;180531,518
7;170967,786;142103,061;161782,715;180473,350
8;172774,834;142103,061;163044,343;198296,355
9;171563,083;142103,061;161922,691;198296,355
10;171562,656;142103,061;161923,975;198296,355
11;172221,633;142103,061;162652,469;197084,590
12;172530,623;142103,061;162860,016;202285,181
13;173063,680;142103,061;163355,423;202289,801
14;172873,754;142823,871;163168,262;200870,835
15;172594,803;144661,482;163118,706;194878,863
16;172873,974;144661,482;163403,178;194878,863
17;174417,781;144661,482;164945,357;195186,591
18;172395,021;144661,482;162926,865;194773,906
19;172572,028;144661,482;163091,380;195858,243
20;171420,845;144661,482;162002,244;196876,952
21;171399,659;144584,956;161996,329;195792,615
22;173898,664;144584,956;164303,542;195792,615
23;173858,515;144584,956;164265,315;196187,534
24;173429,724;144584,956;163839,790;196187,534
25;173090,796;144584,956;163600,474;196187,534
26;172926,699;144661,482;163397,403;197271,871
27;173069,437;144661,482;163565,403;197271,871
28;173148,274;144661,482;163641,239;197271,871
29;171806,285;144661,482;162503,390;188739,448
30;168591,636;135508,686;159185,144;188739,448
31;167398,419;120679,460;157761,165;188739,448
32;167595,311;120679,460;157930,073;188969,652
33;164501,093;120679,460;155138,355;188969,652
34;164660,139;118097,044;155289,094;186880,488
35;165293,420;121492,958;155971,004;180336,016
36;165122,719;121405,379;155821,028;180336,016
37;165437,670;121405,379;156163,048;179189,478
38;166428,134;121405,379;157099,072;179189,478
39;165683,105;121405,379;156392,305;179189,478
40;165119,245;121405,379;155899,968;179007,216
41;164181,269;121405,379;155047,129;179007,216
42;164546,998;121405,379;155401,051;179007,216
43;163818,598;121405,379;154687,240;179007,216
44;163706,008;121405,379;154586,919;179007,216
45;162336,959;121405,379;153312,968;179007,216
46;161839,898;121405,379;152808,348;179007,216
47;160940,570;121405,379;151909,922;179007,216
48;160854,003;121405,379;151833,307;178889,924
49;160873,102;120206,402;151859,924;177715,816
50;160779,245;120206,402;151765,601;177715,816
51;160367,209;120206,402;151399,588;177833,108
52;160306,861;120206,402;151345,511;177833,108
53;159911,362;120206,402;150989,571;177833,108
54;158713,837;120206,402;149906,799;175960,000
55;158846,624;120206,402;150029,199;175960,000
56;158710,100;120206,402;149901,640;175960,000
57;158867,377;120206,402;150044,700;175960,000
58;158657,430;123223,038;149908,478;175960,000
59;159256,254;130153,970;150596,113;176077,292
60;159195,100;130153,970;150531,939;176645,685
61;159596,814;133202,924;150948,364;176645,685
62;159321,630;131306,302;150665,819;176645,685
63;160009,346;131306,302;151297,696;176645,685
64;159871,245;131306,302;151167,033;176645,685
65;160009,416;131306,302;151310,119;176645,685
66;159892,890;131306,302;151199,326;176645,685
67;159797,257;131741,045;151121,676;176645,685
68;159923,317;131741,045;151238,787;176528,393
69;159923,317;131741,045;151238,787;176528,393
70;159765,967;130146,341;151044,410;176528,393
71;159743,850;129374,124;151009,349;176528,393
72;159746,451;129374,124;151011,651;176528,393
73;159668,074;129374,124;150933,070;176645,685
74;159974,794;129374,124;151224,985;176645,685
75;159956,605;129374,124;151206,166;176645,685
76;160141,544;129363,372;151399,038;176645,685
77;159927,475;129213,239;151177,952;176645,685
78;160220,698;132229,875;151497,443;176645,685
79;158816,397;131795,132;150156,911;176645,685
80;158774,278;131795,132;150128,844;176077,292
81;158228,214;131447,335;149621,740;176077,292
82;158311,597;131882,078;149707,333;176077,292
83;158379,975;131882,078;149735,290;178166,456
84;158589,590;131882,078;149943,569;178166,456
85;158646,230;131882,078;150001,517;178166,456
86;158501,233;131882,078;149865,872;178049,164
87;158244,733;131882,078;149596,607;178049,164
88;158250,422;131882,078;149668,769;175346,204
89;157666,955;129985,456;149077,296;175463,496
90;155369,489;129985,456;146962,375;175463,496
91;154813,422;129985,456;146491,540;171840,284
92;154871,465;129985,456;146546,401;171840,284
93;154741,028;129985,456;146424,807;171840,284
94;154763,992;129985,456;146448,900;171840,284
95;153827,530;128638,503;145535,461;171840,284
96;153978,688;128638,503;145694,820;171840,284
97;153873,356;128433,660;145590,985;171840,284
98;153835,502;128527,731;145558,481;171840,284
99;153505,718;128092,988;145246,936;170920,964
100;154197,808;128527,731;145842,416;170920,964
