gen;std;min;avg;max
0;170626,360;136043,779;160915,010;192012,656
1;169440,893;135542,374;159802,802;192012,656
2;167088,301;135542,374;157706,875;184957,144
3;164767,818;135542,374;155571,213;175605,006
4;165758,690;137714,917;156613,051;175605,006
5;165801,392;139567,558;156737,243;175605,006
6;165844,490;133934,703;156684,824;174704,865
7;165457,097;133934,703;156347,135;174748,215
8;163809,361;133415,267;154658,133;175019,903
9;163183,691;133415,267;154125,973;170185,336
10;163227,712;132438,388;154137,667;172038,963
11;162391,108;128983,222;153279,247;170046,991
12;164100,955;129399,346;155081,845;170065,569
13;163277,098;129399,346;154312,976;170065,569
14;163301,512;129399,346;154334,041;170065,569
15;166132,604;129404,343;156908,038;175873,543
16;165495,796;123174,475;156182,985;175873,543
17;165016,320;123174,475;155738,789;175873,543
18;164257,115;123135,368;155043,566;175343,639
19;164889,411;123210,485;155568,828;176464,874
20;163181,141;123210,485;153859,859;176464,874
21;162869,388;127361,249;153636,212;176347,401
22;162545,325;127361,249;153330,003;176347,401
23;164142,917;127335,516;154783,433;176347,401
24;163920,998;127335,516;154572,966;177761,039
25;165047,765;127335,516;155695,979;176179,263
26;165222,103;126511,868;155833,019;175721,334
27;164589,316;126511,868;155260,391;173057,153
28;165574,529;126511,868;156059,700;175114,362
29;164633,958;126511,868;155194,634;174013,366
30;163597,292;126511,868;154271,031;172183,842
31;162799,002;126511,868;153527,363;174013,366
32;163284,619;126511,868;154058,681;174013,366
33;162790,600;126511,868;153606,503;173688,170
34;162283,008;126511,868;153139,968;173688,170
35;163650,492;130321,579;154478,314;173688,170
36;163407,094;130321,579;154281,641;172336,631
37;164078,370;130295,846;154855,792;175176,656
38;164386,062;130295,846;155119,255;175479,899
39;164183,897;130295,846;154934,309;175176,656
40;165560,750;130295,846;156012,141;187796,797
41;167022,616;132909,353;157544,604;187009,133
42;166827,517;132909,353;157321,883;187009,133
43;166624,846;132666,827;157141,364;187009,133
44;166328,419;130910,193;156832,779;187009,133
45;163836,669;130910,193;154451,059;187796,797
46;163498,799;130910,193;154136,243;187009,133
47;161594,056;125236,576;152100,894;187404,504
48;160966,920;125236,576;151534,515;184739,568
49;159943,629;125236,576;150642,454;184344,197
50;159757,335;126340,623;150500,683;184344,197
51;159218,953;126340,623;149915,941;184739,568
52;159282,253;126637,559;149980,176;184739,568
53;159019,645;126420,365;149749,863;184739,568
54;157339,492;118453,483;148111,868;177868,790
55;157303,361;118617,798;148072,370;177868,790
56;157229,167;117526,995;147959,073;177868,790
57;156852,731;117526,995;147627,560;177868,790
58;157344,333;117526,995;147948,752;184568,103
59;157760,150;117526,995;148211,037;184568,103
60;157974,240;117526,995;148389,998;185302,596
61;156805,765;117469,400;147517,685;173968,929
62;156805,765;117469,400;147517,685;173968,929
63;155785,018;117469,400;146651,565;167760,310
64;155925,696;117469,400;146807,036;167760,310
65;156086,680;117469,400;146946,758;167760,310
66;156160,370;117469,400;147035,240;167505,869
67;156020,239;117469,400;146919,934;167467,864
68;155982,474;117469,400;146885,393;167467,864
69;156158,829;117466,193;147032,591;168926,587
70;155523,587;117466,193;146358,612;168926,587
71;155063,554;117466,193;145854,432;168926,587
72;154898,948;117466,193;145684,499;168926,587
73;154706,118;117466,193;145525,823;167011,200
74;154090,044;117466,193;145050,216;166675,776
75;154096,467;117523,788;145059,731;166675,776
76;154105,685;117523,788;145067,400;166752,462
77;154212,707;118241,809;145182,125;166752,462
78;154170,975;118241,809;145145,395;166752,462
79;154127,637;118241,809;145107,994;166752,462
80;154337,289;118241,809;145307,202;166752,462
81;154100,938;118241,809;145056,258;166752,462
82;154298,915;118241,809;145272,661;166752,462
83;154176,018;118241,809;145166,653;166752,462
84;154176,018;118241,809;145166,653;166752,462
85;153991,861;118241,809;145011,698;166752,462
86;154119,451;118241,809;145131,009;166752,462
87;153620,420;118241,809;144635,879;166752,462
88;155651,249;116002,064;146631,620;166139,338
89;155616,498;116003,218;146600,851;166139,338
90;155693,211;116003,218;146672,769;166139,338
91;155693,211;116003,218;146672,769;166139,338
92;155691,289;116003,218;146670,988;166139,338
93;155719,985;116003,218;146697,342;166139,338
94;155578,496;115805,358;146571,239;166139,338
95;155098,148;115805,358;146162,360;164132,336
96;154844,798;115805,358;145931,227;164132,336
97;153712,575;115805,358;144918,290;164132,336
98;153586,049;115805,358;144811,154;164132,336
99;151476,685;114981,877;142760,700;164132,336
100;151040,767;114981,877;142276,231;164132,336
