gen;std;min;avg;max
0;9290,994;5622,800;8387,580;15517,100
1;7820,075;5622,800;7280,080;10062,000
2;7774,560;5622,800;7241,750;9834,100
3;7570,311;5566,900;7075,220;9246,200
4;7474,620;4894,200;6958,560;9246,200
5;7443,767;4734,800;6928,410;9104,100
6;7430,203;4734,800;6915,990;9104,100
7;7286,968;4734,800;6774,290;8951,000
8;7116,023;4501,800;6610,810;8951,000
9;6993,466;4501,800;6500,230;8951,000
10;6829,542;4501,800;6355,150;8580,800
11;6779,295;4501,800;6307,390;8580,800
12;6732,543;4501,800;6251,860;8580,800
13;6732,157;4501,800;6251,440;8580,800
14;6704,485;4501,800;6231,490;8580,800
15;6696,286;4390,600;6220,370;8580,800
16;6689,169;4390,600;6211,460;8580,800
17;6405,888;4390,600;5976,640;8580,800
18;6268,916;4390,600;5842,140;8580,800
19;6240,565;4390,600;5810,520;8580,800
20;6215,697;4390,600;5784,350;8580,800
21;6184,771;4297,700;5748,980;8580,800
22;6122,945;4297,700;5683,450;8580,800
23;5956,932;4297,700;5548,980;7848,700
24;5932,029;4108,500;5517,740;7848,700
25;5844,456;4026,300;5451,890;7291,500
26;5761,891;4026,300;5380,680;7291,500
27;5709,965;4026,300;5338,840;7061,600
28;5709,965;4026,300;5338,840;7061,600
29;5586,487;3872,500;5228,760;6692,200
30;5455,993;3867,300;5123,440;6387,400
31;5266,207;3867,300;4951,180;6387,400
32;5266,207;3867,300;4951,180;6387,400
33;5266,207;3867,300;4951,180;6387,400
34;5233,783;3867,300;4920,070;6387,400
35;5208,360;3867,300;4895,940;6387,400
36;5182,003;3867,300;4869,020;6387,400
37;5175,133;3867,300;4862,670;6387,400
38;5175,133;3867,300;4862,670;6387,400
39;5159,725;3867,300;4850,960;6284,100
40;5155,032;3867,300;4846,560;6269,800
41;5152,473;3867,300;4843,880;6269,800
42;5143,581;3867,300;4834,450;6269,800
43;5140,844;3867,300;4831,510;6269,800
44;5140,844;3867,300;4831,510;6269,800
45;5140,844;3867,300;4831,510;6269,800
46;5125,513;3867,300;4820,110;6155,800
47;5115,794;3867,300;4809,550;6155,800
48;5062,971;3867,300;4761,810;6155,800
49;5057,909;3867,300;4756,950;6155,800
50;5057,909;3867,300;4756,950;6155,800
51;5047,496;3867,300;4748,050;6120,700
52;5044,702;3867,300;4745,010;6120,700
53;5016,272;3867,300;4720,620;6016,900
54;5016,272;3867,300;4720,620;6016,900
55;5011,643;3812,900;4715,180;6016,900
56;5006,850;3812,900;4710,480;6016,900
57;5006,850;3812,900;4710,480;6016,900
58;5006,850;3812,900;4710,480;6016,900
59;5006,850;3812,900;4710,480;6016,900
60;5006,850;3812,900;4710,480;6016,900
61;5003,365;3771,500;4706,340;6016,900
62;5001,395;3771,500;4704,560;6016,900
63;5001,395;3771,500;4704,560;6016,900
64;4974,019;3771,500;4676,040;6016,900
65;4974,019;3771,500;4676,040;6016,900
66;4971,320;3771,500;4673,070;6016,900
67;4971,320;3771,500;4673,070;6016,900
68;4951,179;3771,500;4653,520;6016,900
69;4918,407;3771,500;4619,940;6016,900
70;4918,210;3771,500;4619,730;6016,900
71;4917,337;3771,500;4618,800;6016,900
72;4875,357;3771,500;4577,670;6016,900
73;4869,772;3771,500;4572,490;6016,900
74;4838,581;3771,500;4547,780;5831,700
75;4824,401;3771,500;4536,370;5831,700
76;4816,813;3771,500;4528,330;5831,700
77;4816,813;3771,500;4528,330;5831,700
78;4797,276;3771,500;4506,980;5831,700
79;4797,276;3771,500;4506,980;5831,700
80;4792,896;3771,500;4502,110;5831,700
81;4771,730;3771,500;4484,780;5738,000
82;4761,614;3771,500;4474,990;5738,000
83;4751,531;3771,500;4465,050;5738,000
84;4742,575;3756,900;4455,000;5738,000
85;4714,571;3756,900;4428,290;5738,000
86;4714,571;3756,900;4428,290;5738,000
87;4710,792;3756,900;4425,490;5710,000
88;4710,792;3756,900;4425,490;5710,000
89;4683,020;3756,900;4397,210;5710,000
90;4679,833;3756,900;4394,290;5710,000
91;4658,432;3756,900;4374,230;5710,000
92;4658,432;3756,900;4374,230;5710,000
93;4658,432;3756,900;4374,230;5710,000
94;4643,914;3752,800;4362,870;5615,100
95;4643,914;3752,800;4362,870;5615,100
96;4643,914;3752,800;4362,870;5615,100
97;4643,914;3752,800;4362,870;5615,100
98;4634,965;3735,200;4353,940;5615,100
99;4632,076;3735,200;4351,790;5593,600
100;4632,076;3735,200;4351,790;5593,600
