gen;std;min;avg;max
0;171186,739;145851,733;161840,253;188392,116
1;166903,939;145002,957;157757,904;188392,116
2;161892,512;144746,108;153087,608;186591,859
3;158307,740;126637,300;149478,185;184639,051
4;155761,074;126637,300;147010,878;184639,051
5;153562,603;126637,300;145090,357;175912,921
6;151795,266;126637,300;143578,308;169626,560
7;148783,645;125337,933;140692,037;169235,288
8;146775,910;125337,933;138734,524;168111,533
9;145387,570;122162,248;137350,400;168111,533
10;141761,724;121803,908;133900,399;168111,533
11;139892,137;113824,741;131990,011;167637,742
12;138386,339;113824,741;130440,568;167637,742
13;137988,964;112922,088;130061,954;167637,742
14;135746,601;112922,088;128306,248;151427,591
15;135435,891;111431,662;128006,469;150698,275
16;132422,792;111431,662;125385,992;135143,276
17;132082,722;111431,662;125048,656;135143,276
18;129455,066;111431,662;122626,783;135143,276
19;126335,376;96985,504;119376,966;135143,276
20;126214,132;96985,504;119258,079;135143,276
21;125731,734;96985,504;118809,283;135143,276
22;125696,701;96985,504;118779,920;134849,654
23;125696,701;96985,504;118779,920;134849,654
24;124549,537;96985,504;117703,436;134849,654
25;123279,332;96985,504;116538,320;134849,654
26;122423,347;96985,504;115722,020;134849,654
27;121816,651;96985,504;115205,047;130483,604
28;121113,950;96985,504;114557,350;128536,133
29;120407,932;96985,504;113932,468;125148,288
30;119770,135;96985,504;113279,621;125148,288
31;119759,011;96985,504;113270,036;125052,441
32;119605,377;96985,504;113116,537;125052,441
33;118221,496;96601,099;111755,898;125052,441
34;117645,168;96601,099;111218,985;125052,441
35;117612,629;96601,099;111189,380;125052,441
36;117483,959;96544,459;111072,839;124230,937
37;117483,959;96544,459;111072,839;124230,937
38;116777,508;96418,333;110438,413;123063,746
39;116777,508;96418,333;110438,413;123063,746
40;116777,508;96418,333;110438,413;123063,746
41;115955,554;96418,333;109717,469;119593,107
42;115560,694;96418,333;109347,014;119593,107
43;114578,272;95985,388;108428,072;119593,107
44;114578,272;95985,388;108428,072;119593,107
45;113933,583;90987,781;107733,982;119593,107
46;113915,764;90987,781;107717,093;119593,107
47;113846,041;90198,964;107638,211;119593,107
48;113355,044;90198,964;107189,921;119593,107
49;113355,044;90198,964;107189,921;119593,107
50;112799,959;88986,897;106665,160;119593,107
51;112799,959;88986,897;106665,160;119593,107
52;112349,155;88986,897;106249,797;118899,843
53;112259,787;87965,976;106147,705;118899,843
54;111909,567;87965,976;105820,749;118899,843
55;111238,019;87965,976;105138,303;118899,843
56;111235,499;87965,976;105136,047;118899,843
57;111233,209;87965,976;105133,856;118899,843
58;110984,874;87965,976;104901,521;118428,377
59;110051,591;87965,976;104089,365;113784,337
60;109781,898;87965,976;103852,424;111769,405
61;109655,604;87965,976;103720,588;111769,405
62;109558,054;87965,976;103631,489;111416,306
63;109533,073;87965,976;103607,525;111416,306
64;109533,073;87965,976;103607,525;111416,306
65;109358,440;87965,976;103435,869;111416,306
66;108699,070;87965,976;102799,045;111416,306
67;108664,743;87583,451;102760,793;111416,306
68;108664,743;87583,451;102760,793;111416,306
69;108518,151;87583,451;102620,267;111416,306
70;108173,209;87583,451;102312,095;111416,306
71;108173,209;87583,451;102312,095;111416,306
72;108173,209;87583,451;102312,095;111416,306
73;107648,135;87583,451;101800,159;111416,306
74;107137,715;86758,469;101328,653;111416,306
75;107137,715;86758,469;101328,653;111416,306
76;107048,616;86758,469;101239,213;111416,306
77;107048,616;86758,469;101239,213;111416,306
78;105927,409;86758,469;100180,468;111416,306
79;105886,862;86758,469;100141,207;111416,306
80;105279,438;86758,469;99534,818;111416,306
81;105263,408;86758,469;99521,178;111279,911
82;105263,408;86758,469;99521,178;111279,911
83;105140,192;86758,469;99409,362;111279,911
84;104801,074;86758,469;99102,421;111279,911
85;104371,663;86758,469;98681,587;111279,911
86;104110,502;86758,469;98409,301;111279,911
87;103723,375;86758,469;98064,844;111279,911
88;103723,375;86758,469;98064,844;111279,911
89;103701,057;86518,025;98040,800;111279,911
90;103485,009;86518,025;97851,313;111279,911
91;102482,383;86511,352;96928,989;111279,911
92;102464,104;86511,352;96911,713;111279,911
93;102275,963;86511,352;96731,831;111279,911
94;102087,488;86511,352;96558,543;111279,911
95;102013,759;86511,352;96494,359;111279,911
96;101768,760;86511,352;96260,118;111279,911
97;101450,404;86511,352;95956,582;111080,780
98;101431,019;86306,544;95936,101;111080,780
99;101431,019;86306,544;95936,101;111080,780
100;100952,031;86306,544;95501,334;111080,780
