gen;std;min;avg;max
0;7950,311;5053,200;7414,800;10063,600
1;8105,334;5053,200;7571,430;10290,300
2;7838,416;5053,200;7355,910;8688,900
3;7809,667;5011,600;7326,850;8688,900
4;7831,993;5011,600;7320,690;9013,100
5;7554,452;5011,600;7060,420;9013,100
6;7482,565;4996,000;6994,380;8670,800
7;7541,088;4996,000;7039,880;8923,200
8;7350,750;4996,000;6857,800;8670,800
9;7239,233;4902,400;6726,900;8670,800
10;7221,519;4902,400;6708,360;8670,800
11;7186,500;3987,700;6637,260;8885,400
12;7175,963;3987,700;6628,080;8885,400
13;7198,534;4877,700;6676,160;8885,400
14;7404,012;4726,800;6819,850;9759,000
15;7318,446;4362,100;6705,010;9759,000
16;7266,141;4362,100;6642,670;9759,000
17;7240,437;4362,100;6626,720;9759,000
18;7203,245;4362,100;6581,950;9759,000
19;7199,753;4306,600;6576,610;9759,000
20;7080,752;4306,600;6490,790;9396,500
21;7012,819;4043,100;6412,490;9230,400
22;7012,424;4043,100;6412,220;9227,700
23;7012,285;4043,100;6412,090;9227,700
24;6977,368;4043,100;6372,170;9227,700
25;6992,578;4043,100;6382,700;9384,600
26;6915,416;4043,100;6284,830;9384,600
27;6845,907;4043,100;6195,830;9384,600
28;6845,907;4043,100;6195,830;9384,600
29;6842,684;4043,100;6218,110;9384,600
30;6835,794;4043,100;6203,890;9421,800
31;6835,794;4043,100;6203,890;9421,800
32;6835,794;4043,100;6203,890;9421,800
33;6856,785;4137,000;6231,900;9421,800
34;6984,746;4137,000;6315,070;9459,700
35;6981,701;4137,000;6310,630;9459,700
36;6952,717;4137,000;6322,730;9201,500
37;6937,712;4137,000;6314,170;9201,500
38;6961,474;4137,000;6337,830;9201,500
39;6964,705;4137,000;6340,930;9201,500
40;6962,814;4137,000;6337,350;9201,500
41;6964,642;4164,600;6340,110;9201,500
42;6935,339;4164,600;6319,970;9137,300
43;6797,802;4164,600;6173,870;9137,300
44;6795,787;4164,600;6172,370;9137,300
45;6744,323;4164,600;6106,460;9137,300
46;6718,825;4164,600;6088,160;9137,300
47;6676,875;4137,000;6035,170;9137,300
48;6467,322;4137,000;5873,120;9137,300
49;6467,322;4137,000;5873,120;9137,300
50;6241,409;4137,000;5718,670;8210,400
51;6242,452;4137,000;5720,680;8210,400
52;6307,032;4137,000;5806,870;8190,300
53;6326,120;4137,000;5829,030;8143,900
54;6459,213;4137,000;5975,300;8143,900
55;6459,213;4137,000;5975,300;8143,900
56;6451,695;4137,000;5965,140;8143,900
57;6437,459;4137,000;5953,900;8143,900
58;6437,459;4137,000;5953,900;8143,900
59;6394,163;4151,700;5918,650;8048,500
60;6438,485;4151,700;5962,650;8048,500
61;6438,485;4151,700;5962,650;8048,500
62;6438,485;4151,700;5962,650;8048,500
63;6429,798;4151,700;5953,710;8048,500
64;6399,868;4012,200;5920,710;7954,200
65;6406,325;4106,100;5929,980;7954,200
66;6556,395;4106,100;6060,810;7954,200
67;6522,619;4106,100;6030,880;7954,200
68;6488,508;4106,100;5987,050;7954,200
69;6488,508;4106,100;5987,050;7954,200
70;6393,236;4106,100;5904,440;7954,200
71;6393,236;4106,100;5904,440;7954,200
72;6381,793;4106,100;5892,350;7954,200
73;6372,725;4106,100;5885,230;7954,200
74;6372,725;4106,100;5885,230;7954,200
75;6372,725;4106,100;5885,230;7954,200
76;6391,769;3975,300;5896,620;7954,200
77;6391,769;3975,300;5896,620;7954,200
78;6391,769;3975,300;5896,620;7954,200
79;6380,603;3975,300;5886,520;7954,200
80;6380,603;3975,300;5886,520;7954,200
81;6358,317;3975,300;5861,580;7954,200
82;6280,931;3975,300;5803,700;7648,200
83;6280,931;3975,300;5803,700;7648,200
84;6254,807;3975,300;5783,460;7436,000
85;6247,125;3975,300;5776,960;7436,000
86;6243,900;3975,300;5773,680;7436,000
87;6243,900;3975,300;5773,680;7436,000
88;6243,810;3975,300;5773,600;7436,000
89;6233,302;3975,300;5764,500;7436,000
90;6267,045;3975,300;5792,140;7436,000
91;6267,045;3975,300;5792,140;7436,000
92;6270,641;3975,300;5795,030;7436,000
93;6270,641;3975,300;5795,030;7436,000
94;6268,008;3975,300;5791,410;7436,000
95;6268,008;3975,300;5791,410;7436,000
96;6238,879;3975,300;5768,400;7436,000
97;6264,030;3975,300;5804,100;7390,600
98;6250,335;3975,300;5793,590;7285,500
99;6206,578;3975,300;5757,810;7285,500
100;6199,067;3975,300;5751,500;7285,500
