gen;std;min;avg;max
0;4722,285;3462,300;4413,780;5703,400
1;4711,403;3462,300;4404,030;5703,400
2;4703,364;3462,300;4395,990;5703,400
3;4293,801;3370,300;4054,990;4689,100
4;4254,975;3370,300;4016,780;4689,100
5;4221,931;3263,600;3981,330;4689,100
6;4122,835;3263,600;3890,630;4444,100
7;4054,806;3263,600;3823,690;4444,100
8;4054,806;3263,600;3823,690;4444,100
9;4009,924;3263,600;3782,500;4348,800
10;4001,161;3263,600;3773,610;4348,800
11;3997,397;3263,600;3769,840;4348,800
12;3989,304;3263,600;3762,060;4342,200
13;3975,744;3263,600;3750,400;4342,200
14;3902,913;3263,600;3682,320;4342,200
15;3902,913;3263,600;3682,320;4342,200
16;3828,433;3171,300;3612,310;4342,200
17;3828,433;3171,300;3612,310;4342,200
18;3793,338;2999,900;3579,340;4311,100
19;3793,338;2999,900;3579,340;4311,100
20;3701,913;2999,900;3495,390;4311,100
21;3688,903;2999,900;3483,450;4311,100
22;3671,436;2968,400;3465,520;4285,100
23;3612,735;2968,400;3417,980;3809,700
24;3602,010;2968,400;3408,060;3809,700
25;3602,010;2968,400;3408,060;3809,700
26;3602,010;2968,400;3408,060;3809,700
27;3601,072;2968,400;3407,180;3809,700
28;3601,072;2968,400;3407,180;3809,700
29;3593,281;2968,400;3399,810;3809,700
30;3586,966;2968,400;3393,640;3809,700
31;3582,207;2968,400;3388,920;3809,700
32;3556,172;2968,400;3365,910;3645,000
33;3523,023;2959,700;3335,160;3641,600
34;3515,207;2914,000;3326,910;3641,600
35;3515,207;2914,000;3326,910;3641,600
36;3504,783;2914,000;3317,590;3641,600
37;3504,515;2914,000;3317,340;3641,600
38;3504,515;2914,000;3317,340;3641,600
39;3487,219;2914,000;3300,900;3641,600
40;3421,017;2914,000;3237,410;3641,600
41;3421,017;2914,000;3237,410;3641,600
42;3370,595;2914,000;3188,890;3641,600
43;3365,669;2914,000;3184,230;3641,600
44;3361,101;2914,000;3180,060;3641,600
45;3344,857;2879,300;3163,510;3641,600
46;3334,149;2838,500;3152,390;3641,600
47;3334,149;2838,500;3152,390;3641,600
48;3303,659;2729,500;3120,700;3641,600
49;3301,655;2729,500;3119,060;3625,200
50;3297,850;2729,500;3115,340;3625,200
51;3292,076;2729,500;3109,530;3625,200
52;3292,076;2729,500;3109,530;3625,200
53;3284,270;2729,500;3101,850;3625,200
54;3284,270;2729,500;3101,850;3625,200
55;3282,126;2729,500;3099,620;3625,200
56;3275,259;2729,500;3092,710;3625,200
57;3264,123;2729,500;3081,820;3625,200
58;3256,957;2715,500;3074,320;3625,200
59;3256,957;2715,500;3074,320;3625,200
60;3246,472;2715,500;3064,390;3625,200
61;3241,065;2715,500;3059,360;3625,200
62;3223,656;2715,500;3045,110;3482,700
63;3214,914;2703,900;3037,450;3482,700
64;3213,883;2703,900;3036,380;3482,700
65;3213,883;2703,900;3036,380;3482,700
66;3213,883;2703,900;3036,380;3482,700
67;3209,898;2703,900;3032,670;3482,700
68;3209,898;2703,900;3032,670;3482,700
69;3209,468;2699,300;3032,210;3482,700
70;3209,468;2699,300;3032,210;3482,700
71;3167,656;2699,300;2995,860;3380,800
72;3162,315;2699,300;2991,330;3366,900
73;3151,955;2699,300;2981,060;3366,900
74;3148,562;2699,300;2977,840;3366,900
75;3148,562;2699,300;2977,840;3366,900
76;3144,183;2699,300;2973,400;3366,900
77;3121,534;2699,300;2952,540;3366,900
78;3121,534;2699,300;2952,540;3366,900
79;3120,799;2699,300;2951,850;3366,900
80;3118,189;2699,300;2949,160;3366,900
81;3118,189;2699,300;2949,160;3366,900
82;3111,976;2696,500;2943,660;3366,900
83;3073,816;2311,500;2901,840;3366,900
84;3045,041;2311,500;2875,310;3366,900
85;3045,041;2311,500;2875,310;3366,900
86;2994,038;2279,500;2820,920;3366,900
87;2988,492;2279,500;2816,140;3366,900
88;2969,599;2258,300;2798,960;3366,900
89;2969,120;2258,300;2798,500;3366,900
90;2969,120;2258,300;2798,500;3366,900
91;2961,222;2258,300;2792,180;3303,700
92;2957,715;2258,300;2789,240;3277,700
93;2957,715;2258,300;2789,240;3277,700
94;2951,320;2258,300;2783,520;3277,700
95;2947,986;2258,300;2780,090;3277,700
96;2942,149;2258,300;2774,250;3277,700
97;2936,384;2258,300;2768,980;3277,700
98;2933,712;2258,300;2766,820;3256,100
99;2933,712;2258,300;2766,820;3256,100
100;2917,007;2258,300;2753,020;3118,100
