gen;std;min;avg;max
0;117088,787;78855,937;109935,852;133566,063
1;115613,738;78855,937;108379,766;132894,519
2;110779,634;72010,470;103880,663;124317,672
3;108626,946;72010,470;101878,657;124317,672
4;107620,786;72010,470;100907,325;124317,672
5;107439,569;72010,470;100732,140;124317,672
6;103351,727;71750,629;97306,652;113811,946
7;103146,107;71873,873;97088,266;115374,460
8;102153,050;71873,873;96160,649;115374,460
9;100681,093;71873,873;94726,450;115374,460
10;99952,304;71873,873;93966,100;115374,460
11;98819,790;71873,873;92781,581;115374,460
12;98556,952;69111,721;92456,777;115374,460
13;95925,059;69417,873;90278,365;104925,026
14;95827,365;69417,873;90191,899;104925,026
15;97118,704;69417,873;91398,458;104925,026
16;96916,629;69417,873;91207,692;105280,856
17;96083,484;69417,873;90408,779;105280,856
18;95951,550;69172,280;90274,753;105280,856
19;95812,575;69172,280;90136,221;105198,277
20;95698,811;69172,280;90041,437;105198,277
21;95333,142;69172,280;89729,743;105198,277
22;95978,124;69068,064;90383,933;105198,277
23;92344,226;69068,064;86939,602;103910,842
24;92197,047;69068,064;86821,461;102710,837
25;92009,387;69068,064;86651,299;102710,837
26;91027,383;69068,064;85725,228;102710,837
27;91019,134;69068,064;85718,647;102645,021
28;91559,192;69068,064;86176,152;102645,021
29;91523,118;69068,064;86154,363;102645,021
30;90334,230;69068,064;85091,425;101378,191
31;89367,500;68066,785;84230,765;100430,345
32;89250,716;68066,785;84102,264;100430,345
33;89280,861;68421,660;84137,752;100430,345
34;89280,861;68421,660;84137,752;100430,345
35;89406,176;68421,660;84255,636;100430,345
36;89373,965;68421,660;84221,042;100430,345
37;89128,280;68421,660;83975,747;100430,345
38;89128,280;68421,660;83975,747;100430,345
39;89077,375;68421,660;83887,651;101378,191
40;89059,509;68212,025;83866,687;101378,191
41;88962,154;67058,920;83751,377;101378,191
42;88551,532;67058,920;83334,891;101378,191
43;88544,849;67058,920;83333,477;101378,191
44;88719,400;66923,421;83482,547;101378,191
45;88279,924;66923,421;83041,470;101378,191
46;88122,071;66923,421;82892,212;102064,915
47;87471,708;66923,421;82265,108;102064,915
48;86770,056;66923,421;81622,730;102064,915
49;86371,983;66669,382;81287,971;101117,069
50;86176,129;66669,382;81099,285;101117,069
51;86057,775;66669,382;80981,400;101117,069
52;86004,086;66669,382;80923,016;101117,069
53;86076,114;66669,382;80985,108;101117,069
54;86047,836;66669,382;80958,050;101117,069
55;85935,664;66507,849;80840,049;101117,069
56;85935,664;66507,849;80840,049;101117,069
57;86804,217;66507,849;81530,607;101117,069
58;86861,430;66293,330;81554,938;102064,915
59;86376,238;66293,330;81138,968;101117,069
60;85957,193;66293,330;80764,231;101117,069
61;86081,574;66293,330;80859,015;102064,915
62;86102,393;66293,330;80882,936;102064,915
63;86143,998;66293,330;80923,319;102064,915
64;86114,941;66293,330;80894,952;102064,915
65;86114,941;66293,330;80894,952;102064,915
66;86114,941;66293,330;80894,952;102064,915
67;86114,941;66293,330;80894,952;102064,915
68;85817,701;64402,751;80551,921;102064,915
69;85812,562;64402,751;80547,273;102064,915
70;85808,984;64402,751;80558,959;102064,915
71;85663,101;64402,751;80447,066;101117,069
72;85235,011;58982,898;79882,136;102064,915
73;85235,011;58982,898;79882,136;102064,915
74;85503,973;58982,898;80141,240;102064,915
75;84743,892;58982,898;79379,878;102064,915
76;84466,696;58982,898;79148,202;102064,915
77;83368,634;58982,898;78125,792;101117,069
78;82952,458;58982,898;77728,134;101117,069
79;82917,010;58982,898;77688,100;101117,069
80;82883,091;58982,898;77653,820;101117,069
81;82545,838;58259,639;77299,838;101117,069
82;82615,698;58259,639;77371,826;101117,069
83;82557,194;57970,347;77304,050;101117,069
84;82520,224;57970,347;77263,822;101117,069
85;82523,107;57970,347;77266,148;101117,069
86;82214,344;58167,583;76951,016;101117,069
87;82224,090;58490,962;76966,827;101117,069
88;82296,059;58490,962;77042,099;101117,069
89;82274,820;58490,962;77019,038;101117,069
90;82716,451;58490,962;77462,437;101117,069
91;82716,451;58490,962;77462,437;101117,069
92;82716,451;58490,962;77462,437;101117,069
93;82706,509;58225,990;77397,538;102064,915
94;82476,162;56924,570;77172,611;101117,069
95;82113,502;56924,570;76876,049;101117,069
96;82192,097;56924,570;76931,381;101725,245
97;82180,212;56924,570;76921,508;101725,245
98;82267,481;56924,570;76993,783;101725,245
99;82215,490;56924,570;76939,896;101725,245
100;82215,490;56924,570;76939,896;101725,245
