gen;std;min;avg;max
0;165289,999;137407,465;156012,390;183050,948
1;165792,968;137407,465;156552,373;183050,948
2;165098,104;137407,465;155863,929;183050,948
3;164280,608;137045,400;155149,006;183050,948
4;163621,391;137045,400;154544,809;183050,948
5;161263,045;137045,400;152551,778;171721,744
6;162989,719;139607,350;154210,590;171721,744
7;164214,630;141232,813;155428,181;172753,817
8;164613,972;141232,813;155812,464;172753,817
9;163883,129;142036,871;155144,613;172753,817
10;162590,738;142036,871;153928,497;172753,817
11;161842,635;142036,871;153257,082;171639,309
12;164612,270;142036,871;155965,709;171639,309
13;163709,594;142036,871;155093,432;171639,309
14;167143,993;142036,871;158334,171;170607,236
15;167546,763;142036,871;158704,185;170607,236
16;166738,460;142036,871;157914,189;170607,236
17;166468,713;142036,871;157666,260;170607,236
18;167386,463;147987,540;158623,161;170607,236
19;167792,175;149472,917;159031,046;170607,236
20;167016,162;148192,849;158259,090;170607,236
21;165865,294;138893,313;157045,140;171639,309
22;165330,373;138893,313;156522,115;171639,309
23;164865,510;138893,313;156070,592;171639,309
24;164671,046;140929,210;155896,969;170607,236
25;164922,275;141049,217;156130,020;170607,236
26;163690,635;143373,460;154975,112;170428,495
27;163884,653;141117,433;155165,646;168930,045
28;162511,076;137922,911;153757,636;168930,045
29;162488,514;137922,911;153733,645;168930,045
30;163427,705;132082,148;154500,253;168930,045
31;163731,223;132082,148;154662,819;174104,999
32;163646,583;132082,148;154590,297;174104,999
33;163248,668;132082,148;154195,552;174104,999
34;163469,180;134514,315;154438,769;174104,999
35;164134,654;134394,308;155002,608;174966,713
36;163691,304;134394,308;154655,124;174104,999
37;164705,034;140987,917;155710,385;174828,394
38;164691,348;140987,917;155699,598;174828,394
39;164739,500;140987,917;155745,385;174828,394
40;165432,457;140987,917;156432,149;174828,394
41;164021,150;139963,971;155180,362;167882,212
42;162781,011;139963,971;154024,621;167882,212
43;163165,266;139963,971;154401,590;168333,797
44;163602,544;139963,971;154781,210;170146,879
45;163502,631;139963,971;154679,922;170146,879
46;163306,143;138232,369;154435,326;174090,316
47;161378,016;135987,248;152505,815;174090,316
48;160375,797;135987,248;151623,459;174090,316
49;159922,315;133351,470;151163,451;174090,316
50;159907,959;133351,470;151149,973;174292,544
51;159741,012;133351,470;151004,142;174292,544
52;161487,001;133351,470;152460,735;180798,679
53;159977,998;133351,470;151038,900;178289,245
54;160610,338;133351,470;151639,453;178289,245
55;160037,950;135319,446;151169,590;174903,243
56;159578,626;135319,446;150790,568;174292,544
57;156519,432;130472,111;147980,316;174292,544
58;156672,877;130472,111;148111,491;174292,544
59;156504,751;130472,111;147933,518;174292,544
60;155640,916;130472,111;147055,234;174292,544
61;155762,497;130472,111;147188,473;174292,544
62;155345,083;130472,111;146816,456;174292,544
63;154101,263;130472,111;145686,393;171301,038
64;154923,528;130472,111;146441,444;171301,038
65;155109,017;130472,111;146632,372;171301,038
66;155406,184;132071,385;146946,840;171301,038
67;155933,862;132071,385;147383,077;174292,544
68;154394,409;125258,151;145810,686;173331,578
69;154235,789;125258,151;145673,061;173331,578
70;154213,844;125354,950;145655,963;173331,578
71;153397,555;122132,989;144861,291;173331,578
72;153573,499;121522,945;144994,772;173331,578
73;152532,130;126864,293;144096,493;173331,578
74;152122,569;126864,293;143703,651;173331,578
75;152030,997;126864,293;143606,678;173331,578
76;151712,726;125359,020;143347,418;169388,141
77;151885,284;125359,020;143513,286;169388,141
78;151891,917;125359,020;143530,084;169388,141
79;152181,338;125359,020;143825,179;169388,141
80;153012,274;125269,944;144638,990;169388,141
81;153184,379;125269,944;144822,279;169388,141
82;155397,370;125269,944;146738,206;177341,033
83;155332,451;125269,944;146672,637;177341,033
84;155065,244;125269,944;146419,386;177341,033
85;153092,530;126462,463;144472,873;177341,033
86;153331,299;128406,131;144694,679;178301,999
87;153271,723;128638,741;144647,164;178301,999
88;151693,148;128638,741;143283,943;170349,107
89;151107,355;125295,349;142704,649;169282,833
90;151035,883;121663,840;142562,788;169282,833
91;150585,459;120397,474;142080,534;169282,833
92;151033,492;124051,390;142556,220;169282,833
93;150817,728;124051,390;142311,853;170349,107
94;150867,429;124051,390;142365,144;170349,107
95;150784,852;124051,390;142294,368;170349,107
96;150555,266;124051,390;142056,477;170349,107
97;149993,468;118843,324;141414,938;170349,107
98;150047,157;118843,324;141466,798;170349,107
99;149527,718;118843,324;140950,614;169388,141
100;149531,071;118843,324;140953,879;169388,141
