gen;std;min;avg;max
0;5357,305;3928,900;4975,460;7543,500
1;5240,314;3928,900;4867,790;7543,500
2;4998,814;3928,900;4698,670;6057,000
3;4986,041;3928,900;4687,090;6057,000
4;4910,986;3928,900;4620,400;5871,500
5;4908,359;3928,900;4618,100;5871,500
6;4908,359;3928,900;4618,100;5871,500
7;4844,064;3928,900;4559,620;5871,500
8;4820,904;3671,200;4533,270;5871,500
9;4809,271;3671,200;4524,620;5785,000
10;4709,426;2832,700;4401,280;5785,000
11;4472,212;2832,700;4200,390;5074,100
12;4440,964;2832,700;4171,580;5074,100
13;4296,103;2832,700;4033,890;5074,100
14;4256,912;2832,700;4001,920;4864,400
15;4208,021;2832,700;3953,760;4864,400
16;4208,021;2832,700;3953,760;4864,400
17;4052,003;2832,700;3817,770;4540,100
18;3979,777;2832,700;3756,620;4184,400
19;3973,820;2832,700;3750,740;4184,400
20;3929,107;2832,700;3704,280;4184,400
21;3889,389;2832,700;3666,540;4184,400
22;3889,143;2832,700;3666,300;4184,400
23;3866,166;2832,700;3643,420;4184,400
24;3866,166;2832,700;3643,420;4184,400
25;3816,087;2832,700;3591,350;4184,400
26;3807,352;2832,700;3582,830;4184,400
27;3729,125;2832,700;3510,750;4182,000
28;3576,069;2725,100;3365,060;4011,400
29;3504,223;2325,000;3287,080;4011,400
30;3448,776;2325,000;3238,890;4011,400
31;3428,833;2325,000;3216,640;4011,400
32;3398,992;2325,000;3185,080;4011,400
33;3383,924;2306,500;3170,680;3982,800
34;3382,422;2306,500;3169,160;3982,800
35;3381,459;2306,500;3168,040;3982,800
36;3381,459;2306,500;3168,040;3982,800
37;3375,049;2306,500;3162,270;3982,800
38;3370,335;2306,500;3157,970;3982,800
39;3350,371;2306,500;3142,510;3828,200
40;3345,037;2306,500;3136,190;3828,200
41;3331,158;2306,500;3122,170;3828,200
42;3323,367;2306,500;3112,420;3828,200
43;3312,033;2301,300;3101,660;3828,200
44;3269,270;2301,300;3067,010;3644,400
45;3260,312;2301,300;3058,950;3644,400
46;3198,536;2301,300;3002,810;3644,400
47;3198,536;2301,300;3002,810;3644,400
48;3161,457;2301,300;2970,270;3644,400
49;3158,254;2301,300;2967,500;3644,400
50;3158,254;2301,300;2967,500;3644,400
51;3155,898;2301,300;2965,460;3644,400
52;3155,898;2301,300;2965,460;3644,400
53;3153,850;2301,300;2962,960;3644,400
54;3151,046;2301,300;2960,770;3622,500
55;3138,500;2301,300;2949,730;3622,500
56;3134,660;2301,300;2946,130;3622,500
57;3122,376;2295,200;2936,240;3529,700
58;3122,376;2295,200;2936,240;3529,700
59;3122,376;2295,200;2936,240;3529,700
60;3122,376;2295,200;2936,240;3529,700
61;3122,376;2295,200;2936,240;3529,700
62;3068,489;2295,200;2890,940;3246,100
63;3061,769;2295,200;2885,020;3246,100
64;3058,103;2295,200;2881,540;3246,100
65;3058,103;2295,200;2881,540;3246,100
66;3054,864;2265,400;2877,640;3246,100
67;3054,864;2265,400;2877,640;3246,100
68;3044,645;2138,000;2864,900;3246,100
69;3044,645;2138,000;2864,900;3246,100
70;3044,645;2138,000;2864,900;3246,100
71;3044,645;2138,000;2864,900;3246,100
72;3041,824;2138,000;2862,260;3246,100
73;3041,824;2138,000;2862,260;3246,100
74;3041,824;2138,000;2862,260;3246,100
75;3041,824;2138,000;2862,260;3246,100
76;3040,698;2138,000;2861,200;3246,100
77;3040,698;2138,000;2861,200;3246,100
78;3037,892;2138,000;2858,700;3246,100
79;3037,892;2138,000;2858,700;3246,100
80;3037,892;2138,000;2858,700;3246,100
81;3017,661;2127,600;2840,490;3225,400
82;2994,567;2127,600;2820,720;3130,800
83;2971,552;2127,600;2799,090;3130,800
84;2965,316;2047,800;2791,110;3130,800
85;2965,316;2047,800;2791,110;3130,800
86;2965,316;2047,800;2791,110;3130,800
87;2963,126;2047,800;2789,090;3130,800
88;2963,126;2047,800;2789,090;3130,800
89;2963,126;2047,800;2789,090;3130,800
90;2962,139;2034,900;2787,800;3130,800
91;2962,139;2034,900;2787,800;3130,800
92;2962,139;2034,900;2787,800;3130,800
93;2931,380;2034,900;2760,280;3130,800
94;2931,380;2034,900;2760,280;3130,800
95;2931,380;2034,900;2760,280;3130,800
96;2926,987;2034,900;2756,460;3130,800
97;2919,602;2034,900;2749,940;3130,800
98;2919,602;2034,900;2749,940;3130,800
99;2907,489;2034,900;2738,130;3130,800
100;2906,756;2034,900;2737,400;3130,800
