gen;std;min;avg;max
0;184025,954;142084,523;173702,342;201575,319
1;180951,309;142084,523;170937,596;201575,319
2;177128,303;142084,523;167207,178;194614,325
3;176499,722;142084,523;166574,783;194614,325
4;175283,276;139436,549;165323,126;193372,058
5;174307,878;139436,549;164307,569;193372,058
6;174263,306;139436,549;164275,921;193372,058
7;174032,330;139436,549;164094,282;190065,909
8;174203,822;136973,151;164259,445;188370,583
9;173902,420;134296,870;163954,174;188370,583
10;173443,172;134296,870;163532,747;188370,583
11;174228,432;142751,936;164413,561;188370,583
12;173310,863;138088,524;163388,565;190065,909
13;172997,868;138088,524;163106,374;188370,583
14;171352,917;138088,524;161722,148;183720,830
15;171751,692;138088,524;162097,433;183720,830
16;171745,807;138088,524;162091,640;183720,830
17;171076,907;138088,524;161501,173;183159,507
18;171344,421;138088,524;161784,821;183159,507
19;170033,246;138088,524;160545,106;183159,507
20;170037,028;137501,560;160540,479;183072,526
21;170403,756;137501,560;161030,731;183159,507
22;169526,394;137501,560;160160,331;181535,424
23;169308,150;137501,560;159938,054;181535,424
24;167986,413;137501,560;158733,067;181535,424
25;167766,944;137501,560;158518,348;181448,443
26;168201,347;137501,560;158938,024;181448,443
27;168143,257;137501,560;158882,350;181448,443
28;168015,233;144161,474;158904,335;181448,443
29;166452,994;141764,186;157497,934;178121,249
30;166600,547;141764,186;157629,361;178782,999
31;166331,888;141764,186;157379,430;178782,999
32;164158,802;140919,209;155455,041;171853,379
33;164238,697;141764,186;155538,700;171853,379
34;164935,422;141454,534;156183,864;171853,379
35;164327,977;141454,534;155586,838;171853,379
36;163469,683;141454,534;154787,751;171853,379
37;163034,992;141454,534;154402,292;169504,308
38;163034,992;141454,534;154402,292;169504,308
39;162437,247;141064,949;153802,201;169504,308
40;164573,213;141064,949;155674,648;177743,774
41;164501,346;140735,726;155603,484;177743,774
42;165048,266;140735,726;156123,576;177743,774
43;165081,642;141454,534;156131,427;179690,303
44;164742,714;141454,534;155790,748;179690,303
45;164814,398;141454,534;155854,145;179690,303
46;164674,640;140192,093;155707,105;179690,303
47;165360,500;139035,532;156367,471;179690,303
48;165386,446;139035,532;156393,507;179690,303
49;164262,473;139035,532;155307,239;179690,303
50;163528,762;139035,532;154590,882;179690,303
51;163566,630;139035,532;154628,867;179017,588
52;164025,784;139035,532;155094,208;179017,588
53;164025,784;139035,532;155094,208;179017,588
54;163970,758;139551,060;155054,485;179017,588
55;163870,214;139551,060;154965,533;179017,588
56;164060,165;139551,060;155125,676;179017,588
57;163929,836;139551,060;154986,087;179017,588
58;163930,798;139551,060;154986,925;179017,588
59;163241,083;138365,043;154280,805;179017,588
60;162944,045;136931,912;153972,022;179017,588
61;163516,509;138365,043;154566,706;179017,588
62;163520,836;138365,043;154571,195;179017,588
63;163693,673;140445,090;154759,374;178819,330
64;163449,222;139868,976;154542,594;177345,783
65;163158,477;138307,876;154237,008;177345,783
66;163158,477;138307,876;154237,008;177345,783
67;163045,978;138307,876;154115,549;177544,041
68;163203,072;138307,876;154279,099;177544,041
69;163203,072;138307,876;154279,099;177544,041
70;161822,771;138307,876;152945,506;177544,041
71;161822,771;138307,876;152945,506;177544,041
72;161826,786;138031,467;152936,400;177544,041
73;161782,367;138031,467;152899,930;177179,339
74;161549,449;138031,467;152617,060;177179,339
75;160876,818;135471,758;151942,702;177179,339
76;160841,839;135471,758;151867,574;178489,652
77;160373,979;135171,582;151407,131;178489,652
78;160373,979;135171,582;151407,131;178489,652
79;159669,651;129924,259;150650,179;178489,652
80;159669,651;129924,259;150650,179;178489,652
81;158853,562;129924,259;149865,129;178489,652
82;158780,558;129924,259;149784,125;178291,394
83;158383,685;129924,259;149421,696;178489,652
84;158383,685;129924,259;149421,696;178489,652
85;158384,013;129924,259;149422,018;178489,652
86;158338,574;128853,028;149365,831;178489,652
87;158338,574;128853,028;149365,831;178489,652
88;158144,970;127763,133;149162,973;178489,652
89;158098,521;127763,133;149122,134;178291,394
90;158098,521;127763,133;149122,134;178291,394
91;157979,904;127763,133;148998,785;178291,394
92;158398,992;130947,640;149462,414;178291,394
93;158467,478;130947,640;149532,373;178291,394
94;158322,730;130947,640;149387,097;178291,394
95;158487,039;130947,640;149558,554;178291,394
96;157982,272;129828,430;149082,882;176368,606
97;157734,083;127913,306;148802,538;176566,864
98;157816,425;125999,880;148857,945;176566,864
99;157854,895;125999,880;148895,198;176566,864
100;157796,893;125999,880;148831,583;176566,864
