gen;std;min;avg;max
0;5086,741;3740,100;4751,220;6501,700
1;4915,946;3666,700;4576,350;6501,700
2;4890,509;3346,600;4544,340;6501,700
3;4853,917;3346,600;4501,740;6501,700
4;4843,756;3346,600;4493,430;6501,700
5;4832,584;3342,400;4480,060;6501,700
6;4826,257;3263,400;4471,740;6501,700
7;4452,661;3263,400;4170,990;5453,200
8;4352,767;3263,400;4078,970;5453,200
9;4228,548;3013,100;3950,620;5453,200
10;4167,966;2891,700;3881,410;5453,200
11;4167,966;2891,700;3881,410;5453,200
12;4155,343;2891,700;3872,670;5365,800
13;4132,711;2889,200;3849,430;5365,800
14;4109,313;2889,200;3828,780;5365,800
15;4108,992;2889,200;3828,440;5365,800
16;3943,527;2889,200;3704,260;4448,800
17;3895,567;2801,800;3653,130;4443,900
18;3811,293;2716,700;3566,620;4443,900
19;3806,738;2716,700;3562,410;4443,900
20;3802,675;2716,700;3557,400;4443,900
21;3762,749;2716,700;3520,600;4443,900
22;3747,912;2716,700;3508,960;4426,700
23;3746,196;2716,700;3506,950;4426,700
24;3725,552;2716,700;3489,040;4426,700
25;3717,803;2716,700;3481,960;4426,700
26;3659,387;2716,700;3433,000;4426,700
27;3645,432;2716,700;3420,290;4426,700
28;3632,783;2716,700;3410,830;4332,100
29;3620,487;2716,700;3400,340;4332,100
30;3578,482;2716,700;3361,070;4332,100
31;3517,843;2716,700;3304,820;4323,100
32;3500,146;2628,600;3287,210;4270,100
33;3494,958;2628,600;3281,460;4270,100
34;3424,370;2628,600;3212,010;4196,200
35;3397,940;2628,600;3191,350;4042,400
36;3387,699;2628,600;3181,220;4042,400
37;3255,911;2628,600;3067,800;3773,300
38;3246,065;2628,600;3058,160;3773,300
39;3244,122;2628,600;3056,070;3773,300
40;3244,122;2628,600;3056,070;3773,300
41;3234,629;2628,600;3045,990;3773,300
42;3220,617;2628,600;3032,510;3773,300
43;3197,292;2607,900;3011,760;3773,300
44;3174,647;2580,200;2988,140;3773,300
45;3170,854;2580,200;2983,990;3773,300
46;3159,199;2580,200;2973,680;3773,300
47;3151,305;2580,200;2967,360;3737,500
48;3151,305;2580,200;2967,360;3737,500
49;3151,305;2580,200;2967,360;3737,500
50;3150,838;2580,200;2966,850;3737,500
51;3150,838;2580,200;2966,850;3737,500
52;3144,811;2580,200;2960,490;3737,500
53;3120,465;2580,200;2940,040;3640,800
54;3117,076;2552,400;2936,340;3640,800
55;3108,040;2552,400;2929,320;3570,600
56;3108,040;2552,400;2929,320;3570,600
57;3098,239;2552,400;2919,410;3570,600
58;3075,041;2516,700;2897,350;3570,600
59;3056,568;2513,400;2882,690;3427,300
60;3056,568;2513,400;2882,690;3427,300
61;3026,596;2439,500;2853,070;3372,500
62;3026,596;2439,500;2853,070;3372,500
63;3026,596;2439,500;2853,070;3372,500
64;3008,221;2425,200;2836,290;3372,500
65;3007,368;2425,200;2835,370;3372,500
66;2999,770;2425,200;2828,400;3372,500
67;2984,047;2419,900;2813,100;3372,500
68;2973,944;2419,900;2804,970;3291,200
69;2973,944;2419,900;2804,970;3291,200
70;2963,316;2419,900;2794,830;3291,200
71;2963,316;2419,900;2794,830;3291,200
72;2957,513;2419,900;2788,740;3291,200
73;2957,513;2419,900;2788,740;3291,200
74;2957,513;2419,900;2788,740;3291,200
75;2957,513;2419,900;2788,740;3291,200
76;2946,580;2411,300;2776,980;3291,200
77;2946,580;2411,300;2776,980;3291,200
78;2938,142;2382,900;2767,780;3291,200
79;2904,088;2382,900;2739,350;3233,600
80;2894,656;2382,900;2731,050;3233,600
81;2879,894;2246,600;2714,580;3233,600
82;2879,894;2246,600;2714,580;3233,600
83;2879,894;2246,600;2714,580;3233,600
84;2863,601;2246,600;2698,210;3233,600
85;2860,016;2246,600;2694,590;3233,600
86;2856,423;2235,300;2690,670;3233,600
87;2837,332;2235,300;2671,690;3233,600
88;2823,937;2235,300;2660,220;3233,600
89;2823,937;2235,300;2660,220;3233,600
90;2820,758;2235,300;2657,010;3233,600
91;2811,513;2235,300;2648,540;3233,600
92;2811,513;2235,300;2648,540;3233,600
93;2806,201;2235,300;2643,550;3233,600
94;2800,144;2206,400;2636,730;3233,600
95;2790,430;2193,400;2627,210;3233,600
96;2783,850;2193,400;2620,380;3233,600
97;2783,850;2193,400;2620,380;3233,600
98;2783,850;2193,400;2620,380;3233,600
99;2783,850;2193,400;2620,380;3233,600
100;2776,876;2124,700;2612,630;3233,600
