gen;std;min;avg;max
0;6424,275;5167,500;6040,710;7710,800
1;6420,017;5167,500;6036,120;7710,800
2;6307,608;5167,500;5935,390;7317,900
3;6125,419;5131,700;5779,090;7259,000
4;6125,419;5131,700;5779,090;7259,000
5;6122,274;5131,700;5776,000;7259,000
6;6105,561;5131,700;5760,900;7259,000
7;6103,677;5131,700;5758,930;7259,000
8;6059,577;4932,300;5712,710;7259,000
9;6036,388;4932,300;5691,330;7259,000
10;5966,746;4785,400;5618,740;7259,000
11;5864,465;4163,800;5508,090;7259,000
12;5776,469;4118,800;5429,300;7089,800
13;5776,469;4118,800;5429,300;7089,800
14;5768,177;4118,800;5421,900;7089,800
15;5764,424;4118,800;5418,300;7089,800
16;5702,148;4118,800;5353,060;7089,800
17;5630,726;4118,800;5287,680;7089,800
18;5560,609;4118,800;5221,500;7089,800
19;5556,568;4118,800;5217,710;7089,800
20;5551,519;4118,800;5212,940;7089,800
21;5529,720;4026,800;5189,680;7089,800
22;5513,752;4026,800;5173,770;7089,800
23;5451,275;4026,800;5112,840;7051,100
24;5448,710;4026,800;5110,290;7051,100
25;5392,943;4026,800;5052,140;7051,100
26;5380,393;3912,900;5038,530;7028,900
27;5380,393;3912,900;5038,530;7028,900
28;5336,428;3888,200;4993,720;7028,900
29;5290,122;3888,200;4947,550;7028,900
30;5290,122;3888,200;4947,550;7028,900
31;5183,191;3888,200;4852,030;7028,900
32;4991,069;3876,000;4712,790;5648,700
33;4979,227;3876,000;4700,810;5648,700
34;4959,652;3876,000;4682,970;5648,700
35;4959,652;3876,000;4682,970;5648,700
36;4947,949;3876,000;4671,120;5648,700
37;4876,074;3876,000;4597,350;5648,700
38;4874,695;3876,000;4595,810;5648,700
39;4839,886;3732,300;4558,680;5648,700
40;4819,834;3732,300;4541,460;5648,700
41;4813,893;3732,300;4536,270;5648,700
42;4811,233;3732,300;4533,870;5648,700
43;4802,938;3732,300;4526,820;5599,600
44;4802,938;3732,300;4526,820;5599,600
45;4779,033;3732,300;4504,940;5599,600
46;4726,879;3732,300;4453,520;5599,600
47;4726,879;3732,300;4453,520;5599,600
48;4680,132;3731,900;4416,800;5255,900
49;4630,351;3731,900;4375,490;4854,000
50;4630,351;3731,900;4375,490;4854,000
51;4593,580;3731,900;4343,410;4851,000
52;4593,580;3731,900;4343,410;4851,000
53;4568,879;3731,700;4320,140;4851,000
54;4568,879;3731,700;4320,140;4851,000
55;4526,196;3731,700;4281,280;4851,000
56;4516,441;3731,700;4271,950;4851,000
57;4490,966;3731,700;4246,540;4851,000
58;4468,158;3731,700;4223,510;4851,000
59;4444,147;3731,700;4200,860;4851,000
60;4436,763;3731,700;4194,490;4851,000
61;4436,763;3731,700;4194,490;4851,000
62;4399,594;3731,700;4161,160;4851,000
63;4397,966;3731,700;4159,500;4851,000
64;4397,966;3731,700;4159,500;4851,000
65;4397,966;3731,700;4159,500;4851,000
66;4394,101;3731,700;4155,810;4851,000
67;4377,412;3731,700;4139,710;4851,000
68;4376,253;3731,700;4138,530;4851,000
69;4314,290;3731,700;4085,700;4540,000
70;4301,896;3731,700;4073,750;4540,000
71;4301,896;3731,700;4073,750;4540,000
72;4301,896;3731,700;4073,750;4540,000
73;4295,088;3695,300;4066,830;4540,000
74;4294,670;3695,300;4066,410;4540,000
75;4286,634;3695,300;4059,170;4540,000
76;4271,213;3695,300;4045,020;4540,000
77;4271,213;3695,300;4045,020;4540,000
78;4271,213;3695,300;4045,020;4540,000
79;4271,213;3695,300;4045,020;4540,000
80;4256,906;3695,300;4031,900;4540,000
81;4236,974;3695,300;4013,360;4502,400
82;4236,974;3695,300;4013,360;4502,400
83;4232,207;3695,300;4009,000;4502,400
84;4232,207;3695,300;4009,000;4502,400
85;4229,913;3695,300;4006,930;4492,500
86;4217,476;3695,300;3995,000;4492,500
87;4217,476;3695,300;3995,000;4492,500
88;4212,607;3695,300;3990,870;4451,200
89;4212,607;3695,300;3990,870;4451,200
90;4212,607;3695,300;3990,870;4451,200
91;4197,577;3695,300;3976,150;4451,200
92;4195,913;3695,300;3974,510;4451,200
93;4195,913;3695,300;3974,510;4451,200
94;4195,913;3695,300;3974,510;4451,200
95;4188,545;3684,500;3967,040;4451,200
96;4178,987;3684,500;3958,880;4369,600
97;4178,987;3684,500;3958,880;4369,600
98;4176,787;3684,500;3956,710;4369,600
99;4176,787;3684,500;3956,710;4369,600
100;4174,709;3674,100;3954,590;4369,600
