gen;std;min;avg;max
0;172310,346;133865,460;162541,280;190824,270
1;175248,541;133865,460;164394,514;226825,599
2;176744,967;143927,630;166098,437;226825,599
3;176387,903;138769,529;165633,705;226825,599
4;174025,710;138769,529;163377,043;226659,895
5;172439,538;138769,529;161869,993;225598,238
6;171075,305;138769,529;160456,126;225598,238
7;170230,456;135574,010;159567,261;225598,238
8;169188,079;127876,281;158470,655;225598,238
9;168673,842;127967,805;157995,629;225461,694
10;167208,103;128115,194;157117,440;208444,544
11;165782,903;128115,194;155816,157;207278,752
12;164997,383;127729,304;155078,956;207278,752
13;161799,248;126421,907;152296,256;200397,485
14;163175,313;126302,267;153634,401;200397,485
15;163432,816;126302,267;153894,952;199934,109
16;163100,918;126302,267;153579,009;198920,561
17;161536,009;126734,932;152069,166;198279,420
18;159976,026;126734,932;150599,264;198279,420
19;158028,753;126734,932;148742,006;198279,420
20;157752,566;126314,035;148467,154;198102,198
21;159440,870;126902,022;150143,012;198102,198
22;161613,423;126902,022;152132,444;198102,198
23;161988,742;126902,022;152429,503;198102,198
24;161153,814;124170,860;151589,875;196722,888
25;163172,401;124170,860;153359,650;196722,888
26;162257,771;124203,502;152569,321;196722,888
27;161772,849;124886,841;152080,374;196722,888
28;162504,462;124886,841;152739,356;196722,888
29;162543,012;124886,841;152755,009;196722,888
30;158971,334;120592,169;149105,318;195451,768
31;160343,728;120592,169;150334,159;195451,768
32;160173,909;120592,169;150220,067;194081,714
33;156471,843;120592,169;147275,555;175784,155
34;156006,561;120592,169;146877,664;175784,155
35;154106,584;118882,655;145188,762;173660,050
36;154043,307;118882,655;145127,824;173660,050
37;154174,623;118882,655;145132,336;173660,050
38;154056,877;118882,655;145024,505;173660,050
39;154013,506;117631,421;144952,887;173660,050
40;153757,924;117631,421;144734,521;173660,050
41;153790,878;117631,421;144758,583;173660,050
42;153800,128;117631,421;144766,871;173660,050
43;153945,309;116734,629;144802,161;178463,925
44;153492,357;116907,418;144419,908;177586,017
45;153399,569;116907,418;144357,094;177468,725
46;153334,141;116907,418;144280,272;177586,017
47;153247,229;116907,418;144229,340;177468,725
48;152999,669;116907,418;143992,324;177586,017
49;152685,248;116907,418;143718,289;177283,851
50;152781,726;116525,410;143795,500;177283,851
51;152535,678;116525,410;143561,034;177283,851
52;152646,432;116525,410;143726,595;176687,300
53;152640,615;116525,410;143720,768;176687,300
54;152721,161;116263,992;143794,206;176239,794
55;152723,927;115876,131;143788,764;176239,794
56;152451,959;115876,131;143516,308;176239,794
57;152295,914;115876,131;143380,679;175931,865
58;152357,779;115876,131;143416,608;176717,843
59;151756,538;115876,131;142644,955;176717,843
60;152198,935;116762,617;143176,825;176528,672
61;151982,398;116762,617;142978,866;176528,672
62;149675,293;116762,617;141094,839;159950,673
63;149572,304;115370,440;140945,955;160125,063
64;149687,144;115370,440;141067,456;160125,063
65;148981,681;115370,440;140431,156;160125,063
66;149223,163;115370,440;140637,492;161920,702
67;150733,651;115370,440;141867,556;172095,281
68;149493,590;114320,193;140853,150;163429,296
69;149276,968;114320,193;140629,065;163429,296
70;148792,771;114320,193;140206,651;163429,296
71;148408,238;114580,375;139830,780;160195,207
72;148405,070;114580,375;139827,510;160195,207
73;148289,237;114580,375;139706,008;160195,207
74;147202,530;111946,656;138719,808;160195,207
75;147109,556;111946,656;138623,295;160195,207
76;146359,020;110811,909;137899,685;159657,148
77;146740,943;110811,909;138295,418;159657,148
78;146653,397;110811,909;138208,407;159657,148
79;148424,386;110811,909;139695,112;165745,476
80;148751,140;114967,749;140086,099;165745,476
81;148256,821;114967,749;139640,347;165745,476
82;148429,912;114870,312;139791,654;165745,476
83;148083,922;114870,312;139399,439;165745,476
84;148097,310;114870,312;139412,169;165768,439
85;148174,785;114870,312;139490,229;165956,333
86;147912,263;114870,312;139250,766;165956,333
87;148086,651;114704,142;139392,523;166464,058
88;147968,057;113709,347;139256,306;166464,058
89;148199,746;114089,769;139422,097;166464,058
90;148143,200;114089,769;139377,696;165975,680
91;148365,923;113005,410;139594,836;165975,680
92;146725,852;113005,410;138224,449;160545,781
93;146648,531;114301,162;138161,404;160545,781
94;146379,613;109912,125;137842,623;160545,781
95;146954,104;109912,125;138344,984;161419,110
96;146312,377;109501,161;137707,241;161419,110
97;147228,010;109501,161;138470,042;166306,261
98;146041,821;109501,161;137385,051;166306,261
99;145852,719;109501,161;137211,470;166306,261
100;146456,996;109501,161;137778,687;166306,261
