gen;std;min;avg;max
0;166486,968;136461,244;156485,698;204159,566
1;165364,834;134813,324;155361,451;204159,566
2;162779,888;130425,248;153073,588;192732,210
3;161949,268;130425,248;152274,566;192732,210
4;161738,668;130425,248;152034,598;192283,406
5;159483,183;127582,664;149940,080;187283,176
6;154926,089;126133,465;145783,356;187283,176
7;154282,250;126133,465;145175,751;187283,176
8;153008,592;126133,465;144341,705;171404,655
9;150249,970;126133,465;141917,702;171404,655
10;149320,398;124267,542;141005,908;171404,655
11;147397,687;124447,864;139203,945;171404,655
12;147146,470;124447,864;138976,033;171404,655
13;147028,543;123837,714;138850,311;171404,655
14;146481,297;118201,424;138334,666;171404,655
15;145507,341;118201,424;137349,491;171404,655
16;146304,777;115919,733;138129,518;168409,079
17;143878,635;115919,733;136114,753;149451,165
18;143627,632;115919,733;135874,912;148684,974
19;142976,848;117878,966;135317,268;148684,974
20;142401,977;117878,966;134806,787;144846,496
21;139698,857;114032,367;132200,730;144846,496
22;140061,991;114032,367;132564,887;144846,496
23;140796,037;114032,367;133174,384;144846,496
24;140383,225;114032,367;132759,780;144846,496
25;140165,383;114032,367;132565,381;144575,575
26;140073,609;113012,891;132463,433;144575,575
27;138436,027;113012,891;130887,070;144575,575
28;137749,639;113012,891;130269,713;144575,575
29;136732,357;113012,891;129324,976;144114,273
30;136014,845;109766,140;128630,605;144114,273
31;137794,377;114016,707;130185,864;156613,680
32;137531,530;114016,707;129974,838;154665,303
33;137448,127;114016,707;129891,416;154665,303
34;137353,345;113296,267;129776,555;154665,303
35;137229,982;113296,267;129652,300;154665,303
36;137211,212;113296,267;129579,071;157101,234
37;136877,971;113296,267;129227,877;157101,234
38;136877,971;113296,267;129227,877;157101,234
39;134056,298;111085,945;126560,216;149225,801
40;132978,040;111085,945;125643,653;143220,274
41;132979,248;111098,956;125644,954;143220,274
42;132292,857;111098,956;125002,409;143220,274
43;131985,441;111098,956;124743,530;141170,622
44;131600,889;111098,956;124368,852;141170,622
45;130691,976;110028,525;123440,330;141170,622
46;131121,745;110028,525;123863,576;141124,853
47;131121,745;110028,525;123863,576;141124,853
48;130487,473;110028,525;123277,682;141124,853
49;130556,114;110028,525;123375,276;141124,853
50;130115,176;110028,525;122933,102;141124,853
51;129150,519;110028,525;122082,510;141124,853
52;129647,148;110028,525;122526,447;141124,853
53;128855,249;110028,525;121845,538;136576,636
54;127580,190;110028,525;120733,034;133649,383
55;127072,802;110028,525;120290,668;132501,403
56;127072,802;110028,525;120290,668;132501,403
57;126529,124;110306,624;119794,651;132501,403
58;126419,322;110625,849;119708,284;131208,985
59;127201,727;111495,199;120493,163;131208,985
60;126604,620;111495,199;119914,085;131208,985
61;126558,313;111495,199;119871,298;131208,985
62;124869,455;111495,199;118289,686;128852,179
63;124869,455;111495,199;118289,686;128852,179
64;124735,263;111495,199;118166,606;128852,179
65;124610,988;111495,199;118057,928;128749,997
66;124242,879;111495,199;117733,670;127765,399
67;124648,078;111947,337;118138,390;127765,399
68;124313,514;111947,337;117810,700;127765,399
69;123500,185;106669,238;117005,934;127765,399
70;123560,313;106669,238;117068,161;127765,399
71;123560,313;106669,238;117068,161;127765,399
72;122797,736;106669,238;116351,160;125759,802
73;122797,736;106669,238;116351,160;125759,802
74;122122,175;106669,238;115712,720;125562,514
75;122346,492;106669,238;115929,513;125562,514
76;121466,668;98603,064;115007,976;125562,514
77;121466,668;98603,064;115007,976;125562,514
78;121556,309;98603,064;115087,515;125562,514
79;121647,928;98603,064;115171,471;125562,514
80;121584,350;102460,598;115188,266;124686,189
81;121242,981;99997,533;114828,829;124686,189
82;120880,756;97432,856;114447,427;124686,189
83;120077,787;97432,856;113662,392;124686,189
84;120064,151;97432,856;113649,164;124686,189
85;119995,660;97432,856;113579,780;124686,189
86;120154,272;99908,414;113758,567;124686,189
87;120128,103;99908,414;113734,264;124686,189
88;120210,669;99908,414;113777,682;127004,188
89;120195,111;99739,803;113760,821;127004,188
90;119844,174;99739,803;113458,756;123983,534
91;119694,419;98910,286;113311,894;123344,437
92;119632,752;98910,286;113257,933;122804,820
93;119416,845;98910,286;113035,657;122804,820
94;118452,732;98910,286;112144,089;122804,820
95;118239,040;98910,286;111957,329;120937,222
96;118239,040;98910,286;111957,329;120937,222
97;118282,469;98910,286;111995,629;120937,222
98;118282,469;98910,286;111995,629;120937,222
99;118102,482;98910,286;111832,510;120879,984
100;117843,815;98910,286;111562,599;120879,984
