gen;std;min;avg;max
0;4723,031;3028,700;4381,770;6428,300
1;4705,489;3028,700;4365,190;6428,300
2;4702,775;3028,700;4362,410;6428,300
3;4662,276;3028,700;4320,510;6428,300
4;4662,276;3028,700;4320,510;6428,300
5;4607,603;2926,500;4264,850;6428,300
6;4447,623;2926,500;4149,950;5406,800
7;4354,603;2926,500;4069,320;5386,900
8;4348,352;2918,500;4061,930;5386,900
9;4238,306;2918,500;3975,770;4935,600
10;4194,877;2918,500;3935,300;4935,600
11;4174,921;2918,500;3918,790;4935,600
12;4168,354;2918,500;3913,240;4935,600
13;4168,354;2918,500;3913,240;4935,600
14;4150,538;2918,500;3898,520;4844,200
15;4148,151;2887,800;3895,450;4844,200
16;4099,691;2882,800;3847,110;4844,200
17;4038,306;2882,800;3784,010;4844,200
18;4027,293;2882,800;3771,400;4844,200
19;4007,920;2882,800;3751,870;4844,200
20;3907,415;2882,800;3663,110;4844,200
21;3907,415;2882,800;3663,110;4844,200
22;3871,169;2882,800;3636,170;4574,800
23;3769,018;2882,800;3551,580;4414,500
24;3750,696;2882,800;3535,240;4360,500
25;3703,470;2882,800;3491,760;4360,500
26;3703,470;2882,800;3491,760;4360,500
27;3679,941;2882,800;3470,170;4360,500
28;3676,224;2882,800;3466,650;4360,500
29;3668,631;2882,800;3459,020;4360,500
30;3656,452;2882,800;3447,400;4360,500
31;3644,474;2882,800;3435,740;4360,500
32;3577,207;2882,800;3381,250;3906,100
33;3577,207;2882,800;3381,250;3906,100
34;3555,890;2882,800;3362,600;3792,800
35;3536,014;2882,800;3345,490;3673,400
36;3529,079;2882,800;3339,350;3673,400
37;3522,032;2882,800;3332,560;3673,400
38;3522,032;2882,800;3332,560;3673,400
39;3522,032;2882,800;3332,560;3673,400
40;3522,032;2882,800;3332,560;3673,400
41;3522,032;2882,800;3332,560;3673,400
42;3522,032;2882,800;3332,560;3673,400
43;3522,032;2882,800;3332,560;3673,400
44;3522,032;2882,800;3332,560;3673,400
45;3522,032;2882,800;3332,560;3673,400
46;3512,026;2882,800;3323,550;3673,400
47;3504,474;2882,800;3316,610;3673,400
48;3460,747;2882,800;3276,250;3673,400
49;3438,347;2882,800;3254,800;3673,400
50;3438,347;2882,800;3254,800;3673,400
51;3438,347;2882,800;3254,800;3673,400
52;3433,619;2882,800;3250,410;3673,400
53;3430,511;2882,800;3247,590;3673,400
54;3430,511;2882,800;3247,590;3673,400
55;3430,511;2882,800;3247,590;3673,400
56;3378,474;2882,000;3196,750;3673,400
57;3375,449;2882,000;3193,960;3673,400
58;3325,753;2704,500;3143,390;3673,400
59;3302,386;2704,500;3123,900;3478,500
60;3270,842;2704,500;3094,110;3478,500
61;3270,842;2704,500;3094,110;3478,500
62;3269,153;2704,500;3092,470;3478,500
63;3269,153;2704,500;3092,470;3478,500
64;3269,153;2704,500;3092,470;3478,500
65;3265,238;2661,600;3088,180;3478,500
66;3262,544;2631,700;3085,190;3478,500
67;3259,808;2631,700;3082,390;3478,500
68;3244,978;2631,700;3068,460;3478,500
69;3244,942;2631,700;3068,430;3478,200
70;3244,942;2631,700;3068,430;3478,200
71;3244,942;2631,700;3068,430;3478,200
72;3244,942;2631,700;3068,430;3478,200
73;3217,768;2335,900;3036,910;3478,200
74;3198,684;2335,900;3018,130;3478,200
75;3198,684;2335,900;3018,130;3478,200
76;3191,108;2335,900;3011,810;3415,000
77;3177,090;2315,200;2997,070;3415,000
78;3177,090;2315,200;2997,070;3415,000
79;3177,090;2315,200;2997,070;3415,000
80;3177,090;2315,200;2997,070;3415,000
81;3177,090;2315,200;2997,070;3415,000
82;3171,440;2315,200;2992,310;3400,800
83;3171,440;2315,200;2992,310;3400,800
84;3164,854;2315,200;2985,970;3400,800
85;3154,177;2315,200;2976,830;3400,800
86;3154,177;2315,200;2976,830;3400,800
87;3154,177;2315,200;2976,830;3400,800
88;3153,178;2315,200;2975,840;3400,800
89;3153,178;2315,200;2975,840;3400,800
90;3153,007;2313,100;2975,630;3400,800
91;3153,007;2313,100;2975,630;3400,800
92;3153,007;2313,100;2975,630;3400,800
93;3153,007;2313,100;2975,630;3400,800
94;3153,007;2313,100;2975,630;3400,800
95;3153,007;2313,100;2975,630;3400,800
96;3153,007;2313,100;2975,630;3400,800
97;3153,007;2313,100;2975,630;3400,800
98;3153,007;2313,100;2975,630;3400,800
99;3153,007;2313,100;2975,630;3400,800
100;3153,007;2313,100;2975,630;3400,800
